ID,Author,Title,Year
KNNCOT,Wolfgang Ku?nne,Conceptions of Truth,2003
DAVACT-3,Donald Davidson,A Coherence Theory of Truth and Knowledge,1986
KIRTOT-3,Richard L. Kirkham,Theories of Truth: A Critical Introduction,1992
OLSACT-2,Erik J. Olsson,"Against Coherence: Truth, Probability, and Justification",2005
BRAAAR-9,Francis Herbert Bradley,Appearance and Reality: A Metaphysical Essay,1893
DAVACT-25,Donald Davidson,A Coherence Theory of Truth and Knowledge,2000
DAVTAP-12,Donald Davidson,Truth and Predication,2005
RESTCT,Nicholas Rescher,The Coherence Theory of Truth,1973
DAVTTT,Donald Davidson,True to the Facts,1969
LEPTAI,Ernest LePore,Truth and Interpretation: Perspectives on the Philosophy of Donald Davidson,1986
OLSWIT,Erik J. Olsson,What is the Problem of Coherence and Truth?,2002
REUESO,Kevin Https://Orcidorg Reuter and Georg Brun,Empirical Studies on Truth and the Project of Re-Engineering Truth,2021
DAVACT-27,Donald Davidson,A Coherence Theory of Truth and Knowledge,1986
GLATOH,Michael Glanzberg,The Oxford Handbook of Truth,2018
RAAQAT,Panu Raatikainen,Truth and Theories of Truth,2021
PAUCTA,Paul Thagard,"Coherence, Truth, and the Development of Scientific Knowledge",2007
GAMSFT,Will Gamester,Shopping for Truth Pluralism,2020
BLATAG,Simon Blackburn,Truth: A Guide,2005
GLAT,Michael Glanzberg,Truth,2008
YOUTCT,James O. Young,The Coherence Theory of Truth,2008
WALTCT,Ralph Charles Sutherland Walker,"The Coherence Theory of Truth: Realism, Anti-Realism, Idealism",1989
WYAPIT,Jeremy Wyatt and Nikolaj Jang Lee Linding Pedersen and Nathan Kellen,Pluralisms in Truth and Logic,2018
MURTRF,G. L. Murphy and D. L. Medin,The Role of Theories in Conceptual Coherence,1999
COHTCT-3,L. Jonathan Cohen,The Coherence Theory of Truth,1978
WRITT,Cory Wright and Nikolaj Jang Lee Linding Pedersen,New Waves in Truth,2010
LEEACJ-2,Byeong D. Lee,A Coherentist Justification of Epistemic Principles and its Merits,2021
ASAROT-3,Jamin Asay,Russell on Truth,forthcoming
ROWKAT,Catherine Rowett,Knowledge and Truth in Plato: Stepping Past the Shadow of Socrates,2018
QUINT,W. V. Quine,Necessary Truth,1966
HARCOI-5,Stephan Hartmann and Borut Trpin,Coherence of Information: What It is and Why It Matters,2023
CANTTA,Stewart Candlish,The Truth About F. H. Bradley,1989
BRAEOT-4,Francis Herbert Bradley,Essays on Truth and Reality,1914
OLSTIO-5,Erik J. Olsson,The Impossibility of Coherence,2005
WRIIPA,Cory Wright,Is Pluralism About Truth Inherently Unstable?,2012
ROCCTA,William A. Roche,"Coherentism, Truth, and Witness Agreement",2010
DORACT-2,Dale Dorsey,A Coherence Theory of Truth in Ethics,2006
YOUADO,James O. Young,A Defence of the Coherence Theory of Truth,2001
WILCJA,Michael Williams,"Coherence, Justification, and Truth",1980
HURSAT,S. L. Hurley,Supervenience and the Possibility of Coherence,1985
RESTAI,Nicholas Rescher,Truth as Ideal Coherence,1985
FERTAN-3,Filippo Ferrari and Michael P. Lynch and Douglas Edwards,Truth and Naturalism,2015
BROPAD-2,Lajos L. Brons,"Putnam and Davidson on Coherence, Truth, and Justification",2016
FEFATH,Solomon Feferman,Axiomatizing Truth: How and Why,unknown
ZIFEA,Paul Ziff,Epistemic Analysis: A Coherence Theory of Knowledge,1984
MEDTEA-3,Jos\'e Medina and David Wood,Truth: Engagements Across Philosophical Traditions,2005
CANAPT,Stewart Candlish,A Prolegomenon to an Identity Theory of Truth,1999
JOHFOT-4,Lawrence E. Johnson,Focusing on Truth,1992
BLACAT-7,Brand Blanshard,Coherence as the Nature of Truth,2001
DALCTA,Vrinda Dalmiya,"Coherence, Truth and the ?Omniscient Interpreter'",1990
INGTIN,Rognvaldur Ingthorsson,There is No Truth?Theory Like the Correspondence Theory,2019
