ID,Author,Title,Year
CHAPAT,David J. Chalmers,Perception and the Fall From Eden,2006
MACIM,Fiona Macpherson,Cognitive Penetration of Colour Experience: Rethinking the Issue in Light of an Indirect Mechanism,2011
COHTRA-3,Jonathan Cohen,The Red and the Real: An Essay on Color Ontology,2009
FREAAI-7,Craig French and Ian Phillips,Austerity and Illusion,2020
YLEMMQ,Andrew Y. Lee,Modeling Mental Qualities,2021
BRASAV,Michael Brady,Suffering and Virtue,2018
LANTPC-4,Kevin J. Lande,The Perspectival Character of Perception,2018
WESCSP,Jonathan Westphal,Colour: Some Philosophical Problems From Wittgenstein,1987
KALCI-2,Mark Eli Kalderon,Color Illusion,2011
BROICE-2,Berit Brogaard and Dimitria E. Gatzia,Is Color Experience Cognitively Penetrable?,2017
MATTDO,Mohan Matthen,The Disunity of Color,1999
PEACCA-2,Christopher Peacocke,Colour Concepts and Colour Experience,1984
WESMCO,Peter West,"Margaret Cavendish on Conceivability, Possibility, and the Case of Colours",2021
MATHTL,Mohan Matthen,How Things Look (and What Things Look That Way),2010
EGAAP,Andy Egan,Appearance Properties?,2006
THOCVE,Evan Thompson,"Colour Vision, Evolution, and Perceptual Content",1995
MCLCCA,Brian P. McLaughlin,"Color, Consciousness, and Color Consciousness",2002
HELNAP,Benj Hellie,Noise and Perceptual Indiscriminability,2005
NANPTW,Bence Nanay,Perceiving the World,2010
GENOTW,Sydney Shoemaker,On the Way Things Appear,2006
KALTMQ,Mark Eli Kalderon,The Multiply Qualitative,2011
DAVCRI-2,Will Davies,Colour Relations in Form,2020
HAREOC,Gilbert Harman,Explaining Objective Color in Terms of Subjective Reactions,1996
CHUCCS,Paul M. Churchland,Chimerical Colors: Some Phenomenological Predictions From Cognitive Neuroscience,2005
PETPAT-11,Jean Petitot and Barry Smith,Physics and the Phenomenal World,1996
HILCCA-2,David Hilbert,Color Constancy and the Complexity of Color,2005
Torrente2016-GMEPVC,Mario G\'{o}mez{-}Torrente,"Perceptual Variation, Color Language, and Reference Fixing. An Objectivist Account",2016
MANCC-2,Pete Mandik,Color-Consciousness Conceptualism,2012
FOGHAT,Robert J. Fogelin,Hume and the Missing Shade of Blue,1984
THOCCA,Brad Thompson,Color Constancy and Russellian Representationalism,2006
CUTIPA,Brian Cutter,Indeterminate Perception and Colour Relationism,2019
KALMCA,Mark Eli Kalderon,"Metamerism, Constancy, and Knowing Which",2008
MACCIP,Fiona Macpherson,Colour Inversion Problems for Representationalism,2005
MACNCA,Fiona Macpherson,Novel Colours and the Content of Experience,2003
CAMTVR,John Campbell,Transparency Vs. Revelation in Color Perception,2005
PERRAT-2,Ryan Perkins and Tim Bayne,Representationalism and the Problem of Vagueness,2013
ARSWMU,Valtteri Arstila,What Makes Unique Hues Unique?,2018
WRIPRA,Wayne Wright,Projectivist Representationalism and Color,2003
KREICE,Raquel Krempel,Is Color Experience Linguistically Penetrable?,2021
DAVCCI-2,Will Davies,"Colour Constancy, Illumination, and Matching",2016
STOCPA-7,Dustin Stokes,Cognitive Penetration and the Perception of Colour,2017
COHCRA,Jonathan Cohen,Color Relationalism and Color Phenomenology,2010
SHOOTW,Sydney Shoemaker,On the Way Things Appear,2006
MATTSR,Mohan Matthen,Color Experience: A Semantic Theory,2010
BROCLA-2,Derek H. Brown,Colour Layering and Colour Constancy,2014
CHAOBI,Colin Chamberlain,Our Body is the Measure: Malebranche and the Body-Relativity of Sensory Perception,2020
