ID,Author,Title,Year
HARCFP-3,Clyde L. Hardin,Color for Philosophers: Unweaving the Rainbow.Color and Color Perception: A Study in Anthropocentric Realism,1988
COHTRA-3,Jonathan Cohen,The Red and the Real: An Essay on Color Ontology,2009
MENRMA,Angela Mendelovici,Reliable Misrepresentation and Tracking Theories of Mental Representation,2013
KORODC,Daniel Z. Korman and Dustin Locke,On Debunking Color Realism,2023
CHACIA-10,Colin Chamberlain,Color in a Material World: Margaret Cavendish Against the Early Modern Mechanists,2019
STRTQF-3,Barry Stroud,The Quest for Reality: Subjectivism \& the Metaphysics of Colour,2000
HARASO,C. L. Hardin,Are Scientific Objects Colored?,1984
BYRTB-2,A. Byrne and D. R. Hilbert,Truest Blue,2007
DEDCCB,Don Dedrick,Can Color Be Reduced to Anything?,1996
PAUHDC,Adam Pautz,How Does Colour Experience Represent the World?,2017
CLATTF-3,Austen Clark,"True Theories, False Colors",1996
HALTEO,Richard J. Hall,The Evolution of Color Vision Without Colors,1996
ADATMO-17,Zed Adams and Nat Hansen,The Myth of the Common Sense Conception of Color,2020
MAUP-3,Barry Maund,Perception,2003
HARASR-5,C. L. Hardin,A Spectral Reflectance Doth Not a Color Make,2003
GOWC-3,Laura Gow,Colour,2014
MCGCCI,James A. McGilvray,Constant Colors in the Head,1994
ROSTLP,Peter W. Ross,The Location Problem for Color Subjectivism,2001
ALLLTU,Keith Allen,Locating the Unique Hues,2010
HARAGT,C. L. Hardin,A Green Thought in a Green Shade,2004
HARCAI,C. L. Hardin,Color and Illusion,1990
MAUTIT,Barry Maund,The Illusory Theory of Colours: An Anti-Realist Theory,2006
PAUCE,Adam Pautz,Color Eliminativism (2006 Manuscript),manuscript
HOLCEA-7,Emmett L. Holman,Color Eliminativism and Color Experience,2002
PAUHB,Adam Pautz,Have Byrne \& Hilbert Answered Hardin's Challenge?,2003
GATCF,Dimitria Electra Gatzia,Colour Fictionalism,2010
ROBCRO-4,Pendaran Roberts,"Color Relationalism, Ordinary Illusion, and Color Incompatibility",2014
DORDND-2,Fabian Dorsch,Die Natur der Farben,2009
ROSAP,Peter W. Ross,Perceived Colors and Perceived Locations: A Problem for Color Subjectivism,2012
MATITE-3,Mohan Matthen,Is the Eye Like What It Sees? A Critique of Aristotle on Sensing by Assimilation,2019
BYRYVL-2,Alex Byrne,"Yes, Virginia, Lemons Are Yellow",2002
MCDRAC-3,John Mcdowell,Reality and Colours: Comment on Stroud,2004
TOLIC,Joseph Thomas Tolliver,Interior Colors,1994
STRETQ,Barry Stroud,Explaining the Quest and its Prospects: Reply to Boghossian and Byrne,2002
BOGSTR-3,Paul Boghossian,Seeking the Real,2002
MIZI,Vivian Mizrahi and Martine Nida{-}Rumelin,Introduction,2006
BROSAP-10,Jacob Browning and Zed Adams,Science and Philosophy of Color in the Modern Age,2021
ROSLCF,Peter W. Ross,Locating Color: Further Thoughts,2001
ELLCIA,Jonathan Ellis,Colour Irrealism and the Formation of Colour Concepts,2005
MATRRA-5,Mohan Matthen,"Realism, Relativism, Adverbialism: How Different Are They? Comments on Mazviita Chirimuuta's Outside Color",2017
ALLTQF,Keith Allen,"The Quest for Reality: Subjectivism and the Metaphysics of Colour, by Barry Stroud",2011
COHSPO,Jonathan Cohen,"Subjectivism, Physicalism or None of the Above? Comments on Ross's \emph{the Location Problem for Color Subjectivism}",2001
GATFC,Dimitria Electra Gatzia,Fictional Colors,2007
ARSCEA,Valtteri Arstila,Color Eliminativism and Intuitions About Colors,2010
WEGIRC-2,Daniel Mario Weger,Is Representationalism Committed to Colour Physicalism?,2022
MAUTNO,J. Barry Maund,The Nature of Color,1991
MCGTC,James A. McGilvray,To Color,1983
BROCVW,Derek Brown,Colour Variation Without Objective Colour,2022
COHBST,Jonathan Cohen,"Barry Stroud, the Quest for Reality: Subjectivism and the Metaphysics of Colour",2003
MACRHO-2,Derek Brown and Fiona Macpherson,Routledge Handbook of Philosophy of Colour,2017
ELLCEA-2,Jonathan Ellis,"Color, Error, and Explanatory Power",2006
GOLSLI,Ian Gold,Spatial Location in Color Vision,2001
KELWTW-3,Tanya Kelley,World to Word: Nomenclature Systems of Color and Species,2017
STRR,Barry Stroud,Replies,2004
BRESQF,Bill Brewer,Stroud?s Quest for Reality,2004
GATHCM,Dimitria Gatzia,How Colours Matter to Philosophy,2018
