ID,Author,Title,Year
MESDC-2,Aaron Meskin,Defining Comics,2016
ABE-2,Catharine Abell,Comics and Genre,2011
SHAIDO-7,Nathaniel Sharadin,In Defense of Comic Pluralism,2017
Delgado2023-ORTQPO,Francisco Miguel Ortiz{-}Delgado,"The Pleasure of Fear; the Scarecrow as an Extremely Immoral, Vicious and Pro-Passion Character According to Stoicism",2023
MESCAL,Aaron Meskin,Comics as Literature?,2009
COODOP,Roy T. Cook,Drawings of Photographs in Comics,2012
COODCR,Roy T. Cook,Do Comics Require Pictures? Or Why Batman \#663 is a Comic,2011
MAGCC-2,Christy Mag Uidhir,Comics \& Collective Authorship,2011
HOLOSS,A. G. Holdier,On Superhero Stories: The Marvel Cinematic Universe as Tolkienesque Fantasy,2018
Delgado2017-ORTLID-2,Francisco Miguel Ortiz{-}Delgado,La Imposici\'{o}n de Una Filosof\'{i}a de la Historia Ilustrada a Trav\'{e}s de Los Viajes En El Tiempo. El Caso de la Novela Gr\'{a}fica \&Lt;pax Romana\&Gt;,2017
OYASCZ,Alberto Oya,Sega?s Comix Zone and Miguel de Unamuno on the Ontological Status of Fictional Characters,2022
COOPOC-3,Roy T. Cook,Philosophy of Comics: An Introduction,2023
DEGNKN,Kyle Patrick De Guzman,"Nag-Usap, Kinileg, Nabasa: An Analysis of Humor and Gay Representation in Karlo Victoriano?s Online Comic Series, Sari-Sari Story",2024
ROBCAE-4,Jon Robson,Comics and Ethics,2016
MESTPO-3,Aaron Meskin,The Philosophy of Comics,2011
HEFTWI-2,Sam Heffron,Thinking with Images: An Interview with Thomas E. Wartenberg (1st edition),2024
MAGCS-4,Christy Mag Uidhir,Comics \& Seriality,2016
MAYTTI-2,Patrick Maynard,The Time It Takes,2001
HUBRTA,Katherine Hubbard and Peter Hegarty,Rorschach Tests and Rorschach Vigilantes,2017
MESTL,Aaron Meskin,Teaching \& Learning Guide For: The Philosophy of Comics,2012
LEWPTO-2,Riley Hannah Lewicki,Prefiguring the Otokonoko Genre: A Comparative Trans Analysis of Stop!! Hibari-Kun! And No Bra,2022
MONTFG-3,Laura Moncion,Time Frames: Graphic Narrative and Historiography in Richard Mcguire?s Here,2017
ECUERO,Michael E. Cuffaro and Emerson P. Doyle,"Essay Review of Tanya and Jeffrey Bub?s Totally Random: Why Nobody Understands Quantum Mechanics: A Serious Comic on Entanglement: Princeton and Oxford: Princeton University Press (2018), Isbn: 9780691176956, 272 Pp., ?18.99 / \$22.95",2021
BAKCAC-6,Anastasia Bakogianni,"Classics and Comics - G. Kovacs, C.W. Marshall Classics and Comics. Pp. Xiv + 265, Ills. New York: Oxford University Press, 2011. Paper, \pounds18.99, Us\$29.95 . Isbn: 978-0-19-973419-1",2013
