ID,Author,Title,Year
CHORAR,Noam A. Chomsky,Rules and Representations,1980
QUETPO-4,Matthieu Queloz,"The Points of Concepts: Their Types, Tensions, and Connections",2019
BALWII-5,David Balcarras,What is It to Have a Language?,2023
ZAVCAV,Mart\'{i}n Abreu Zavaleta,Communication and Variance,2019
UNNASA,Elmar Unnsteinsson,Authentic Speech and Insincerity,2023
DUPLAT,Gabe Dupre,Linguistics and the Explanatory Economy,2019
CAREA-9,J. Adam Carter,Exercising Abilities,2019
JACPIT-4,R. Jackendoff,Patterns in the Mind: Language And,forthcoming
BLOETR,Vincent Blok and L. Ploum and O. Omta and T. Lans,Exploring the Relation Between Individual Moral Antecedents and Entrepreneurial Opportunity Recognition for Sustainable Development,2018
ALSAAT-3,Eli Alshanetsky,Articulating a Thought,2019
HIGROT,James Higginbotham,Remarks on the Metaphysics of Linguistics,1991
DEVLIN,Michael Devitt,Linguistics is Not Psychology,2003
NEFLMA,Ryan M. Nefdt,Linguistic Modelling and the Scientific Enterprise,2016
LAHCTM,Bernd Lahno,Challenging the Majority Rule in Matters of Truth,2014
KATTPO-4,Jerrold J. Katz,The Philosophy of Linguistics,1985
NEFTPO-5,Ryan M. Nefdt,The Philosophy of Linguistics: Scientific Underpinnings and Methodological Disputes,2019
MALWIG,Fintan Mallory,Why is Generative Grammar Recursive?,2023
SCHRTR,Michael L. Schwalbe,Role Taking Reconsidered: Linking Competence and Performance to Social Structure,1988
JAYACA,Jay F. Rosenberg,About Competence and Performance,1988
RAZALL,Hili Razinsky,"A Live Language: Concreteness, Openness, Ambivalence",2015
SOBCAC,Elliott Sober,Computability and Cognition,1978
BARKOG,Edison Barrios,Knowledge of Grammar and Concept Possession,2012
UNNCAE,Elmar Unnsteinsson,Compositionality and Expressive Power: Comments on Pietroski,2020
MCCPSI,Robert N. Mccauley,Problem Solving in Science and the Competence Approach to Theorizing in Linguistics,1986
MLLATJ,"Niklas M\""{o}ller",All That Jazz: Linguistic Competence and Improvisation,2014
COLPOL-2,John Collins and Robert J. Matthews and Barry C. Smith and Brian Epstein,Philosophy of Linguistics,2008
PARCNO-3,Barbara H. Partee,Changing Notions of Linguistic Competence in the History of Formal Semantics,2018
SUBLCA-2,Vanja Suboti\'c,Linguistic Competence and New Empiricism in Philosophy and Science,2023
RAYTRI,Rituparna Ray Chaudhuri,The Revolt in the Desert (Journey on English Literature From India to the Usa),2022
BOEMTE,"M. Boeker and N. Grewe and J. R\""{o}hl and D. Schober and S. Schulz and D. Seddig{-}Raufie and L. Jansen",Measuring the Effect of a Guideline-Based Training on Ontology Design with a Competency Questions Based Evaluation Approach,2013
WEICPA-2,Robert W. Weisberg,"Competence, Performance, and Ignorance",1981
ARTELY,Antonio Garc\'{i}a Artal,"El Lenguaje y El Entendimiento, de N. Chomsky",1972
COMNC,Linguistic Competence,N. Chomsky,1985
HUFXBJ,????? ?????,??? ???? ???? ??? ???? ??????? ??????? (1st edition),2018
VANTLO-42,Jan M. Van der Molen,The Language of Asclepius: The Role and Diffusion of the Written Word in--and the Visual Language of--the Cult of Asclepius,"Oct 28, 2019"
VANGRN-2,Jan M. Van der Molen,Greek Ritual Norms: The Textuality of Ritual Norms ('Sacred Laws') in the Ancient Greek World,"Oct 28, 2019"
STARDO-2,Michael Richard Starks,Revis\~{a}o de ?Omaterial Do Pensamento? (the Stuff of Thought) Por Steven Pinker (2008) (Revis\~{a}o Revisada 2019),2019
HEIPCO,Reza Heidarizadi,Phonological Change of Vowel Length in Farsi,2014
JAMLRI-3,Lascelles G. B. James,Linguistic Relativity in the New Testament,manuscript
OKOWCA,Jerome Ikechukwu Okonkwo,"Worldhood Competence and Performance: The Site for Wittgenstein""s Religious Language",2003
ROCPLE,Patr\'{i}cia Graciela Rocha,Pol\'{i}ticas Lingu\'{i}sticas e Ensino de L\'{i}nguas,2024
JAMTNT-2,Lascelles G. B. James,The New Testament Writers (Introduction to Book),forthcoming
NILWAG,Ian Harcourt Niles,Wittgenstein and Generative Theories of Language and Linguistic Competence,1995
JPCA,L. J.,Psycholinguistics,1973
