ID,Author,Title,Year
AUGTGS-3,Luis M. Augusto,Two-Level Grammars: Some Interesting Properties of van Wijngaarden Grammars.,2023
AUGDCO-3,Luis M. Augusto,Deductive Computing Over Knowledge Bases: Prolog and Datalog,2024
AUGTVW,Luis M. Augusto,The van Wijngaarden Grammars: A Syntax Primer with Decidable Restrictions,2023
RICTSO-41,Richard Zach,The Significance of the Curry-Howard Isomorphism,2018
FINNOT-4,Niels Ole Finnemann,"Note on the Complexities of Simple Things Such as a Timeline. On the Notions Text, e-Text, Hypertext, and Origins of Machine Translation.",2021
EVEOOO,Aden Evens,"Object-Oriented Ontology, or Programming's Creative Fold",2006
ZACTSO,Richard Zach,The Significance of the Curry-Howard Isomorphism,2018
STROMC,J. Abbott and A. Van Leuwen and A. Strotman,Open Math: Communicating Mathematical Information Between Co-Operating Agents in a Knowledge Network,1998
OSMYVI,Salah Osman,?? ????? ??? ??? ???????,manuscript
SAIASF-3,C. Sailesh and S. Svermani,A Shift From Cloud Computing Model to Fog Computing,2016
OFRDOE,C. Ofria and C. Adami and T. C. Collier,Design of Evolvable Computer Languages,2002
AKMPDM,Varol Akman,"Peter D. Mosses, \emph{Action Semantics}",1993
JASRAW-3,Bernd Jaspert,"R. A. Wiabey: A Complete Word Index to the Speculum Ecclesiae (Early Middle High German and Latin). With a Reverse Index to the Graphic Forms (Compendia. Computer-Generated Aids to Literary and Linguistic Research, Vol. 2), W. S. Maney and Son Ltd, Leeds (England) 1968, Ix, 319 Pp",1971
