ID,Author,Title,Year
BOGEAF,Tomas Bogardus,Evaluating Arguments for the Sex/Gender Distinction,2020
BETTIA,Talia Mae Bettcher,Trans Identities and First-Person Authority,2009
BOGWTT,Tomas Bogardus,Why the Trans Inclusion Problem Cannot Be Solved,2022
ARVTWC,Marcus Arvan,"Trans Women, Cis Women, Alien Women, and Robot Women Are Women: They Are All (Simply) Adults Gendered Female",2023
MIKFPO,Mari Mikkola,Feminist Perspectives on Sex and Gender,2008
SAUISG,Jennifer Saul,Gender and Race,2006
MIKGCA,Mari Mikkola,Gender Concepts and Intuitions,2009
FINWWM,Cordelia Fine,Will Working Mothers' Brains Explode? The Popular New Genre of Neurosexism,2008
GianniniManuscript-KIRGFA,Cameron Domenico Kirk{-}Giannini,Gender First,manuscript
MILFTO-3,Lantz Fleming Miller,Fine-Tuning the Ontology of Patriarchy: A New Approach to Explaining and Responding to a Persisting Social Injustice,2015
NAISSG,Debra Nails,Social-Scientific Sexism: Gilligan's Mismeasure of Man,1983
JAKTWM,Marzenna Jakbczak,The Woman-and-Tree Motif in the Ancient and Contemporary India,2017
MUKRAS-2,Prasita Mukherjee,Revolutionizing Agency: Sameness and Difference in the Representation of Women by Rokeya Sakhawat Hossain and Mahasweta Devi,2012
WINCA-3,Lidia Wi\'{s}niewska,"Cleopatra ? a Queen, a Lover, a Mother: Transformations of the Image",2012
PANPCL,Marilena Panarelli,Per Cacciar la Malinconia Delle Femine: Immaginazione e Malattia D?Amore Nel Decameron di Boccaccio,2023
GRIHAI-2,Tom Grimwood,Hesitation and Irony in Nietzsche's ?Woman and Child?,2010
ELBAWD,Filipow El\.{z}bieta,Anio\l W Domu Vs. Upad\l{}y Anio\l ? Czyli o (Nie)Normatywnych Wizerunkach Kobiet Na Tle Epoki Wiktoria\'{n}skiej (1st edition),2023
