ID,Author,Title,Year
RAMPAC-2,William Ramsey and Stephen P. Stich and D. M. Rumelhart,Philosophy and Connectionist Theory,1991
RAMCEA,William Ramsey and Stephen P. Stich and J. Garon,"Connectionism, Eliminativism, and the Future of Folk Psychology",1991
DAVCCA-2,Martin Davies,"Concepts, Connectionism, and the Language of Thought",1991
RAMCEA-2,William Ramsey and Stephen P. Stich and J. Garon,"Connectionism, Eliminativism and the Future of Folk Psychology",1991
MACCDO,Cynthia MacDonald and Graham MacDonald,Connectionism: Debates on Psychological Explanation,1991
EGAFPA,Frances Egan,Folk Psychology and Cognitive Architecture,1995
OBRICC,Gerard J. O'Brien,Is Connectionism Commonsense?,1991
SMOOTP,Paul Smolensky,On the Projectable Predicates of Connectionist Psychology: A Case for Belief,1991
HORCAT-2,Terence Horgan and John Tienson,Connectionism and the Commitments of Folk Psychology,1995
FORCAT-3,Malcolm Forster and Eric Saidel,"Connectionism and the Fate of Folk Psychology: A Reply to Ramsey, Stich and Garon",1994
BICCEA,John Bickle,"Connectionism, Eliminativism, and the Semantic View of Theories",1993
STIRTC,Stephen P. Stich and Ted A. Warfield,Reply to Clark and Smolensky: Do Connectionist Minds Have Beliefs?,1991
PAREAR-3,T. Parent,Eliminativism and Reading One's Own Mind,manuscript
CLABE,Andy Clark,Beyond Eliminativism,1989
SUBFPE,Vanja Suboti\'c,"Folk Psychology, Eliminativism, and the Present State of Connectionism",2021
CLAVM-2,Andy Clark,Connectionist Minds,1990
BOTBFD,George Botterill,"Beliefs, Functionally Discrete States, and Connectionist Networks",1994
RAMDRA,William Ramsey,Distributed Representation and Causal Modularity: A Rejoinder to Forster and Saidel,1994
Hawthorne1994-OLEOTT,John O?Leary{-}Hawthorne,On the Threat of Eliminativism,1994
MACCAE,Cynthia Macdonald,Connectionism and Eliminativism,1991
ERNMAA,Christina E. Erneling and David Martel Johnson,Mind as a Scientific Object,2005
CLACIM,Hugh Clapin,Connectionism Isn't Magic,1991
VONCAT,Barbara Von Eckhardt,Connectionism and the Propositional Attitudes,2005
PLAECI,Ullin T. Place,Eliminative Connectionism: Its Implications for a Return to an Empiricist/Behaviorist Linguistics,1992
SKOBIN,Paul G. Skokowski,Belief in Networks,manuscript
CHEAWI,Anthony Chemero,Asking What?s Inside the Head: Neurophilosophy Meets the Extended Mind,2007
