ID,Author,Title,Year
DERD-2,Jacques Derrida,Dissemination,1981
RANDOP,Jacques Ranciere,Dissensus: On Politics and Aesthetics,2010
DERGTI,Jacques Derrida,Given Time: I. Counterfeit Money,1992
AGATMW,Giorgio Agamben,The Man Without Content,1999
BADHOI,Alain Badiou,Handbook of Inaesthetics,2005
DERLOB,Jacques Derrida,Living on Border Lines,2011
CAVPPW,Stanley Cavell,"Philosophical Passages: Wittgenstein, Emerson, Austin, Derrida",1995
DERMOT,Jacques Derrida,Memoirs of the Blind: The Self-Portrait and Other Ruins,1993
BURTDA,Sean Burke,"The Death and Return of the Author: Criticism and Subjectivity in Barthes, Foucault and Derrida",1998
PANTPL,Davide Panagia,The Political Life of Sensation,2009
BATTST,Christine Battersby and Kimberly Hutchings,"The Sublime, Terror and Human Difference",2008
DERP-5,Jacques Derrida,Parages,2011
DERRAC,Jean{-}Philippe Deranty,Ranciere and Contemporary Political Ontology,2003
ZEPAAA-3,Stephen Zepke,Art as Abstract Machine: Ontology and Aesthetics in Deleuze and Guattari,2005
SHATS,Philip Shaw,The Sublime,2006
MASAST-3,Brian Massumi,A Shock to Thought: Expression After Deleuze and Guattari,2002
SAUDEL,Anne Sauvagnargues,Deleuze Et L'Art,2005
RADNMB,Marietta Radomska,"Non/Living Matter, Bioscientific Imaginaries and Feminist Techno-Ecologies of Bioart",2017
MCCTSO-13,Christoph Menke,The Sovereignty of Art: Aesthetic Negativity in Adorno and Derrida,1998
CAZTCA-2,Clive Cazeaux,The Continental Aesthetics Reader,2000
PANTPO-11,Davide Panagia,The Poetics of Political Thinking,2006
CARPFL,David Carroll,"Paraesthetics: Foucault, Lyotard, Derrida",1987
EDWAFD,Terence Rajivan Edward,Almost Forgotten Deconstruction,manuscript
CAMJCG,Iain Campbell,"John Cage, Gilles Deleuze, and the Idea of Sound",2017
FORHLA-2,Russell Ford,"Humor, Law, and Jurisprudence: On Deleuze's Political Philosophy",2016
DOWFAE,Lisa Downing,Film and Ethics: Foreclosed Encounters,2010
DERASR,Jacques Derrida,"Athens, Still Remains: The Photographs of Jean-Franc?Ois Bonhomme",2010
DERCAS-3,Jacques Derrida,"Copy, Archive, Signature: A Conversation on Photography",2010
SHACPT,Michael J. Shapiro,"Cinematic Political Thought: Narrating Race, Nation, and Gender",1999
DERTTI-10,Jacques Derrida,The Truth in Painting,1987
ARNOTN,Rudolf Arnheim,On the Nature of Photography,1972
MULPAT-2,John Mullarkey,Philosophy and the Moving Image: Refractions of Reality,2009
MACDAM,Iain Mackenzie and Robert Porter,Dramatization as Method in Political Theory,2011
CANDMC,Jimena Canales,Desired Machines: Cinema and the World in its Own Image,2011
DERTDO-2,Jacques Derrida,The Deaths of Roland Barthes,1988
BERPAA-8,Rudolf Bernet,Phenomenological and Aesthetic Epoche: Painting the Invisible Things Themselves,2012
LLETHI-3,John Llewelyn,The Hypocritical Imagination: Between Kant and Levinas,1999
BOVTAT,Martijn Boven,Towards a Theory of the Imaginative Dialogue: Four Dialogical Principles,forthcoming
PUCTDO,Martin Puchner,The Drama of Ideas: Platonic Provocations in Theater and Philosophy,2010
HALTAD,Richard Halpern,Theater and Democratic Thought: Arendt to Ranci\`{e}re,2011
GALAST,Alexander Galloway,Are Some Things Unrepresentable?,2011
DERTTB,Jacques Derrida,Title to Be Specified,2011
MILDAL-2,J. Hillis Miller,Derrida and Literature,2001
ADOOTS,T. W. Adorno,On the Social Situation of Music,1978
BLOAAP,Ernst Bloch,Aesthetics and Politics,1977
FISSCA-3,Michael Fischer,Stanley Cavell and Literary Skepticism,1989
ADOLPA,Theodor W. Adorno,Lyric Poetry and Society,1974
MAXDDA,Rafeeq Hasan and Max Blechman and Anita Chari,"Democracy, Dissensus and the Aesthetics of Class Struggle: An Exchange with Jacques Ranci\`{e}re",2005
GEOH,Theodore George,Hermeneutics,2020
AGAN-2,Giorgio Agamben,Nymphs,2011
PARTOS,Luciana Parisi,Technoecologies of Sensation,2009
APTGIO,Emily Apter,"Global \emph{Translatio:} the ?Invention? of Comparative Literature, Istanbul, 1933",2003
SAITIT,Naoko Saito,Truth is Translated: Cavell's Thoreau and the Transcendence of America,2007
TANWRN-2,Joseph J. Tanke,Why Ranci\`{e}re Now?,2010
VALPAI,Raji Vallury,Politicizing Art in Ranci\`{e}re and Deleuze : The Case of Postcolonial Literature,2009
WIMTJO,Cory Wimberly,The Joy of Difference: Foucault and Hadot on the Aesthetic and Universal in Philosophy,2009
DERJR,Jean{-}Philippe Deranty,Jacques Ranciere: Key Concepts,2010
FONAAS-2,James Fontini,Alleviating a Shared Burden,manuscript
LEWEIT,Tyson Edward Lewis,Education in the Realm of the Senses: Understanding Paulo Freire's Aesthetic Unconscious Through Jacques Ranci\`{e}re,2009
CLAMPT,David Clarke,"Music, Phenomenology, Time Consciousness: Meditations After Husserl",2011
KATFDP,Joshua Kates,"Fielding Derrida: Philosophy, Literary Criticism, History, and the Work of Deconstruction",2008
DICTLO,Colby Dickinson,The Logic of the ''as If'' and the (Non)Existence of God: An Inquiry Into the Nature of Belief in the Work of Jacques Derrida,2011
DERLOG,Jacques Derrida,Law of Genre,2011
ADOTAO-3,T. W. Adorno,The Aging of the New Music,1988
ROBJRA-3,Mark Robson,Jacques Ranci\`{e}re and Time: Le Temps D'Apr\`{e}s,2015
VZQEED,Manuel E. V\'{a}zquez,"El Escenario de la Pol\'{i}tica (Ranci\`{e}re, Cort\'{a}zar, la Filosof\'{i}a y la Literatura)",2011
JOHPCI,John Roberts,"Philosophy, Culture, Image: Ranci\`{e}re's 'Constructivism'",2010
DERDLL,Jacques Derrida,Devant la Loi,1983
PEISBD,Nick Peim,Spectral Bodies: Derrida and the Philosophy of the Photograph as Historical Document,2005
ROBJRA-2,Mark Robson,Jacques Ranci\`{e}re's Aesthetic Communities,2005
GEOWIT-2,Theodore George,What is the Future of the Past? Gadamer and Hegel on the Work of Art in the Age of its Liberation,2009
WELWDW-4,Ruud Welten,What Do We Hear When We Hear Music?,2009
ANDTCA-3,Dudley Andrew,The Core and the Flow of Film Studies,2009
PAPABS,Nikos Papastergiadis,A Breathing Space for Aesthetics and Politics: An Introduction to Jacques Ranci\`{e}re,2014
ZDEDAT,Jakub Zdebik,Deleuze and the Diagram: Aesthetic Threads in Visual Organization,2012
