ID,Author,Title,Year
MOVADD,Hamed Movahedi,"A Deleuzian Dialogue Between Leibniz and Ruyer: Monads, Absolute Survey and Life",2024
BACGSB,Jussi M. Backman and Taylor Carman and Daniel Dahlstrom and Graham Harman and Michael Marder and Richard Polt,Gatherings Symposium: Beyond Presence?,2019
DUVPEA-2,Russell J. Duvernoy,?Pure Experience? and ?Planes of Immanence?: From James to Deleuze,2016
HAANOT-2,Andrew Haas,Notes on Time and Aspect,2015
SRESBS,Asger S\o{}rensen,"Suver\a{e}nitet. Bataille Set I Lyset Af Hegel, Marx \& Co.",1991
BEAGDA,Alain Beaulieu and Edward Kazarian and Julia Sushytska,Gilles Deleuze and Metaphysics,2014
OLSAMT,Michael J. Olson,A Materialist Transcendental: On the Onto-Logy of Logics of Worlds,2013
OOTJFF,Tadahiro Oota,Jakob Friedrich Fries as an Opponent of German Idealism,2019
BACMAS,Jussi M. Backman,"Monenkeskisest\""a Ainutkertaisuudesta, Sen Ontologiasta Ja Politiikasta",2021
NARBRR-2,Swami Narasimhananda,Book Review Religion Without God by Ronald Dworkin,2016
ZANBRP-2,Hakhamanesh Zangeneh,Book Review: Politics of the One: Concepts of the One and the Many in Contemporary Thought,2013
