ID,Author,Title,Year
LAFTLT,Cristina Lafont,The Linguistic Turn in Hermeneutic Philosophy,1999
LIGHVG,Brian Lightbody,Hermeneutics Vs. Genealogy: Brandom?s Cloak or Nietzsche?s Quilt?,2020
HANSFT-4,Ejvind Hansen,Searching for the Fourfold in Critical Discourse Analysis,2024
CULWUC,Carolyn Culbertson,Words Underway: Continental Philosophy of Language,2019
LEIMPS,Robert S. Leib,"Myth, Primitive Sign, Poetry: From Cassirer to Heidegger",2018
NGNH,Julia Ng,"Now, Hamacher",2017
BUROLA,Jon Burmeister and Mark Sentesy,"On Language: Analytic, Continental and Historical Contributions",2007
BURPPF-2,Victoria I. Burke,Photocopy Packet for Soc*4450 University of Guelph (Edited by V. I. Burke),2017
VOLTDP-3,"J\""{o}rg Volbers and Klaus W. Hempfer",Theorien des Performativen: Sprache - Wissen - Praxis,2011
SMIKPA-3,Mikhail A. Smirnov,Kantian Philosophy and ?Linguistic Kantianism?,2018
GELQSO,Alexander Gelley,"""the Speech of Dasein: Heidegger and Quotidian Discourse""",2017
TOMTGO-5,Natalia Tomashpolskaia,The Genesis of Sprachkritik and Formation of Philosophy of Language in Austro- Hungarian Philosophy: Its Influence on Ludwig Wittgenstein?s Thought. La G\'{e}nesis de la Sprachkritik y la Formaci\'{o}n de la Filosof\'{i}a Del Lenguage En la Filosof\'{i}a Austroh\'{u}ngara: Su Influencia En El Pensamiento de Ludwig Wittgenstein,2022
QUIDOT-2,Miguel Elvir Quitain,Dialectics of the Author-Reader Relationship: Criticizing the Revolutionary Tradition of Stereotypical Propaganda Writing Through Reaffirmation of Authorial Intentionalism,manuscript
HORROJ-4,Sarah Horton,"Review of Johan de Jong: The Movement of Showing: Indirect Method, Critique, and Responsibility in Derrida, Hegel, and Heidegger",2021
