ID,Author,Title,Year
IEKTSO-2,Slavoj Z?iz?ek,The Sublime Object of Ideology,1989
IEKLTN,Slavoj i\v{z}ek,Less Than Nothing: Hegel and the Shadow of Dialectical Materialism,2012
DEROCA,Jacques Derrida,On Cosmopolitanism and Forgiveness,2001
DERTGO-2,Jacques Derrida,The Gift of Death,1996
IEKTTS,Slavoj Z?iz?ek,The Ticklish Subject: The Absent Centre of Political Ontology,1999
IEKVSS,Slavoj Zizek,Violence: Six Sideways Reflections,2008
HAGRAD,Martin Ha?gglund,Radical Atheism: Derrida and the Time of Life,2008
DERAOR,Jacques Derrida,Acts of Religion,2002
CAPTPA-3,John D. Caputo,The Prayers and Tears of Jacques Derrida: Religion Without Religion,1997
IEKIDO,Slavoj \v{Z}i\v{z}ek,In Defense of Lost Causes,2008
IEKTPV-2,Slavoj \v{Z}i\v{z}ek,The Parallax View,2006
IEKTPA-2,Slavoj ?I.?ek,The Puppet and the Dwarf: The Perverse Core of Christianity,2003
IEKTPV-5,Slavoj \v{Z}i\v{z}ek,The Parallax View,2004
ZIZOB,Slavoj Z?iz?ek,On Belief,2001
IEKTMO-3,Slavoj ?I.?ek and John Milbank,The Monstrosity of Christ: Paradox or Dialectic?,2009
IEKTPA,Slavoj Zizek,The Puppet and the Dwarf: The Perverse Core of Christianity,2003
AGAN,Giorgio Agamben,Nudities,2010
HENIAT,Michel Henry,I Am the Truth: Toward a Philosophy of Christianity,2003
JOHZOA,Adrian Johnston,Zizek's Ontology: A Transcendental Materialist Theory of Subjectivity,2008
IEKTMO-2,Slavoj \v{Z}i\v{z}ek and John Milbank,The Monstrosity of Christ: Paradox or Dialectic?,2009
NAAMAM,Michael Naas,"Miracle and Machine: Jacques Derrida and the Two Sources of Religion, Science, and the Media",2012
DEVPAT,Hent de Vries,Philosophy and the Turn to Religion,1999
DEVMTC,Hent de Vries,Minimal Theologies: Critiques of Secular Reason in Adorno and Levinas,2005
SHEDAR-2,Yvonne Sherwood and Kevin Hart,Derrida and Religion: Other Testaments,2005
DERATO,Jacques Derrida,"Abraham, the Other",2007
BERLIT-7,Lovisa Bergdahl,Lost in Translation: On the Untranslatable and its Ethical Implications for Religious Pluralism,2009
WATDAP,Christopher Watkin,"Difficult Atheism: Post-Theological Thinking in Alain Badiou, Jean-Luc Nancy and Quentin Meillassoux",2011
BARTYD,Edward Baring,"The Young Derrida and French Philosophy, 1945-1968",2011
WOOZAR-2,Kelsey Wood,Zizek: A Reader's Guide,2012
DUBTSS,Alex Dubilet,"The Self-Emptying Subject: Kenosis and Immanence, Medieval to Modern",2018
HAMTFJ,Sarah Hammerschlag,The Figural Jew: Politics and Identity in Postwar French Thought,2010
SMIATP,Anthony Paul Smith and Daniel Whistler,After the Postsecular and the Postmodern: New Essays in Continental Philosophy of Religion,2010
ANIS-2,Gil Anidjar,Secularism,2006
BLOPPB-3,Phillip Blond,Post-Secular Philosophy: Between Philosophy and Theology,1997
KEADIC,Richard Kearney,Debates in Continental Philosophy: Conversations with Contemporary Thinkers,2004
DEPCIP,Frederiek Depoortere,"Christ in Postmodern Philosophy: Gianni Vattimo, Ren\'e Girard and Slavoj Zizek",2010
ROSATO-14,Marika Rose,A Theology of Failure: Z?Iz?Ek Against Christian Innocence,2019
CUNGON,Conor Cunningham,Genealogy of Nihilism: Philosophies of Nothing and the Difference of Theology,2002
TACTLW,Joshua Taccolini,The Little Way of My Self's Revelation,forthcoming
DUSADL,Enrique Dussel,Arquitect\'{o}nica de la \'{E}tica de la Liberaci\'{o}n En la Edad de la Globalizaci\'{o}n y la Exclusi\'{o}n,1998
BERMWA-2,Robert Bernasconi,Must We Avoid Speaking of Religion? The Truths of Religions,2009
CAPTR-3,John D. Caputo,The Religious,2001
BLOTFO-2,Jeffrey Bloechl,The Face of the Other and the Trace of God: Essays on the Philosophy of Emmanuel Levinas,2000
TOSDMC,Alberto Toscano,Divine Management: Critical Remarks on Giorgio Agamben's the Kingdom and the Glory,2011
NICFAE,Nicolae Turcan,Faith as Experience: A Theo-Phenomenological Approach,2023
BURTOT-5,Steven Burik,"Thinking on the Edge: Heidegger, Derrida, and the Daoist Gateway ( Men ?)",2010
ALETDI,Angela Ales Bello,The Divine in Husserl and Other Explorations,2009
BACARE,Jussi Backman,"A Religious End of Metaphysics? Heidegger, Meillassoux and the Question of Fideism",2016
NEWEDA,David Newheiser,"Eckhart, Derrida, and the Gift of Love",2015
NAATPA,Michael Naas,The Philosophy and Literature of the Death Penalty: Two Sides of the Same Sovereign,2012
IEKCWZ-4,Slavoj Zizek and Glyn Daly,Conversations with Zizek,2003
MYESI,Tony Myers,Slavoj Z?Iz?Ek,2003
KENABH-2,Kenneth A. Reynhout,Alain Badiou: Hidden Theologian of the Void?,2011
MICURM,Michel Dalissier,Une Romance M\'{e}taphysique : Merleau-Ponty Et Beauvoir,2016
DUPHTO,Louis Dupre,Husserl's Thought on God and Faith,1968
FOXSPA,Christopher A. Fox,Sacrificial Pasts and Messianic Futures: Religion as a Political Prospect in Ren\'e Girard and Giorgio Agamben,2007
KEAADW,Richard Kearney,A Dialogue with Jacques Derrida,2004
FRAHTU,Paul Franceschi,Comment l'Urne de Carter Et Leslie Se D\'{e}verse Dans Celle de Hempel,1999
RICLQD,Marie{-}Andr\'{e}e Ricard,La Question de la Donation Chez Jean-Luc Marion,2001
NAAON,Michael Naas,"""One Nation ? Indivisible"": Jacques Derrida on the Autoimmunity of Democracy and the Sovereignty of God",2006
ROUL-9,Gilles Routhier,Liminaire,2015
GIOCDD-3,Julie Giovacchini,Comment D\'{e}crire des Cas Sans Maladies?,2021
BOUJPR-2,Marion Bourbon,Jusqu?O\`u Peut-on Rapprocher les Th\'{e}rapies Cognitives de la Th\'{e}rapeutique S\'{e}n\'{e}quienne?,2021
JUSTAD,Kristien Justaert,Theology After Deleuze,2012
ALMSAD,Ian Almond,Sufism and Deconstruction: A Comparative Study of Derrida and Ibn ?arabi,2004
BROIAH,Thomas Brockelman,Zizek and Heidegger: The Question Concerning Techno-Capitalism,2008
LLEMOR,John Llewelyn,Margins of Religion: Between Kierkegaard and Derrida,2008
SHEOOH,Yvonne Sherwood and John D. Caputo,"Otobiographies, or How a Torn and Disembodied Ear Hears a Promise of Death (a Prearranged Meeting Between Yvonne Sherwood and John D. Caputo and the Book of Amos and Jacques Derrida)",2005
SIMGIR,J. Aaron Simmons,God in Recent French Phenomenology,2008
MARLFD-7,Jean{-}Luc Marion,La Fin de la Fin de la M\'{e}taphysique,1986
COETSI,Mark Coeckelbergh,The Spirit in the Network: Models for Spirituality in a Technological Culture,2010
DESSEC,Pierre{-}Luc Desjardins,Science Et Connaissance Testimoniale Chez Gonzalve D?Espagne,2024
NAUL-4,Fran\c{c}ois Nault,Liminaire,2013
HUIATH,Yuk Hui,Apropos Technophany,2024
RICL-2,Jean Richard,Liminaire,2009
CAPEAF,John D. Caputo and Kevin Hart and Yvonne Sherwood,Epoch\'e and Faith: An Interview with Jacques Derrida,2005
GUILDE-5,Charles Guibla,Le Diable Est Dans la Pri\`{e}re,2024
WIETLO-2,Adam \'{S}wie\.{z}y\'{n}ski,The Loneliness of ?Adam? : An Attempt at Symbolic Interpretation,2016
Laurent2024-STLUTN,Guillaume St{-}Laurent,Une Th\'{e}ologie Naturelle Est-Elle Encore Possible?,2024
BERSOS-2,Philippa Berry and Andrew Wernick,Shadow of Spirit: Postmodernism and Religion,1992
ROUREP-8,Gilles Routhier,Recherches Et Publications R\'{e}centes Autour de Vatican Ii,2003
DALDLM,Michel Dalissier,De la Maturit\'e \`A la Pr\'{e}maturation,2020
BALRF,Crist\'{o}bal Balbontin,Rosenzweig/Levinas Face \`A L?\'{E}tat,2020
ALMNTD,Ian Almond,"Negative Theology, Derrida and the Critique of Presence: A Poststructuralist Reading of Meister Eckhart",1999
DONTAI-2,Willis Doney,True and Immutable Natures,1997
HANPAW-2,Wayne Hankey,Philosophy as Way of Life for Christians?,2003
DROBIA,Adam Drozdek,Beyond Infinity: Augustine and Cantor,1995
BLODRC-2,Vincent Blok,"Der ?Religi\""{o}se? Charakter von Heideggers Philosophischer Methode: Relegere, Re-Eligere, Relinquere",2011
BAIWKA,Marie L. Baird,"Whose Kenosis? An Analysis of Levinas, Derrida, and Vattimo on God's Self-Emptying and the Secularization of the West",2007
MEEMCM,Yves Meessen,Mystique Chr\'{e}tienne M\'{e}di\'{e}vale : La Voie de Ma\^{i}tre Eckhart,2024
DICTLO,Colby Dickinson,The Logic of the ''as If'' and the (Non)Existence of God: An Inquiry Into the Nature of Belief in the Work of Jacques Derrida,2011
POIKJW,Paul{-}Hubert Poirier,"Kaestli, Jean-Daniel, Wermelinger, Otto, \'{E}d., le Canon de l'Ancien Testament : Sa Formation Et Son Histoirekaestli, Jean-Daniel, Wermelinger, Otto, \'{E}d., le Canon de l'Ancien Testament : Sa Formation Et Son Histoire",1987
KALDAR,Victor Kal,Derrida and Religion: Other Testaments,2005
BUTTZD,Rex Butler,The \v{Z}i\v{z}ek Dictionary,2013
MEYTLA,Johann{-}Albrecht Meylahn,"The Limits and Possibilities of Postmetaphysical God-Talk: A Conversation Between Heidegger, Levinas and Derrida",2013
DICBTC,Colby Dickinson,Between the Canon and the Messiah: The Structure of Faith in Contemporary Continental Thought,2013
GRIPDP-2,Christophe Gripon,Proposition D?Un Prolongement Concret \`A la Foi Absolue du Courage D?\^{E}tre Avec L?Interpr\'{e}tation Jungienne des R\^{e}ves,2024
STRARE,Anna Strhan,A Religious Education Otherwise? An Examination and Proposed Interruption of Current British Practice,2010
EEVJDA,C. E. Evink,Jacques Derrida and the Faith in Philosophy,2010
PAPOAT,Marianna Papastephanou,Onto-Theology and the Incrimination of Ontology in Levinas and Derrida,2005
SCHEDP,Donovan O. Schaefer,Embodied Disbelief: Poststructural Feminist Atheism,2014
LANTTD,David P. Lang,The Thomistic Doctrine of Prime Matter,1998
DEWSAC,Lawrence Dewan,"St. Albert, Creation, and the Philosophers",1984
ROUREP-7,Gilles Routhier,Recherches Et Publications R\'{e}centes Autour de Vatican Ii,2002
LACLCS-2,Jean{-}Yves Lacoste,La Connaissance Silencieuse. Des Evidences Antepredicatives a Une Critique de L'Apophase,2002
KEAEMA,Richard Kearney,"Evil, Monstrosity and the Sublime",2001
LAMMDF,Julien Lambinet,M\'{e}taphysique de Finitude Et M\'{e}taphysique Cr\'{e}aturelle,2019
THRGEL,Claude Th\'{e}rien,Gadamer Et la Ph\'{e}nom\'{e}nologie du Dialogue,1997
ROCGRA,Tom Rockmore,"Gadamer, Rorty and Epistemology as Hermeneutics",1997
HORDAT,Noah Horwitz,"Derrida and the Aporia of the Political, or the Theologico-Political Dimension of Deconstruction",2002
SIGTAM,Ola Sigurdson,Theology and Marxism in Eagleton and Z?Iz?Ek: A Conspiracy of Hope,2012
LACTAO-7,Jean{-}Yves Lacoste,The Appearing of God,2018
LAVLLB,Jean{-}Jacques Lavoie,"Lire la Bible En Traduction, Hier Et Aujourd?Hui",2024
CARLEH,Pierre Cardinal and Serge Cazelais and Eric Cr\'{e}gheur and Lucian D\^{i}nca and Steve Johnston and Jonathan I. von Kodar and Paul{-}Hubert Poirier and Jennifer K. Wees,Litt\'{e}rature Et Histoire du Christianisme Ancien,2008
FRAPAE,Carlos Fraenkel,"Philosophy and Exegesis in Al-F\^{a}r\^{a}b\^i, Averroes, and Maimonides",2008
TAREAT,Harold Tarrant,Eudorus and the Early Platonist Interpretation of the Categories,2008
WHILTE,Judy Whipps,"""Learn to Earn"": A Pragmatist Response to Contemporary Dialogues About Industrial Education",2008
MEGHTA,Allan Megill,"History, Theoreticism, and the Limits of ?the Postsecular?1",2013
ANIOG,Gil Anidjar,Of Globalatinology,2013
KAVJMA-2,Martin Kavka,Jewish Messianism and the History of Philosophy,2004
ROGFTS,Chandler D. Rogers,From the Shadows of Mt. Moriah: Approaching Faith in Fear and Trembling,2015
MERPMR,Thomas Cl\'{e}ment Mercier,Pens\'{e}es Magiques: Retour Sur le 'Retour du Religieux',2019
MARBPE,John Marenbon,"Bo\`{e}ce, Porphyre Et les Vari\'{e}t\'{e}s de L?Abstractionnisme",2012
FISLL,Franck Fischer,L?Acc\`{e}s \`A L?Id\'{e}e Et L?\'{E}ducation Politique Dans la R\'{e}publique,2006
Lysencourt2018-ROYHDC-2,Philippe Roy{-}Lysencourt,Histoire du Christianisme Moderne Et Contemporain,2018
PROTKI,Sergei Prozorov,The Katechon in the Age of Biopolitical Nihilism,2012
Germain2006-STGMED,Philippe St{-}Germain,Mythe Et \'{E}ducation : Proclus Et la Critique Platonicienne de la Po\'{e}sie,2006
ROGTDN-2,Chandler D. Rogers and Tober Corrigan,The Dark Night of Ecological Despair: Awaiting Reconsecration in Paul Schrader?s First Reformed,2020
STAPMA-5,Timothy Stanley,Protestant Metaphysics After Karl Barth and Martin Heidegger,2010
HIGNOW,Jared Highlen,?No One Was as Great as Abraham?: Exemplarity and the Failure of Hermeneutical Refiguration in Fear and Trembling,2023
RACPEC,\'{E}ric Racine,Pourquoi Et Comment Doit-on Tenir Compte des Neurosciences En \'{E}thique?,2005
SHEOT,Yvonne Sherwood and Kevin Hart,Other Testaments,2005
GAGQDT,Philippe Gagnon,"""le Dernier \'{E}tat d'Un Finalisme Contemporain ? \`A Propos d'Un In\'{e}dit Majeur de Raymond Ruyer"" [the Final Status of a Contemporary Finalism?Concerning a Major Unpublished Draft of Raymond Ruyer]",2014
RIVGIA,Joseph M. Rivera,"Generation, Interiority and the Phenomenology of Christianity in Michel Henry",2011
JOBL,Guy Jobin and Fran\c{c}ois Nault,Liminaire,2011
BOETAT,Roland Boer,Theology and the Event: The Ambivalence of Alain Badiou,2011
NAUCEO-2,Fran\c{c}ois Nault,"Consummatum Est, Ou la K\'{e}nose de la Parole",2011
JOBILH-2,Guy Jobin,Instituer L?\'{E}videment?,2011
