ID,Author,Title,Year
LIVTPO-12,Paul M. Livingston,"The Politics of Logic: Badiou, Wittgenstein, and the Consequences of Formalism",2011
SIMSAB-7,Massimiliano Simons,Surrationalism After Bachelard: Michel Serres and le Nouveau Nouvel Esprit Scientifique,2019
ETXCAT,Arantza Etxeberria and Charles T. Wolfe,Canguilhem and the Logic of Life,2018
PERSAM,Jaroslav Peregrin,Structure and Meaning,1997
ABLPSA,Phillip Ablett and George Evangelista,Poulantzas' Strategic Analysis of Fascism,1987
PERSLA,Jaroslav Peregrin,Structural Linguistics and Formal Semantics,manuscript
WOLLBD,Charles T. Wolfe,La Biophilosophie de Georges Canguilhem,2017
VEDPIP,Th\'{e}r\`{e}se Vedet,"Parry in Paris: Structuralism, Historical Linguistics, and the Oral Theory",2005
BADBAT,Alain Badiou,Badiou and the Philosophers: Interrogating 1960s French Philosophy,2013
AURLQD,SImone Aurora,"Lo ""Strutturalismo"" di Edmund Husserl",2014
THOTCO-48,Tzuchien Tho,The Consistency of Inconsistency,2008
DOWTOO,Ian Downey,The Origin of Certainty in Lacan's Seminar Xi,2013
PERTPM-2,Jaroslav Peregrin,The Philosophers? Magazine/Autumn 2002,manuscript
HENCAN-2,Chris Henry,Contra-Axiomatics: A Non- Dogmatic and Non-Idealist Practice of Resistance,2016
VANTNO-22,Pol Vandevelde,The Notions of ?Discourse? and ?Text? in Postmodernism,1992
OSIJTA,Bruno Osimo,Jakobson,2008
PSATPO,Bruce M. Psaty and Thomas S. Inui,"The Place of Human Values in the Language of Science: Kuhn, Saussure, and Structuralism",1991
JONTIA-6,Mitchell P. Jones,Transcendental Intersubjectivity and the Objects of the Human Sciences,2000
BOUPAT,Patrick L. Bourgeois,Phenomenology and the Sciences of Language,1971
PERRJA,Keith Percival,Roman Jakobson and the Birth of Linguistic Structuralism,2011
FROTAT,Wayne Froman,Toward a Theory of Textuality,1989
RANSPO-2,Anti Randviir,Sociosemiotic Perspectives on Studying Culture and Society,2001
CALLIS-3,Patrizia Calefato,Language in Social Reproduction,2009
GUHISU,Debashis Guha,Is Structuralism Unavoidable in the Application of Ethics?,2008
YSSSAP,Samuel Ysseling,Structuralism and Psychoanalysis in the Work of Jacques Lacan,1970
MARMRN,David Maruzzella,"Materialism, Realism, Naturalism: Althusser?s Philosophy Reconsidered",2022
HARTPO-184,Matt Hare,The Philosophy of the Concept and the Specificity of Mathematics,2022
OSEBOM,Joseph D. Osel,Black Out: Michelle Alexander's Operational Whitewash: The New Jim Crow Reviewed,2012
DIMDBG,Borislav Dimitrov,"Dimitrov, Borislav G. (1989). Quality of the Quantity?. Philosophic Thought Magazine, 3 - 1989, Institute of Philosophical Sciences, Bulgarian Academy of Science.",1989
