ID,Author,Title,Year
KRINAN,Saul A. Kripke,Naming and Necessity: Lectures Given to the Princeton University Philosophy Colloquium,1980
KRIIAN,Saul A. Kripke,Identity and Necessity,1971
NOOI,Harold Noonan and Benjamin L. Curtis,Identity,2022
GIBCI,Allan Gibbard,Contingent Identity,1975
LEWCOP,David Lewis,Counterparts of Persons and Their Bodies,1971
KOCC-3,Alexander W. Kocurek,Counteridenticals,2018
YABIEA-2,Stephen Yablo,"Identity, Essence, and Indiscernibility",1987
RIDTMM-4,Thomas Ridout,The Many Mes' Problem for Theories of Persistence Through Change,2024
NOOIIC,Harold W. Noonan,"Indeterminate Identity, Contingent Identity and Abelardian Predicates",1991
RAEOIH,Gavin Rae,Ontology in Heidegger and Deleuze: A Comparative Analysis,2014
Yami2018-BENTLC-2,Hanoch Ben{-}Yami,The Logical Contingency of Identity,2018
PICASS-2,Martin Pickup,A Situationalist Solution to the Ship of Theseus Puzzle,2016
RUDUWI,Lynne Rudder Baker,Unity Without Identity: A New Look at Material Constitution,1999
MYRIAT,George Myro,Identity and Time,1997
SANTAT-8,Alexander Sandgren,Thought and Talk in a Generous World,2022
RUDTOS,Lynne Rudder Baker,The Ontological Status of Persons,2002
SCHCI-2,Wolfgang Schwarz,Contingent Identity,2013
MAGABL,Ofra Magidor,Arguments by Leibniz?s Law in Metaphysics,2011
GALTMO-12,Andre? Gallois,The Metaphysics of Identity,2016
WAHDOA,Tobias Hansson Wahlberg,4-D Objects and Disposition Ascriptions,2009
HANCIB,Tobias Hansson Wahlberg,Can I Be an Instantaneous Stage and yet Persist Through Time?,2008
BADTNO,Ralf M. Bader,The Non-Transitivity of the Contingent and Occasional Identity Relations,2012
CASTCI,Albert Casullo,The Contingent Identity of Particulars and Universals,1984
KOSAIO,Kathrin Koslicki,Almost Indiscernible Objects and the Suspect Strategy,2005
SCHCTA-13,Wolfgang Schwarz,Counterpart Theory and the Paradox of Occasional Identity,2014
COBILL,Pablo Cobreros and Paul Egr\'e and David Ripley and Robert van Rooij,"Identity, Leibniz?s Law and Non-Transitive Reasoning",2013
SAUIAN,Kripke Saul,Identity and Necessity,1971
COBILL-2,Pablo Cobreros and Paul Egr\'e and David Ripley and Robert Rooij,"Identity, Leibniz's Law and Non-Transitive Reasoning",2013
KEECIA,Rosanna Keefe,Contingent Identity and Vague Identity,1995
DEADSE,Eric de Araujo,Different Samenesses: Essays on Non-Standard Views of Identity,2021
WILWCI,Mark Wilson,Why Contingent Identity is Necessary,1983
RAMCII,Murali Ramachandran,Contingent Identity in Counterpart Theory,1990
JURMIB,Marko Jurjako and Zdenka Brzovi\'c,Must Identity Be Necessary? (In Croatian),2021
ZANSFC,Zane Parks,Semantics for Contingent Identity Systems,1974
