ID,Author,Title,Year
STRADD,Sharon Street,A Darwinian Dilemma for Realist Theories of Value,2006
BRIMRA-6,David Owen Brink,Moral Realism and the Foundations of Ethics,1989
RAIMR,Peter Railton,Moral Realism,1986
BOYHTB,Richard Boyd,?How to Be a Moral Realist,1988
COPDSA,David Copp,Darwinian Skepticism About Moral Realism,2008
BRIEMR,David O. Brink,Externalist Moral Realism,1986
FINFFO,Stephen Finlay,Four Faces of Moral Realism,2007
LASTSO-4,Nicholas Laskowski,The Sense of Incredibility in Ethics,2019
BRIRNA-2,David O. Brink,"Realism, Naturalism, and Moral Semantics",2001
Brehier2023-STATRO-60,Alexios Stamatiadis{-}Br\'{e}hier,The Revenge of Moral Twin Earth,2023
AKHOTP,Farbod Akhlaghi,On the Possibility of Wholesale Moral Error,2021
SINER-2,Neil Sinhababu,Ethical Reductionism,2018
LENMN,Jimmy Lenman,Moral Naturalism,manuscript
DRETSA-2,James Dreier,The Supervenience Argument Against Moral Realism,1992
COPMHA,David Copp,"Milk, Honey, and the Good Life on Moral Twin Earth",2000
BOYFBF,Richard Boyd,"Finite Beings, Finite Goods: The Semantics, Metaphysics and Ethics of Naturalist Consequentialism, Part I",2003
LUCHMF,Andr\'{e}s Luco,How Moral Facts Cause Moral Progress,2019
SCHNRC-2,Laura Schroeter,Normative Realism: Co-Reference Without Convergence?,2013
BOYFBF-2,Richard Boyd,"Finite Beings, Finite Goods: The Semantics, Metaphysics and Ethics of Naturalist Consequentialism, Part Ii",2003
STRQFR,Bart Streumer,Quasi-Realism for Realists,forthcoming
KURWDO,Charlie Kurth,What Do Our Critical Practices Say About the Nature of Morality?,2013
LERTPO-7,Adam Lerner,The Puzzle of Pure Moral Motivation,2018
NELMRA,Mark T. Nelson,Moral Realism and Program Explanation,2006
FREGAM,Christopher Freiman,Goodness and Moral Twin Earth,2014
CHOALT,Ryo Chonabayashi,A Localist Turn for Defending Moral Explanations,2022
SLUCIM,David Slutsky,Causally Inefficacious Moral Properties,2001
CORNMR,Josep Corb\'i,"Normativity, Moral Realism, and Unmasking Explanations",2010
CLIMET,Brendan Cline,"Moral Explanations, Thick and Thin",2015
COLEMR,John Collier and Michael Stingl,Evolutionary Moral Realism,2013
FISAAM-3,Andrew Fisher and Simon Kirchin,Arguing About Metaethics,2006
ROOADF,James Dominic Rooney,A Dilemma for Yong Huang?s Neo-Confucian Moral Realism,forthcoming
BROAAF-9,Berit Brogaard and Michael Slote,"Against and for Ethical Naturalism Or: How Not to ""Naturalize"" Ethics",2022
STAMM,Daniel Star,Moral Metaphysics,2013
RUBIGA,Michael Rubin,Is Goodness a Homeostatic Property Cluster?,2008
CHOMEO,Ryo Chonabayashi,Moral Explanation of Moral Judgements,2023
RUBNEM,Michael Rubin,Normatively Enriched Moral Meta-Semantics,2015
MILABA,Joseph Millum,A Biological Alternative to Moral Explanations,2008
LIGMRA,David Liggins,Multiple Realization and Expressive Power in Mathematics and Ethics,2016
BRAHN,David Brax,Hedonic Naturalism,manuscript
TIEMRA-3,Christine Tiefensee,Moral Realism. A Critical Analysis of Metaethical Naturalism.,2008
CARMRA,George R. Carlson,Moral Realism and Wanton Cruelty,1994
PUTWNM-2,Ruth Anna Putnam,Why Not Moral Realism?1,2008
KLAMRA,James C. Klagge,Moral Realism and Dummett's Challenge,1988
LOVPAR-2,Maurilio Lovatti,Peter A. Railton and the Objective Moral Realism,1999
COPRMR,David Copp,Review: Moral Realism: Facts and Norms,1991
SMIMTM,Basil Smith,"Mark Timmons, Morality Without Foundations: A Defense of Ethical Contextualism",2001
