ID,Author,Title,Year
BROGJA,Gillian Brock,Global Justice: A Cosmopolitan Account,2009
SAGTAC-4,Alex Sager,Toward a Cosmopolitan Ethics of Mobility: The Migrant's-Eye View of the World,2018
TARTNT,Sidney Tarrow,The New Transnational Activism,2005
BEACNT,Eilidh Beaton and Mike Gadomski and Dylan Manson and Kok{-}Chor Tan,Crisis Nationalism: To What Degree is National Partiality Justifiable During a Global Pandemic?,2021
KLESVO,Pauline Kleingeld,Six Varieties of Cosmopolitanism in Late Eighteenth-Century Germany,1999
ABIDLD,Arash Abizadeh,Does Liberal Democracy Presuppose a Cultural Nation? Four Arguments,2002
ABIDCI,Arash Abizadeh,Does Collective Identity Presuppose an Other: On the Alleged Incoherence of Global Solidarity,2005
COSIOI,Christian Coseru,Interpretations or Interventions? Indian Philosophy in the Global Cosmopolis,2017
HAYIPT,Tim Hayward,International Political Theory and the Global Environment: Some Critical Questions for Liberal Cosmopolitans,2009
MERTRO-7,Michael S. Merry and Doret J. de Ruyter,The Relevance of Cosmopolitanism for Moral Education,2011
ERECMA,Lior Erez,"Cosmopolitanism, Motivation, and Normative Feasibility",2015
BERNJI,Alyssa R. Bernstein,"No Justice in Climate Policy? Broome Versus Posner, Weisbach, and Gardiner",2016
LAOBAB,Tadhg \'O Laoghaire,Business and Bleeding Hearts,2024
KLERCN,Pauline Kleingeld,Romantic Cosmopolitanism: Novalis?s ?Christianity or Europe?,2008
MERCAT-4,Michael S. Merry and Doret J. De Ruyter,Cosmopolitanism and the Deeply Religious,2009
Smith2011-LAWCGJ,Holly Lawford{-}Smith,Cosmopolitan Global Justice: Brock Vs. The Feasibility Sceptic,2011
BARWSP,Christian Barry and Matt Peterson,Who Should Pay for the Damage of the Global Financial Crisis?,2011
NUMTOS,Ronald Numbers,The American History of Science Society or the International History of Science Society? The Fate of Cosmopolitanism Since George Sarton,2009
NEL,Eric S. Nelson,?????????????????,2014
TANCN-3,Kok{-}Chor Tan,"Critical Notice: John Rawls, the Law of Peoples",2001
GILCO,Pablo Gilabert,Cosmopolitan Overflow,2011
CORLGG,Fausto Corvino,La Giustizia Globale Al Tempo Della Globalizzazione Convergente,2019
EREPMM-2,Lior Erez,Pro Mundo Mori? The Problem of Cosmopolitan Motivation in War,2017
LAOIIP,Tadhg \'O Laoghaire,Inward Internationalisation,forthcoming
KOFTNL,Daniel Kofman,The Normative Limits to the Dispersal of Territorial Sovereignty,2007
RICTAN,Mason Richey,Towards a Non-Positivist Approach to Cosmopolitan Immigration: A Critique of the Inclusion/Exclusion Dialectic and an Analysis of Selected European Immigration Policies,2010
GILGME,Pablo Gilabert,Global Moral Egalitarianism and Global Distributive Egalitarianism,2015
DUMETY,Speranta Dumitru,"Emigraci\'{o}n, Talentos y Justicia: Un Argumento Feminista Sobre la Fuga de Cerebros",2009
BROWDC,Gillian Brock,What Does Cosmopolitan Justice Demand of Us?,2004
RONPOT,David Rondel and Alex Sager,"Pessimism of the Intellect, Optimism of the Will: The Political Philosophy of Kai Nielsen",2012
SAGRCT,Alex Sager,Reclaiming Cosmopolitanism Through Migrant Protests,2018
SAGRCT-2,Alex Sager,Reclaiming Cosmopolitanism Through Migrant Protests,2018
LISFEF,Matthew Lister,"Four Entries for the Rawls Lexicon: Charles Beitz, H.L.A. Hart, Citizen, Sovereignty",2015
YORCMM,Christopher Yorke,"Cosmopolitanism, Minimal Morality, and the World-State",2008
ORRITD,Elisa Orr\`u,"Il Tribunale Del Mondo. La Giustificazione Del Diritto Internazionale Penale: Analisi, Critica, Alternative. Preface by Danilo Zolo",2010
Gold2005-ANDKGD,Sharon Anderson{-}Gold,"Kantische Grundlagen des Gegenw\""{a}rtigen Kosmopolitismus",2005
WILCOT-12,Jula Wildberger,Care of the Self and Social Bonding in Seneca: Recruiting Readers for a Global Network of Progressor Friends,2018
LYS-4,Ivan Lysyi,\CYRK\cyro\cyrs\cyrm\cyro\cyrp\cyro\cyrl\cyrii\cyrt\cyri\cyrz\cyrm: \CYRU\cyrk\cyrr\cyra\cyryi\cyrn\cyrs\cyrsftsn\cyrk\cyra \CYRV\cyre\cyrr\cyrs\cyrii\cyrya,2018
GUERCA,Cheikh Mbacke Gueye,Rooted Cosmopolitanism. An Answer to Exclusion and Crime Against Humanity,2013
BAUTAM-3,Mahua Basu and Milinda Majumdar,Through a Multicultural Lens,2014
CHAROA-10,Subhasis Chattopadhyay,Review of Alternative Standpoints: A Tribute to Kalidas Bhattacharyya,2016
COSROM,Christian Coseru,Review of Minds Without Fear: Philosophy in the Indian Renaissance,2018
MATAIR,Lister Matthew,"Alien Ideas: Review of Strangers in Our Midst: The Political Philosophy of Immigration, by David Miller",2016
MORSNI-2,Bruce Moran,Strangers Nowhere in the World: The Rise of Cosmopolitanism in Early Modern Europe,2007
