ID,Author,Title,Year
CLIIVA,Nevin Climenhaga,Infinite Value and the Best of All Possible Worlds,2018
RUBGMS,Rubio Daniel,God Meets Satan?s Apple: The Paradox of Creation,2018
MCCCAT-13,Hugh J. McCann,Creation and the Sovereignty of God,2012
JOHWTO-6,Mark Johnston,Why Did the One Not Remain Within Itself?,2019
KVADAD-2,Jonathan L. Kvanvig,Destiny and Deliberation: Essays in Philosophical Theology,2011
DOOAOT-3,Gregory T. Doolan,Aquinas on the Divine Ideas as Exemplar Causes,2008
KEMCGA,Dan Kemp,Created Goodness and the Goodness of God: Divine Ideas and the Possibility of Creaturely Value,2022
JUUTTB,Oskari Juurikkala,The Two Books of God,2021
OCOSAC-2,Timothy O?Connor,Simplicity and Creation,1999
WILAHA-8,John Wilcox,"Ad Hocness, Accommodation and Consilience: A Bayesian Account",2023
RUSQMS,R. J. Russell and Philip Clayton and Kirk Wegter{-}McNelly and John Polkinghorne,Quantum Mechanics: Scientific Perspectives on Divine Action 5,2002
OPPTSA,Graham Oppy,"Time, Successive Addition, and Kalam Cosmological Arguments",2001
STELCA-2,Jesse R. Steinberg,"Leibniz, Creation and the Best of All Possible Worlds",2007
ALSDAH-2,William P. Alston,Divine and Human Action,1989
KRAIIA-5,Klaas J. Kraay,"Incommensurability, Incomparability, and God?s Choice of a World",2011
ALSDAH,William P. Alston,"Divine Action, Human Freedom, and the Laws of Nature",1993
EDWHPT,Rem B. Edwards,How Process Theology Can Affirm Creation Ex Nihilo,2000
VANPAD-5,David Vander Laan,Persistence and Divine Conservation,2006
ROSC-2,James F. Ross,Creation,1980
DALTPO-8,Drew Dalton,The Pains of Contraction Understanding Creation in Levinas Through Schelling,2006
OPPDTU,Graham Oppy,Does the Universe Have a Cause?,2003
FRINSW,Julian Friedland,"No, Science Won't Solve the Great Problems of Philosophy",2020
ALSDAS,William P. Alston,Divine Action: Shadow or Substance?,1994
OPPCTG,Graham Oppy,Colonizing the Galaxies,2000
FATFCO,Pirooz Fatoorchi,Four Conceptions of Creatio Ex Nihilo and the Compatibility Questions,2010
ALSGAI,William P. Alston,God's Action in the World,1989
SILTAA-5,Ignacio Silva,Thomas Aquinas and William E. Carroll on Creatio Ex Nihilo: A Response to Joseph Hannon?s ?Theological Objections to a Metaphysicalist Interpretation of Creation?,2021
SENDTA,Thomas D. Senor,Divine Temporality and Creation Ex Nihilo,1993
LICMAE,Michael Liccione,Mystery and Explanation in Aquinas?s Account of Creation,1995
VUKRR,Marko Vu\v{c}kovi\'c,Reason?s Reasons,2018
STROTN-2,Lloyd Strickland,On the Necessity of the Best (Possible) World,2005
LANTBO-5,William C. Lane,The Best of Possible Worlds: A Testable Claim of Choice,2006
GAGTDL,Philippe Gagnon,Temporalit\'e de la Gen\`{e}se Chez Maurice Blondel Et Pierre Teilhard de Chardin. Esquisse D?Un Rapprochement,2002
LANLBW,William C. Lane,Leibniz's Best World Claim Restructured,2010
GAGQAC,Philippe Gagnon,"Physics in Catholicism in Encyclopedia of Sciences and Religions, Vol 3. Anne Runehov and Lluis Oviedo (Eds.) (Pp. 1718-1729)",2013
MURDKA-2,Daniel S. Murphy,Divine Knowledge and Qualitative Indiscernibility,2016
KVACAC-2,Jonathan Kvanvig,Creation and Conservation,2008
MILOTV,Timothy Miller,On Three Varieties of Concurrentism and the Virtues of the Moderate Version,2023
POEDTP,Jason Poettcker,Defending the Purpose Theory of Meaning in Life,2015
GAGMEB,Philippe Gagnon,Malebranche Et Berkeley: Les Cr\'{e}atures Et les Raisons \'{E}ternelles,2003
CRACPA,William Lane Craig,"Creation, Providence and Miracles",1998
ALSHTT-2,William P. Alston,How to Think About Divine Action,1990
PORARV,Jos\'e Eduardo Porcher,Afro-Brazilian Religions,forthcoming
DJASAU,Aleksandar Djakovac,Spoken and Unspeakable: Discursivennes of Asmatic Ontology in the Aporetics of St. Maximus the Confessor (in Serbian),2018
MOROTS-7,Jennifer Moreton,"On the Six Days of Creation. Robert Grosseteste, C. F. J. Martin",1997
RUBMPF-2,Mercedes Rubio,Maimonides? Proofs for the Existence of God and Their Aristotelian Background in the ?Guide of the Perplexed?,1997
BUGHOC,Grzegorz Bugajak and Jacek Tomczyk,Human Origins: Continuous Evolution Versus Punctual Creation,2009
ROBOAP-2,Mark Ian Thomas Robson,Ontology and Providence in Creation: Taking Ex Nihilo Seriously,2008
