ID,Author,Title,Year
CUETTN,Damian Cueni and Matthieu Queloz,Theorizing the Normative Significance of Critical Histories for International Law,2022
SLAJJO,Joe Slater,Just Judge: The Jury on Trial,2023
ZIMCDA,Annette Zimmermann,Criminal Disenfranchisement and the Concept of Political Wrongdoing,2019
SATWWO,Mark Satta,What Was Orwell's Conception of Free Speech?,2023
SILLAC-2,Anjalee de Silva and Robert Mark Simpson,Law as Counterspeech,2023
HERLAT-6,Jonathan Herring,Law and the Relational Self,2019
GORLPP-5,Marina Gorali,Lecturas Posestructuralistas Para Una Cr\'{i}tica Decolonial: Repensando Las Subjetividades Jur\'{i}dicas,2023
WIRTUM,Amelia M. Wirts and Jos\'e Jorge Mendoza,The Undermining Mechanisms of ?Rule of Law? Objections: A Response to Song and Bloemraad,2022
MADWAS,Alex Madva,(What) Are Stereotyping and Discrimination? (What) Do We Want Them to Be?,2021
MATSRC-3,Blaszczyk Matt,"Section 230 Reform, Liberalism, and Their Discontents",2024
EULAHD,Werner Euler,Axel Honneth?s Dialogue on Hegel?s Philosophy of Law,2021
FAUTRO-6,J. Reese Faust,"The Restlessness of Resistance: Community, Myth, and Negativity in Law",2021
TTL-2,? ?,The Theoretical Logic and Contemporary Value of Legal Philosophy in Hegel?s Critique of Legal Philosophy,2022
WILWIP-4,Damian Wayne Williams,What is Positivism in Legal Analysis?,forthcoming
FABTOS,Valerio Fabbrizi,Theory of Sovereignty and the Body Politic in Modern and Contemporary Political Thought,2018
FABOLP,Valerio Fabbrizi,"On Law, Power and Violence: From Christoph Menke to Hannah Arendt. A Critical Analysis",2017
SHAVAP,Kam Shapiro,Violence and Politeness: From Walter Benjamin's ?Critique? to the Streets of Chicago,2020
JOBMLD,Kevin Jobe,\emph{Malevolent Legalities}: Discriminatology and the Specters of Scalia,forthcoming
MONHSA-6,Tiffany Elise Montoya,Hate Speech as Antithetical to Free Speech: The Real Polarity,2023
ORRIRC,Elisa Orr\`u,Il Realismo Critico. Un Programma di Ricerca a Partire da Danilo Zolo,2021
LAMDTC-3,Anita Lam,Decoding the Crime Scene Photograph: Seeing and Narrating the Death of a Gangster,2019
BUIELA,Nico Buitendag,Environmental Law and Systems Theory,2024
CUOEAY,Massimo Cuono,Entre Arbitrariedad y Razonabilidad. Hacia Una Teor\'{i}a Cr\'{i}tica Del Neoconstitucionalismo,2012
COTSJJ,Roger Cotterrell,Sociological Jurisprudence: Juristic Thought and Social Inquiry,2017
KERJAI-2,Valerie Kerruish,Jurisprudence as Ideology,1991
OTOLAT-2,Yoriko Otomo and Edward Mussawir,Law and the Question of the Animal: A Critical Jurisprudence,2013
