ID,Author,Title,Year
LIAMOI,Shen{-}yi Liao and Vanessa Carbonell,Materialized Oppression in Medical Tools and Technologies,2023
Saji2010-ALSTRO-2,Alia Al{-}Saji,The Racialization of Muslim Veils: A Philosophical Analysis,2010
PEROCE-3,Alex Pereira De Ara\'{u}jo,O Candombl\'e e a Desconstru\c{c}~{a}o da No\c{c}~{a}o de Sincretismo Religioso Entre Utopias Do Corpo e Heterotopias Dos Espa\c{c}os Na Di\'{a}spora Negra,2021
BLUCRB-4,Lawrence Blum,?Cultural Racism?: Biology and Culture in Racist Thought,2023
FISANT-2,Max Fish and Arianne Shahvisi and Tatenda Gwaambuka and Godfrey B. Tangwa and Daniel Ncayiyana and Brian D. Earp,A New Tuskegee? Unethical Human Experimentation and Western Neocolonialism in the Mass Circumcision of African Men,2020
STETSO-67,Johannes Steizinger,The Significance of Dehumanization: Nazi Ideology and its Psychological Consequences,2018
RUZST,Elena Ru\'{i}z,Structural Trauma,2024
CATMLE,Amandine Catala,"Multicultural Literacy, Epistemic Injustice, and White Ignorance",2019
HERTQF-2,Dag Herbj\o{}rnsrud,"The Quest for a Global Age of Reason. Part I: Asia, Africa, the Greeks, and the Enlightenment Roots",2021
CURRRA,Tommy J. Curry,"Royce, Racism, and the Colonial Ideal: White Supremacy and the Illusion of Civilization in Josiah Royce's Account of the White Man's Burden",2009
HOCIRM,Adam Hochman,Is ?Race? Modern? Disambiguating the Question,2020
BLAORR,Jack Black,"On Reflexive Racism: Disavowal, Deferment, and the Lacanian Subject",2020
SPRVTW,Jason Springs,'Violence That Works on the Soul': Structural and Cultural Violence in Religion and Peacebuilding,2015
COFARR,Alan M. S. J. Coffee,A Radical Revolution in Thought: Frederick Douglass on the Slave?s Perspective on Republican Freedom,2020
BERTDF,Robert Bernasconi,The Double Face of the Political and the Social: Hannah Arendt and America's Racial Divisions,1996
GRACRT-2,David Miguel Gray,Critical Race Theory: What It is and What It Isn't,2021
BLALTT-5,Jack Black and Thomas Fletcher and Mark Doidge and Colm Kearns and Daniel Kilvington and Katie Liston and Theo Lynn and Pierangelo Rosati and Gary Sinclair,'Let the Tournament for the Woke Begin!': Euro 2020 and the Reproduction of Cultural Marxist Conspiracies in Online Criticisms of the 'Take the Knee' Protest,2024
NIERTR,Cynthia R. Nielsen,Resistance Through Re-Narration: Fanon on de-Constructing Racialized Subjectivities,2011
MERDHP,Michael S. Merry,Doth He Protest Too Much? Thoughts on Matthew?s Black Devaluation Thesis,2023
RUZTMO-2,Elena Ru\'{i}z,Theorizing Multiple Oppressions Through Colonial History: Cultural Alterity and Latin American Feminisms,2011
WIMPAT,Cory Wimberly,Propaganda and the Nihilism of the Alt-Right,2021
STEFST-13,Johannes Steizinger and Natalie Alana Ashton,Feminist Standpoint Theory Vs. The Identitarian Ideology of the New Right,2024
ALCCRC,Linda Martin Alcoff,"Comparative Race, Comparative Racisms (2007)",web
BORACE-6,Peter Bornschein,Are Cultural Explanations for Racial Disparities Racist?,forthcoming
ALCLAA,Linda Mart\'{i}n Alcoff,"Latino/as, Asian Americans, and the Black?White Binary",2003
BEEEAO-3,Erin Beeghly,"Embodiment and Oppression: Reflections on Haslanger, Gender, and Race",2021
Singh2022-GIORCI,Gianamar Giovannetti{-}Singh,Racial Capitalism in Voltaire's Enlightenment,2022
STEDII-4,Johannes Steizinger,"Die Identit\""{a}re Ideologie. Wiederkehr des V\""{o}lkischen Denkens",2018
GORAEP,Lewis R. Gordon,African-American Existential Philosophy,2003
HERTQF,Dag Herbj\o{}rnsrud,The Quest for a Global Age of Reason. Part Ii: Cultural Appropriation and Racism in the Name of Enlightenment,2021
STEPVM,Johannes Steizinger,Politik Versus Moral. Alfred Baeumlers Versuch Einer Philosophischen Interpretation des Nationalsozialismus,2016
PAPDPA-4,Gregory Fernando Pappas,Dewey?s Philosophical Approach to Racial Prejudice,1996
CURPD-2,Tommy J. Curry,Please Don?T Make Me Touch ?Em: Towards a Critical Race Fanonianism as a Possible Justifi Cation for Violence Against Whiteness,2007
YOURRA-4,Raymond Aaron Younis,Race Representation and Nation,1997-1998
BELCST-3,Mary L. Bellhouse,Candide Shoots the Monkey Lovers,2006
MILPPR-2,Lantz Fleming Miller,Persisting Pan-Institutional Racism,2017
BROGNI,Katy Gray Brown,Going Native: Indians in the American Cultural Imagination (Review),2003
TAROTP,Erin C. Tarver,On the Particular Racism of Native American Mascots,2016
Lopez2003-HARLAB,Trudier Harris{-}Lopez,Lynching and Burning Rituals in African American Literature,2003
GILRIO,Paul Gilroy,Race is Ordinary: Britain's Post-Colonial Melancholia,2003
ALCLO,Linda Mart\'{i}n Alcoff,Latino Oppression,2005
BACLRJ,Jussi Backman,"Lopullisen Ratkaisun J\""{a}lkeen",2023
ANDTRF,Alison Bailey and,Taking Responsibility for Community Violence,unknown
PANLPE,Rossano Pancaldi,La Persecuzione e la Resistenza Degli Insegnanti Ebrei,2002
FREDW-2,"Bj\""{o}rn Freter",Desuperhumanizing Whiteness,2021
PANLUD,Rossano Pancaldi,L'insegnamento Universale di Lejzer Zamenhof,2002
PANMED,Rossano Pancaldi,Mazzini e Darwin,2009
STEAMA-15,Johannes Steizinger,"Amos Morris-Reich and Dirk Rupnow, Eds. Ideas of ?Race? in the History of the Humanities. Cham: Palgrave Macmillan, 2017. Pp. Xiii+337. \$109.00 ; \$85.00",2019
