ID,Author,Title,Year
NGUTAO-8,C. Thi Nguyen,The Arts of Action,2020
BREIIT-2,Aili Bresnahan,Improvisation in the Arts,2015
HALOJA,Joshua Hall,On Justice as Dance,2021
HOSPCP,Teresa Hoskyns and Siti Balkish Roslan and Claudia Westermann,Practising Collectivity: Performing Public Space in Everyday China,2022
BUTBIS,Camille Buttingsrud,Bodies in Skilled Performance: How Dancers Reflect Through the Living Body,2021
IRVBA,Sherri Irvin,Body Aesthetics,2016
HALCHV,Joshua M. Hall,Curing Hitchcock?s Vertigo: A Second Dance with Ranci\`{e}re,forthcoming
HALISR,Joshua M. Hall,Introducing Spirit/Dance: Reconstructed Spiritual Practices,forthcoming
HALCAO,Joshua M. Hall,Core Aspects of Dance: Aristotle on Positure,2019
BREIAI-2,Aili Bresnahan,Improvisational Artistry in Live Dance Performance as Embodied and Extended Agency,2014
HECRVM,Ian Heckman,"Rethinking Veridicality: Motor Response, Empirical Evidence, and Dance Appreciation",2023
HALDWE,Joshua M. Hall,Dancing-with Cognitive Science: Three Therapeutic Provocations,forthcoming
PINOTE-2,Sarah Pini,On the Edge of Undoing: Ecologies of Agency in Body Weather,2022
HALPOD,Joshua M. Hall,Philosophy of Dance and Disability,2018
PINEEA-2,Sarah Pini and Catherine E. Deans,Expanding Empathic and Perceptive Awareness: The Experience of Attunement in Contact Improvisation and Body Weather,2021
LIAEAA,Shen{-}yi Liao,Explanations: Aesthetic and Scientific,2014
HALALJ,Joshua M. Hall,Astral Legal Justice: Between Law?s Poetry and Justice?s Dance,2023
HALADA-3,Joshua M. Hall,Afro-Latin Dance as Reconstructive Gestural Discourse: The Figuration Philosophy of Dance on Salsa,2020
HALSDV-2,Joshua M. Hall,Schiller?s Dancing Vanguard: From Grace and Dignity to Utopian Freedom,2023
HALTAS-10,Joshua M. Hall,Toward a Salsa Dancing Hegemony: Dancing-with Laclau with-Derrida,forthcoming
DEASPI-3,Catherine Deans and Sarah Pini,Skilled Performance in Contact Improvisation: The Importance of Interkinaesthetic Sense of Agency,2022
HALBCA-7,Joshua M. Hall,Bodily-Social Copresence Androgyny: Rehabilitating a Progressive Strategy,2018
HASUCE,Ali Hasan and Jennifer Kayle,Unplanned Coordination: Ensemble Improvisation as Collective Action,2021
HALCAO-3,Joshua M. Hall,Core Aspects of Dance: Schiller and Dewey on Grace,2013
HALRBE,Joshua M. Hall,Revalorized Black Embodiment: Dancing with Fanon,2012
HALJBA-3,Joshua M. Hall,Judith Butler and a Pedagogy of Dancing Resilience,2020
SCHIPA-11,Markus Schrenk,Is Proprioceptive Art Possible?,2014
VIDCCI-2,Ilya Vidrin,Conceptualizing Care in Partnering (1st edition),2023
VIDRKI,Ilya Vidrin,Responsible Knowing in Dance Partnering,2023
HALCTB-4,Joshua M. Hall,Choreographing the Borderline,2012
HAGSSH,Ivar Hagendoorn,Some Speculative Hypotheses About the Nature and Perception of Dance and Choreography,2004
PINTPE-2,Sarah Pini and John Sutton,Transmitting Passione: Emio Greco and the Ballet National de Marseille,2021
AASCAH,Solveig Aasen,Crossmodal Aesthetics: How Music and Dance Can Match,2021
HALRLI,Joshua M. Hall,Religious Lightness in Infinite Vortex,2018
HALSTE-3,Joshua M. Hall,"Spirit Tactics, Exorcising Dances",2024
HALRLO,Joshua M. Hall,Rearticulating Languages of Art: Dancing with Goodman,2015
HALFAP-4,Joshua M. Hall,Figuration: A Philosophy of Dance,2012
SEEAEA,William P. Seeley,Attentional Engines: A Perceptual Theory of the Arts,2020
HALSVW,M. Hall Joshua,St. Vitus?s Women of Color: Dancing with Hegel,2017
ROTDPA,Philipa Rothfield,Differentiating Phenomenology and Dance,2004
BRETPO-43,Aili Bresnahan,The Philosophy of Dance,2014
FOSCE,Susan Leigh Foster,Choreographing Empathy,2004
BREDIT-2,Aili Bresnahan,Dancing in Time,2017
BREDAT-5,Aili Bresnahan,Dance Appreciation: The View From the Audience,2017
BREDAE,Aili Bresnahan and Einav Katan{-}Schmid and Sara Houston,Dance as Embodied Ethics,2020
HALTBA-10,Joshua M. Hall,"Tornadic Black Angels: Vodou, Dance, Revolution",forthcoming
HALAIT-11,Joshua M. Hall,An Intimate Trespass of Peregrina Chorines: Dancing with Mar\'{i}a Lugones and Saidiya Hartman,2022
CEUSPD,Werner Ceusters and Barry Smith,Switching Partners: Dancing with the Ontological Engineers,2011
BREDR-3,Aili Bresnahan,Dance Rhythm,2019
CONDDA-4,Renee M. Conroy,"Dances, Danceworks, and Choreographic Works: A Plea for Conceptual Clarity",2019
PAKCTB-2,Anna Pakes,Can There Be Conceptual Dance?,2019
JECKDO,Alexander Jech,Kierkegaard's Dancers of Faith and of Infinity,2019
HALADT-3,Joshua M. Hall,A Divinely Tolerant Political Ethics: Dancing with Aurelius,2016
HALRHP,Joshua M. Hall,"Rechoreographing Homonymous Partners: Ranci\`{e}re's Dance Education From Lo\""{i}e Fuller",2022
HALTDD-5,Joshua M. Hall,Trans-Religious Dancing Dialogues: Michel Henry on Dionysus and the Crucified,forthcoming
HALCAO-2,Joshua M. Hall,Core Aspects of Dance: Condillac and Mead on Gesture,2017
HAJFM,Ishtiyaque Haji and Stefaan E. Cuypers and Yannick Joye and S. K. Wertz and Estelle R. Jorgensen and Iris M. Yob and Jeffrey Wattles and Sabrina D. Misirhiralall and Eric C. Mullis and Seth Lerer,Dance as Portrayed in the Media,2013
HALICD-5,Joshua M. Hall,Izombie Cyborg Dancers: Rechoreographing Smartphone Abusers,2020
HALRSD,Joshua Maloy Hall,Reattaching Shadows: Dancing with Schopenhauer,2014
HALSCS-2,Joshua Maloy Hall,Self-Mimetic Curved Silvering: Dancing with Irigaray,2014
LAETLR,Whitney E. Laemmli,The Living Record: Alan Lomax and the World Archive of Movement,2018
HALIGF,Joshua Maloy Hall,Imaginatively Grounded Figures: Dancing with Castoriadis,2019
HALSSA-7,Joshua M. Hall,Sociohistorical Self-Choreography: A Second Dance with Castoriadis,2019
HALHBP-3,Joshua M. Hall,Hay?s Buddhist Philosophy of Gestural Language,2017
