ID,Author,Title,Year
EVATVO,Gareth Evans,The Varieties of Reference,1982
ALMTFK,Joseph Almog and John Perry and Howard Wettstein,Themes From Kaplan,1989
RUSOD,Bertrand Russell,On Denoting,1905
RUSOD-3,Bertrand Russell,On Denoting,2005
HAWTRB,John Hawthorne and David Manley,The Reference Book,2012
BACTAR,Kent Bach,Thought and Reference,1987
QUIQAP,Willard van Orman Quine,Quantifiers and Propositional Attitudes,1955
KAPQI,David Kaplan,Quantifying In,1968
BROTTA-2,Berit Brogaard,Transient Truths: An Essay in the Metaphysics of Propositions,2012
BURBDR,Tyler Burge,Belief de Re,1977
MCDSTA,John McDowell,Singular Thought and the Extent of 'Inner Space',1986
BURFOM,Tyler Burge,Foundations of Mind,2007
JESNEO,Robin Jeshion,New Essays on Singular Thought,2010
MARPT-9,M. G. F. Martin,Particular Thoughts \& Singular Thought,2002
NINCAA,Dilip Ninan,Counterfactual Attitudes and Multi-Centered Worlds,2012
CRAST-3,Tim Crane and Jody Azzouni,Singular Thought,2011
SOSPAD,Ernest Sosa,Propositional Attitudes de Dicto and de Re,1970
JESADR,Robin Jeshion,Acquiantanceless de Re Belief',2002
BROKAP-2,Berit Brogaard,Knowledge-the and Propositional Attitude Ascriptions,2008
KAPAIO,David Kaplan,An Idea of Donnellan,2011
SAWCAN,Sarah Sawyer,Cognitivism: A New Theory of Singular Thought?,2012
GOOTOI-4,Rachel Goodman,Trading on Identity and Singular Thought,2022
BLURR,Kyle Blumberg and Harvey Lederman,Revisionist Reporting,2020
SCHNAK-2,Stephen Schiffer,Naming and Knowing,1977
BURFTO,Tyler Burge,Five Theses on de Re States and Attitudes,2009
WVQIR,W. V. Quine,Intensions Revisited,1977
BLUUAR,Kyle Blumberg and Ben Holgu\'{i}n,Ultra-Liberal Attitude Reports,2018
JESTSO,Robin Jeshion,The Significance of Names,2009
SOABSP,Scott Soames,Beyond Singular Propositions?,1995
GOOCSA,Rachel Goodman,"Cognitivism, Significance and Singular Thought",2016
RECDRA,Fran\c{c}ois Recanati,De Re and de Se,2009
CREDRB,Maxwell J. Cresswell and Arnim Stechow,De Re Belief Generalized,1982
MAIBIC-2,Emar Maier,Belief in Context: Towards a Unified Semantics of de Re and de Se Attitude Reports,2006
ARMSTA,Joshua Armstrong and Jason Stanley,Singular Thoughts and Singular Propositions,2011
OPETAM,James Openshaw,Thinking About Many,2020
SCHNAK,Stephen Schiffer,Naming and Knowing,1979
LONITA-4,Guy Longworth,Iv--Sharing Thoughts About Oneself,2013
MAIPAA,Emar Maier,"Presupposing Acquaintance: A Unified Semantics for de Dicto, de Re and de Se Belief Reports",2009
AZZSTO,Jody Azzouni,Singular Thoughts (Objects-Directed Thoughts),2011
SAIIWE,R. M. Sainsbury,Intentionality Without Exotica,2010
BLUAPA-5,Kyle Blumberg,"Attitudes, Presuppositions, and the Binding Theory",forthcoming
HOLRRA,Wesley H. Holliday and John Perry,"Roles, Rigidity and Quantification in Epistemic Logic",2014
CRAQAP,Sean Crawford,Quantifiers and Propositional Attitudes: Quine Revisited,2008
DORDRA,Cian Dorr,De Re a Priori Knowledge,2011
GOOMFP,Rachel Goodman,Mental Files,2024
LUDSTA,Kirk A. Ludwig,Singular Thought and the Cartesian Theory of Mind,1996
GENECO,James Genone,Evidential Constraints on Singular Thought,2014
KRIUEA,Saul A. Kripke,Unrestricted Exportation and Some Morals for the Philosophy of Language,2011
ALMTPO-3,Joseph Almog and Paolo Leonardi,The Philosophy of David Kaplan,2009
KAPDRB,David Kaplan,De Re Belief,2013
MARPTA,Michael G. F. Martin,Particular Thoughts and Singular Thought,2002
SALSBA-4,Nathan Salm\'{o}n,"Sleeping Beauty: Awakenings, Chance, Secrets, and Video",2024
GOOMFC,Rachel Goodman and Aidan Gray,"Mental Filing, Continued",2024
BVEAPD,Arvid B\a{a}ve,A Pragmatic Defense of Millianism,2008
BACDB,Kent Bach,"""De Re"" Belief and Methodological Solipsism",1982
OPESTA,James Openshaw,Singular Thoughts and \emph{de Re} Attitude Reports,2018
KORSOT,Daniel Z. Korman,The Contingent a Priori and the Publicity of a Priori Knowledge,2010
PEPIDA-2,Jessica Pepp,Is Dickie's Account of Aboutness-Fixing Explanatory?,2020
PALTAP-6,Michele Palmira,Towards a Pluralist Theory of Singular Thought,2018
BAKDRB,Lynne Rudder Baker,De Re Belief in Action,1982
NOORTA,Harold W. Noonan,Russellian Thoughts and Methodological Solipsism,1986
CARRT-2,Peter Carruthers,Russellian Thoughts,1987
BURALF,Howard Burdick,A Logical Form for the Propositional Attitudes,1982
SALSBA-3,Nathan Salm\'{o}n,"Sleeping Beauty: Awakenings, Chance, Secrets, and Video",forthcoming
GEISTC-3,Heimir Geirsson,"Singular Thought, Cognitivism, and Conscious Attention",2018
SALIDR,Nathan Salmon,Is \emph{de Re} Belief Reducible to \emph{de Dicto}?,1997
ZEIPAS,John Zeimbekis,Pictures and Singular Thought,2010
TICDDA,Pavel Tich\'y,De Dicto and de Re,1978
JACUS,Frank Jackson and Daniel Stoljar,Understanding Self-Ascription,2020
CRAIDO,Sean Crawford,In Defence of Object-Dependent Thoughts,1998
BORTOT,Steven E. Boe?r,Thought-Contents: On the Ontology of Belief and the Semantics of Belief Attribution,2007
Armstrong1995-MARMMA-2,Walter Sinnott{-}Armstrong and Diana Raffman and Nicholas Asher,"Modality, Morality, and Belief: Essays in Honor of Ruth Barcan Marcus",1995
NOOOTA,Harold W. Noonan,Object-Dependent Thoughts and Psychological Redundancy,1990
ACKDRP,Diana Ackerman,De Re Propositional Attitudes Toward Integers,1978
DALAAD-3,Chris John Daly,Acquaintance and de Re Thought,2007
SALPDS-3,Nathan Salmon,"\emph{\`A Propos de Pierre}, Does He?or Doesn?T He?",2023
MCGAPA,Vann McGee and Agust\'{i}n Rayo,A Puzzle About de Rebus Beliefs,2000
STAWID,Robert Stalnaker,What is de Re Belief?,2009
CRAPDT,Sean Crawford,Perceptual Demonstrative Thought: A Property-Dependent Theory,2020
Carpintero2000-GARTAI,Manuel Garc\'{i}a{-}Carpintero,Token-Reflexivity and Indirect Discourse,2000
AZZEDR,Jody Azzouni,Empty de Re Attitudes About Numbers,2009
CORDHA,Benjamin S. Cordry,Divine Hiddenness and Belief de Re,2009
SOSFRD,Ernest Sosa,Fregean Reference Defended,1995
PASADR,Mark J. Pastin,About de Re Belief,1974
SCHAAF-13,Henry Ian Schiller,Acquaintance and First-Person Attitude Reports,2019
SALRBF,Nathan Salm\'{o}n,Relational Belief,1995
CRADRE,Sean Crawford,"De Re Explanation of Action in Context, the Problem of ?Near-Contraries? and Belief Fragmentation",2021
OPESAT,James Openshaw,Self-Ascription and the \emph{de Se},2020
BOROT-2,"Steven E. 0Bo\""{e}r",Object-Dependent Thoughts,1990
BURKQA-2,Tyler Burge,"Kaplan, Quine, and Suspended Belief",1977
BRODAI,Curtis Brown,Direct and Indirect Belief,1992
BEVCWY,John Beverley,Careful What You Wish,2018
OSTPP,Gary Ostertag,Propositional Platitudes,2016
