ID,Author,Title,Year
KORDA-2,Daniel Z. Korman,Debunking Arguments,2019
Doane2020-CLAMAM-8,Justin Clarke{-}Doane,\emph{Morality and Mathematics},2020
BARCFE-5,Dan Baras,Calling for Explanation,2022
Doane2016-CLADAD-3,Justin Clarke{-}Doane,Debunking and Dispensability,2016
Doane2006-CLAJAE-3,Justin Clarke{-}Doane,Justification and Explanation in Mathematics and Morality,2006
Doane2022-CLAMAM-10,Justin Clarke{-}Doane,\emph{Mathematics and Metaphilosophy},2022
TOPRRA,Brett Topey,"Realism, Reliability, and Epistemic Possibility: On Modally Interpreting the Benacerraf?Field Challenge",2021
BERNCI-2,Sharon Berry,(Probably) Not Companions in Guilt,2018
BERCAA-17,Sharon Berry,Coincidence Avoidance and Formulating the Access Problem,2020
SMISAP-14,James Andrew Smith,Safety and Pluralism in Mathematics,forthcoming
Doane2017-CLADAM,Justin Clarke{-}Doane,"Debunking Arguments: Mathematics, Logic, and Modal Security",2017
BARHCN-2,Dan Baras,How Can Necessary Facts Call for Explanation,2020
SJLNAF,"Ylwa Sj\""{o}lin Wirling",Neutrality and Force in Field's Epistemological Objection to Platonism,forthcoming
STEAED-4,Fabio Sterpetti,Are Evolutionary Debunking Arguments Really Self-Defeating?,2015
Doane2023-CLAPOM-4,Justin Clarke{-}Doane,Pr\'{e}cis of \emph{Morality and Mathematics},2023
TOPPAO,Brett Topey,"Pragmatic Accounts of Justification, Epistemic Analyticity, and Other Routes to Easy Knowledge of Abstracta",forthcoming
MACIPU,Diego E. Machuca,Introduction,2023
BERTAP-13,Sharon Berry,The Residual Access Problem,manuscript
DAWJVP,John W. Dawson,Jan von Plato.* Can Mathematics Be Proved Consistent?,2023
ISLTUE,Arezoo Islami,The Unreasonable Effectiveness of Mathematics: From Hamming to Wigner and Back Again,2022
PATPAM-2,Fabrice Pataut,Platonism and Mathematical Explanations,2021
MACEDA-4,Diego E. Machuca,"Evolutionary Debunking Arguments: Ethics, Philosophy of Religion, Philosophy of Mathematics, Metaphysics, and Epistemology",2023
PATPAM,Fabrice Pataut,Platonism and Mathematical Explanations,2020
FAREIE-4,David Faraci,Explanation in Ethics and Mathematics: Debunking and Dispensability,2018
