ID,Author,Title,Year
EAGIAI,Terry Eagleton,Ideology: An Introduction,1983
ARIP-24,W. Hamilton Aristotle and W. Rhys Longinus and Demetrius and Fyfe and Roberts,Poetics,2006
NIGGID-2,Andrea Wilson Nightingale,Genres in Dialogue: Plato and the Construct of Philosophy,1995
FEATNO,Susan L. Feagin,The Nature of Fiction,1992
SARWIL-2,Jean{-}Paul Sartre,What is Literature?,1967
LAMTPO-21,Peter Lamarque,The Philosophy of Literature,2008
MCMB-6,Jennifer A. McMahon,Beauty,2020
HERLTA-3,David Herman and Terry Eagleton,Literary Theory: An Introduction,1998
DAVTPO-75,Stephen Davies,The Philosophy of Art,2006
YANATO-2,Yu Yang and Yarong Zeng,A Taxonomy of the Complexities of Embedded Narratives in Film: From Literary Description Simulation to the Visuality-Triggered Self-Referential Fallacy,2024
KIVTPO-5,Peter Kivy,The Performance of Reading: An Essay in the Philosophy of Literature,2006
CARTRC-4,"No\""{e}l Carroll and John Gibson",The Routledge Companion to Philosophy of Literature,2015
SARWIL,Jean{-}Paul Sartre,"""What is Literature?"" and Other Essays",1988
HAMTLO-2,Ka?te Hamburger,The Logic of Literature,1973
HERLTA-4,David Herman and Jonathan Culler,Literary Theory: A Very Short Introduction,1999
ATTTSO-2,Derek Attridge,The Singularity of Literature,2004
DELLRC-7,Jes\'{u}s Miguel Delgado Del Aguila,"?La Ret\'{o}rica Contempor\'{a}nea (la Ret\'{o}rica de Hoy) Incluye Muchas Disciplinas Que Se Han Desarrollado En Los Siglos Xx y Xxi; Entonces, Es Una Especie de Teor\'{i}a de Las Teor\'{i}as?. Entrevista a Stefano Arduini",2023
BRUSTT,Gerald L. Bruns and Geoffrey Hartman,Saving the Text: Literature/Derrida/Philosophy,1981
DELEAA-14,Jes\'{u}s Miguel Delgado Del Aguila,Entrevista a Audrey Louyer Sobre la Investigaci\'{o}n y la Canalizaci\'{o}n de la Literatura Peruana Fant\'{a}stica. Un Enfoque Franc\'{e}s (1st edition),2023
GAUTCO-11,Berys Nigel Gaut and Paisley Livingston,The Creation of Art: New Essays in Philosophical Aesthetics,2003
MYSTSI,Bj\o{}rn K. Myskja and Bj\o K. Myskja,"The Sublime in Kant and Beckett: Aesthetic Judgement, Ethics and Literature",2002
HULTPO-12,Owen Hulatt,The Problem of Modernism and Critical Refusal: Bradley and Lamarque on Form/Content Unity,2016
AGUVST,Jes\'{u}s Miguel Delgado Del Aguila,Violencia Social: Tem\'{a}tica Regularizada y Necesaria Para la Recepci\'{o}n de la Novela Policial Peruana (1990-2013),2023
VRATAD,Andreas Vrahimis,"The ""Analytic""/""Continental"" Divide and the Question of Philosophy's Relation to Literature",2019
AGUEAC-3,Jes\'{u}s Miguel Delgado Del Aguila,Entrevista a Cristhian Brice\~{n}o \'{A}ngeles Sobre Los Escritores y Las Editoriales,2023
MAECOA,Hans Maes,Conversations on Art and Aesthetics,2017
YOUTPO-18,Julian Young,The Philosophy of Tragedy: From Plato to \v{Z}i\v{z}ek,2013
PALRGM-3,Wolfgang Palaver,Ren\'e Girard's Mimetic Theory,2013
AGUEAV,Jes\'{u}s Miguel Delgado Del Aguila,Entrevista a V\'{i}ctor Manuel Ramos. ?Hay Palabras Usadas En Nuestra Lengua Espa\~{n}ola Que Provienen de Las Lenguas Precolombinas y de Las Que Actualmente Se Hablan En El Pa\'{i}s?,2023
KENBEC-2,Stuart Kendall and Leslie Hill,Blanchot: Extreme Contemporary,2000
JARBEC,Steven Jaron and Leslie Hill,Blanchot: Extreme Contemporary,1999
LAMAAL,Peter Lamarque,Aesthetics and Literature: A Problematic Relation?,2007
CAVTWL,Terence Cave,Thinking with Literature: Towards a Cognitive Criticism,2016
EAGTEO-3,Terry Eagleton,The Event of Literature,2012
AGUADL-3,Jes\'{u}s Miguel Delgado Del Aguila,An\'{a}lisis de la Realidad Textual En Niebla (1914) de Miguel de Unamuno,2021
BUNIIT,Peer F. Bundgaard and Frederik Stjernfelt,Investigations Into the Phenomenology and the Ontology of the Work of Art: What Are Artworks and How Do We Experience Them?,2015
HARWIF-4,Bernard Harrison,What is Fiction For?: Literary Humanism Restored,2014
KERTSO-3,Frank Kermode,The Sense of an Ending: Studies in the Theory of Fiction: With a New Epilogue,2000
MCGLT,Rafe McGregor,Literary Thickness,2015
LAWGOP,Christopher Lawn,Gadamer on Poetic and Everyday Language,2001
AGULIE,Jes\'{u}s Miguel Delgado Del Aguila,La Iron\'{i}a En la Ciudad y Los Perros (1963) Como Canalizadora de la Violencia,2022
HARLGF,James Harold,"Literature, Genre Fiction, and Standards of Criticism",2011
ARILAL-3,Maria Aristodemou,Law and Literature: Journeys From Her to Eternity,2000
MAGNCP-3,Bernd Magnus and Stanley Stewart and Jean{-}Pierre Mileur,Nietzsche's Case: Philosophy as/and Literature,1992
NEWPOL-2,Christopher New,Philosophy of Literature: An Introduction,1999
AGUEVE,Jes\'{u}s Miguel Delgado Del Aguila,Estratificaci\'{o}n Violenta En Los Personajes de la Ciudad y Los Perros,2021
RICMTL-2,Bill Richardson,Mapping the Literary Text: Spatio-Cultural Theory and Practice,2018
AGUSHE,Jes\'{u}s Miguel Delgado Del Aguila,Sistematizaci\'{o}n Hermen\'{e}utica En Torno a Las Representaciones Literarias de la Ciudad y Los Perros,2022
AGUFSD-2,Jes\'{u}s Miguel Delgado Del Aguila,"Funci\'{o}n Social de la Iron\'{i}a En Decamer\'{o}n, de Giovanni Boccaccio (1st edition)",2022
AGUCVC,Jes\'{u}s Miguel Delgado Del Aguila,Construcci\'{o}n Viril Con la Experiencia Femenina En la Ciudad y Los Perros,2022
AGUEAD-4,Jes\'{u}s Miguel Delgado Del Aguila,"Entrevista Al Doctor Camilo Fern\'{a}ndez Cozman, Miembro de la Academia Peruana de la Lengua",2021
AGULSC,Jes\'{u}s Miguel Delgado Del Aguila,La Sociedad Cotidiana Por Medio de Los Campos Figurativos de la Estaci\'{o}n Violenta (1958) de Octavio Paz,2022
AGUECS-3,Jes\'{u}s Miguel Delgado Del Aguila,Estudios Cr\'{i}ticos Sobre la Instrucci\'{o}n Militar En la Ciudad y Los Perros,2021
AGUEDL-3,Jes\'{u}s Miguel Delgado Del Aguila,Ense\~{n}anza de la Literatura Espa\~{n}ola En Contextos Universitarios Peruanos. Entrevista a Mar\'{i}a Luisa Roel Mendizabal,2022
AGUEAD-3,Jes\'{u}s Miguel Delgado Del Aguila,"?Entrevista Al Dr. Dar\'{i}o Villanueva, Acad\'{e}mico de N\'{u}mero de la Real Academia Espa\~{n}ola. ""Sin la Creaci\'{o}n, No Existe Literatura, Pero Solo Con la Creaci\'{o}n de Textos Tampoco Hay Literatura""?",2022
AGUFEE,Jes\'{u}s Miguel Delgado Del Aguila,"Formaci\'{o}n En Escritura Creativa Para Un Desenvolvimiento Como Cr\'{i}tico, Narrador y Educador. Entrevista a \'{A}ngel Misari",2021
AGURYP,Jes\'{u}s Miguel Delgado Del Aguila,"Rendimiento y Panorama Actual de la Producci\'{o}n Literaria En Uruguay. Entrevista a Ricardo Pallares, Miembro de la Academia Nacional de Letras de Uruguay",2022
AGUDVE,Jes\'{u}s Miguel Delgado Del Aguila,Volici\'{o}n Conservadora En Las Acciones Violentas de la Ciudad y Los Perros,2021
AGUCHE-2,Jes\'{u}s Miguel Delgado Del Aguila,Correspondencia Humanista En El Discurso Ensay\'{i}stico Vargasllosiano Con la Ciudad y Los Perros,2021
AGUEAJ-2,Jes\'{u}s Miguel Delgado Del Aguila,"Entrevista a Jos\'e Manuel S\'{a}nchez Ron, Vicedirector de la Real Academia Espa\~{n}ola. B\'{u}squeda de M\'{e}todos de Investigaci\'{o}n de la Literatura En Conjunci\'{o}n Con la F\'{i}sica",2022
AGULTD-3,Jes\'{u}s Miguel Delgado Del Aguila,La Transgresi\'{o}n de Lo Tradicional y El C\'{o}digo \'{E}tico En Un Perro Andaluz (Filme 1929),2021
GOUABD,Rebecca Gould,Adam Bede?s Dutch Realism and the Novelist?s Point of View,2012
HAGACT-2,Garry Hagberg and Walter Jost,A Companion to the Philosophy of Literature,2007
KARBFA,Mehmet Karabela,Be\c{s}ir Fuad and His Opponents: The Form of a Debate Over Literature and Truth in Nineteenth-Century Istanbul,2011
FARWIL,Jerry Farber,What is Literature? What is Art? Integrating Essence and History,2005
WATRTD,Christopher Watkin,Rewriting the Death of the Author: Ranci\`{e}rian Reflections,2015
ONGSDB,Yi{-}Ping Ong,"Simone de Beauvoir's Theory of the Novel: The Opacity, Ambiguity, and Impartiality of Life",2015
HUELS,Wolfgang Huemer,Literary Style,2015
CASTCI-5,Anthony J. Cascardi,The Cambridge Introduction to Literature and Philosophy,2014
MILLE,John Stuart Mill and Edward Alexander,Literary Essays,1967
FERHLC-2,Sean Gerard Ferrier,How Literature Changes the Way We Think (Review),2014
DUTADT-2,Denis Dutton,A Darwinian Theory of Beauty,2014
HUESIL,Wolfgang Huemer,Sprache Im Literarischen Text,2014
SCHFPM-2,Stephen Adam Schwartz,Faux Pas: Maurice Blanchot on the Ontology of Literature,1998
HAYPDL,John Hay,Plotting Devices: Literary Darwinism in the Laboratory,2014
KARMMF-3,Alexis Karpouzos,? \ensuremath{\Lambda}?\ensuremath{\gamma}?\ensuremath{\tau}\ensuremath{\epsilon}\ensuremath{\chi}\ensuremath{\nu}\ensuremath{\iota}\ensuremath{\alpha} ?\ensuremath{\eta}\ensuremath{\sigma} \ensuremath{\Phi}\ensuremath{\iota}\ensuremath{\lambda}?\ensuremath{\sigma}?\ensuremath{\phi}\ensuremath{\iota}\ensuremath{\alpha}\ensuremath{\sigma} - ?\ensuremath{\lambda}\ensuremath{\epsilon}\ensuremath{\xi}\ensuremath{\eta}\ensuremath{\sigma} ?\ensuremath{\alpha}\ensuremath{\rho}\ensuremath{\pi}?\ensuremath{\upsilon}\ensuremath{\zeta}?\ensuremath{\sigma},2024
LYATSD,Colin A. Lyas,The Semantic Definition of Literature,1969
SHEIT,Bruce Sheridan,Imagine This ?,2014
SELPAO,John Sellars,"Plato's Apology of Socrates, a Metaphilosophical Text",2014
JOHTPO-75,Eileen John and Dominic McIver Lopes,The Philosophy of Literature: Contemporary and Classic Readings - an Anthology,2004
GALPVH,David Gallop,"""Poetry"" Versus ""History"" in Aristotle's Poetics",2018
GLAANT-2,Roy Glassberg,A New Theory of Tragic Catharsis,2021
NANAPO-5,Ted Nannicelli,A Philosophy of the Screenplay,2012
FORLAA,William Craig Forrest,Literature as Aesthetic Object: The Kinesthetic Stratum,1969
MATLWA,Robert J. Matthews,Literary Works and Institutional Practices,1981
COLPAA-13,Vincent M. Colapietro,Peirce as a Writer,2019
IRWWWD,William Irwin and David Kyle Johnson,What Would Dutton Say About the Paradox of Fiction?,2014
MCGNT,Rafe McGregor,Narrative Thickness,2015
SEENAL-2,William Seeley,Neuroscience and Literature,2015
SEENNA,William Seeley,"Neuroscience, Narrative, and Emotion Regulation",2018
TOMTW-2,Tomas Koblizek and Petr Kot'\'{a}tko and Martin Pokorn\'y,Text + Work: The Menard Case,2013
PAVWNS,Thomas Pavel,What Novels Speak About,2018
EATTSO,Trevor Eaton,The Semantics of Literature,1966
MACWIN,Tanis MacDonald,"?What is Not Self?: Jan Zwicky, Simone Weil, and the Resonance of Decreation",2015
SCHPOL-13,Severin Schroeder,Philosophy of Literature,2010
LEIIP,Anton Leist and Peter Singer,Introduction : Philosophy's Akward Relation to Literature,2010
HICPL-3,G. Dawes Hicks,Philosophical Literature,1929
FOTEDH-2,Veronique M. Foti,Epochal Discordance: Holderlin's Philosophy of Tragedy,2007
CHASSA-11,Dongho Cha,"Sense-Making Sound: Agamben, Longenbach, and the Question of Poetic Meaning",2014
KNIDDO-2,Deborah Knight,"Denis Dutton on Cross-Cultural Aesthetics, Forgery, and Performance",2014
GORTPO-35,Daniel Gordon,"""The Politics of the Classroom Are Not the Politics of the World"": An Unpublished Speech by Edward W. Said",2020
SHALMF,Brian W. Shaffer and William Ray and Robert C. Holub,Literary Meaning From Phenomenology to Deconstructionreception Theory: A Critical Introduction,1987
MUEPOL,V. C. A.,Philosophy of Literature,1949
VIDAHG-2,Iris Vidmar,"Alan H. Goldman, Philosophy and the Novel",2015
ZIOPIF,Theodore Ziolkowski,Philosophers Into Fiction,2015
HAGIOT-2,Garry L. Hagberg,Introduction: On the Ground of Ethical Criticism,2015
