ID,Author,Title,Year
ROGLSD-7,Jacques Roger,Les Sciences de la Vie Dans la Pens\'{e}e Fran\c{c}aise du Xviiie Si\`{e}cle,1964
GAYTEA-4,Peter Gay,The Enlightenment: An Interpretation,1968
DARTGC,Robert Darnton,The Great Cat Massacre and Other Episodes in French Cultural History,1986
STEWAM,Isabelle Stengers,Wondering About Materialism: Diderot?s Egg,2011
HUNTFR,Lynn Hunt,The Family Romance of the French Revolution,1995
DARTBO-2,Robert Darnton,The Business of Enlightenment: A Publishing History of the Encyclop\'{e}die 1775-1800,1979
JACHAT-2,Michael Jacovides,Hume and the Rotting Turnip,manuscript
DIDUC,Diderot and H. Dieckmann and J. Proust and J. Varloot,\O{E}uvres Compl\`{e}tes,1991
ROGBUP-2,Jacques Roger,Buffon: Un Philosophe au Jardin du Roi,1993
SPEHLA-4,Allen Speight,"Hegel, Literature, and the Problem of Agency",2001
EHRLDN,Jean Ehrard,L'ide?e de Nature En France Dans la Premie?Re Moitie? du Xviiie Sie?Cle,1963
WOLMAT-8,Charles T. Wolfe,Materialism and ?the Soft Substance of the Brain?: Diderot and Plasticity,2016
WOLMOO,Charles T. Wolfe,Models of Organic Organization in Montpellier Vitalism,2017
WOLFLT-2,Charles Wolfe,"From Locke to Materialism: Empiricism, the Brain and the Stirrings of Ontology",2018
KAIDHP,Timo Kaitaro,Diderot's Holism: Philosophical Anti-Reductionism and its Medical Background,1997
WOLCDN,Charles T. Wolfe,"?Cabinet d'Histoire Naturelle,? Or: The Interplay of Nature and Artifice in Diderot's Naturalism",2009
WOLEMA-4,Charles T. Wolfe,Endowed Molecules and Emergent Organization: The Maupertuis-Diderot Debate,2010
Beaulne2023-RIOCSS,Mitia Rioux{-}Beaulne,Certitudes Subverties. Strat\'{e}gies de Diderot,2023
DIDPP,Denis Diderot,Pense?Es Philosophiques,1950
HEGEDS-6,Georg Wilhelm Friedrich Hegel and Bernard Bourgeois,Encyclop\'{e}die des Sciences Philosophiques,1979
ROGLSD-5,Jacques Roger,Les Sciences de la Vie Dans la Pens\'{e}e Fran\c{c}aise du Xviiie Si\`{e}cle: La G\'{e}n\'{e}ration des Animaux de Descartes \`A L'Encyclop\'{e}die,1993
WILD-19,Arthur M. Wilson,Diderot,1978
NAVDEL-2,Pierre Naville,D'holbach Et la Philosophie Scientifique au Xviiie Si\`{e}cle,1973
DIDSAV,Denis Diderot and Louis{-}Antoine de Bougainville and Gilbert Chinard,Suppl\'{e}ment au Voyage de Bougainville,1935
CHRRAM,Thomas Christensen,Rameau and Musical Thought in the Enlightenment,1998
WOKR-2,Robert Wokler,Rousseau,1998
WOLDAM,Charles T. Wolfe,Diderot and Materialist Theories of the Self,2015
WOKFLP,Robert Wokler,From l'Homme Physique to l'Homme Moral and Back: Towards a History of Enlightenment Anthropology,1993
DIDC-7,Denis Diderot and Georges Roth and Jean Varloot,Correspondance,1973
SMIHAS-3,D. W. Smith,Helv\'{e}tius: A Study in Persecution,1966
FRARAT-16,Peter France,Rhetoric and Truth in France: Descartes to Diderot,1975
DIDLND,Denis Diderot,Le Neveu de Rameau,2004
DIDDEP,Denis Diderot,Diderot's Early Philosophical Works,1916
SEZESD,Jean Seznec,Essais Sur Diderot Et L'Antiquite?,1957
Beaulne2018-RIODLE,Mitia Rioux{-}Beaulne,"Diderot, L?\'{E}clectisme Et L?Histoire de L?Esprit Humain",2018
ELNSEI,Zeyad El Nabolsy,"Standpoint Epistemology, Internal Critique, and the Characterization of Equiano as an Enlightenment Thinker",2024
DIDC-3,Denis Diderot and Georges Roth and Jean Varloot,Correspondance,1968
WHETAO-7,Ruth Whelan,The Anatomy of Superstition: A Study of the Historical Theory and Practice of Pierre Bayle,1993
GOOTSO-7,Dena Goodman,The Structure of Political Argument in Diderot's Suppl\'{e}ment au Voyage de Bougainville,1983
GOSMAT,Lionel Gossman,Medievalism and the Ideologies of the Enlightenment: The World and Work of Lacurne de Sainte-Palaye,1971
WARDAT-2,Marx W. Wartofsky,Diderot and the Development of Materialist Monism,1952
GAYTPO-10,Peter Gay,The Party of Humanity,1966
HMLTPC-2,"Hasse H\""{a}m\""{a}l\""{a}inen",The Philosophes? Criticism of Religion and D?Holbach?s Non-Hedonistic Materialism,2017
Beaulne2021-RIOCER,Mitia Rioux{-}Beaulne,Continuit\'e Et Rupture En Histoire de la Philosophie : Le Cas de l'\'{E}picurisme Selon Diderot,2021
PALLRE-3,Eric Palmer,Less Radical Enlightenment: A Christian Wing of the French Enlightenment,2017
DIDJTF,Denis Diderot,Jacques the Fatalist,2008
WOLMSU,Charles T. Wolfe and Alexandre M\'{e}traux,Monster ?Sammlung Und Allegorie,2016
DIDRSM,Denis Diderot,Regrets Sur Ma Vieille Robe de Chambre (French),unknown
Beaulne2023-RIORRL,Mitia Rioux{-}Beaulne,"Renvois, Rapports, Liaisons Diderot, L?Histoire de L?Acad\'{e}mie Royale des Sciences Et Ses Tables Alphab\'{e}tiques",2023
MARBEI-5,Matteo Marcheschi,Boulanger e Il Tempo Delle Origini,2024
MORGDW,Thomas Mormann,Geographie des Wissens Und der Wissenschaften: Von der Encyclop\'{e}die Zur Konstitutionstheorie,2005
STATM-3,Jean Starobinski,13 the Motto Vitam Impendere Vero and the Question of Lying,2001
CREIIP-2,Montserrat Crespin Perales,Immortalitat I Posteritat,2023
GRIJD-3,Ronald Grimsley,Jean D'Alembert,1964
BRUTEO-6,J. H. Brumfitt and John Lough,The ?Encyclopedie' of Diderot and D'alembert,1956
BLURAT-2,Carol Blum,Rousseau and the Republic of Virtue: The Language of Politics in the French Revolution,1991
