ID,Author,Title,Year
ELBDD,Paul Elbourne,Definite Descriptions,2013
GRADAP,Delia Graff Fara,Descriptions as Predicates,2001
BROKAP-2,Berit Brogaard,Knowledge-the and Propositional Attitude Ascriptions,2008
GRADWA,Delia Graff Fara,Descriptions with Adverbs of Quantification,2006
BRODPO,Berit Brogaard,Descriptions: Predicates or Quantifiers?,2007
BROSTO,Berit Brogaard,Sharvy's Theory of Definite Descriptions Revisited,2007
WIGIS,David Wiggins,Identity Statements,1965
JACACT-7,Dale Jacquette,A Companion to Philosophical Logic,2002
FARDSA,Delia Graff,"Desires, Scope, and Tense",2003
RIETDL,Michael Rieppel,The Double Life of 'the Mayor of Oakland',2013
HAWR-3,John Hawthorne and David Manley,Response,2014
OSTDAL,Gary Ostertag,Descriptions and Logical Form,2002
OLILUS,Lucia Oliveri,"Logische Und Semantische Funktion der Pr\""{a}positionen in Leibniz? Sprachphilosophie",2014
BRORTO-2,Berit Brogaard,Russell's Theory of Descriptions Vs. The Predicative Analysis: A Reply to Graff,manuscript
OLIMDA,Michael Oliva C\'{o}rdoba,Meta-Linguistic Descriptivism and the Opacity of Quotation,2014
FARFST,Delia Graff Fara,Further Steps Towards a Theory of Descriptions as Predicates,2016
CHADFA,Oswaldo Chateaubriand,Descriptions: Frege and Russell Combined,2002
