ID,Author,Title,Year
AUSLOJ,John Austin,"Lectures on Jurisprudence, or, the Philosophy of Positive Law",1885
EHRTFO,Kenneth M. Ehrenberg,The Functions of Law,2016
DONDL-2,Raff Donelson,Describing Law,2020
SOULAC-2,Nicholas Southwood,Laws as Conventional Norms,2019
WIEIOL,Micha\l Wieczorkowski,"Identification of Legal Content, Legal Nihilism and Propriety of Methods of Interpretation",manuscript
ANDLPS-2,Andrei Marmor,Legal Positivism: Still Descriptive and Morally Neutral,2006
MURWML,Liam Murphy,What Makes Law: An Introduction to the Philosophy of Law,2014
EHRDTP,Kenneth M. Ehrenberg,Defending the Possibility of a Neutral Functional Theory of Law,2008
HERALR,Ori J. Herstein,A Legal Right to Do Legal Wrong,2013
BILJIA,David Bilchitz and Thaddeus Metz and Oritsegbubemi Oyowe,Jurisprudence in an African Context (1st edition),2017
EHRLIA,Kenneth M. Ehrenberg,Law is an Institution an Artifact and a Practice,2018
KRIASI-2,Andrej Kristan and Massimiliano Vignolo,Assessment Sensitivity in Legal Discourse,2018
BILJIA-3,David Bilchitz and Thaddeus Metz and Oritsegbubemi Anthony Oyowe,"Jurisprudence in an African Context, 2Nd Edn (2nd edition)",2024
MATSRC-3,Blaszczyk Matt,"Section 230 Reform, Liberalism, and Their Discontents",2024
EHRTAO-2,Kenneth M. Ehrenberg,The Anarchist Official: A Problem for Legal Positivism,2011
HERLAA-5,Ori J. Herstein,"Law and Authority Under the Guise of the Good, by Veronica Rodriguez-Blanco",2016
WEBHTT,Aness Kim Webster,How to Theorise About the Criminal Law: Thoughts on Methodology Prompted by Alex Sarch?s Criminally Ignorant,2021
BLADAO,Matt Blaszczyk,Decentralized Autonomous Organizations and Regulatory Competition: A Race Without a Cause,2024
HERRIN,Ori J. Herstein,Responsibility in Negligence: Why the Duty of Care is Not a Duty ?to Try?,2010
SUBTLF,Chatterjee Subhasis Chattopadhyay,The Law From Wergild to the Postmodern: Thinking of Restorative Justice,manuscript
FULTLO-11,Joseph S. Fulda,The Logic of ?Improper Cross?,2000
LINAJA,John Linarelli,Analytical Jurisprudence and the Concept of Commercial Law,2009
FRYRAP,David Frydrych,Realism and Positivism,2022
FULTLO-14,Joseph S. Fulda,The Logic of the Whole Truth,1989
BLATMP,Veronica Rodriguez Blanco,The Methodological Problem in Legal Theory: Normative and Descriptive Jurisprudence Revisited,2006
FRYDTM,David Frydrych,Down the Methodological Rabbit Hole,2017
Blanco2001-RODARO,Veronica Rodriguez{-}Blanco,A Revision of the Constitutive and Epistemic Coherence Theories in Law,2001
HAMFMI,Andreas Hamfelt,Formalizing Multiple Interpretation of Legal Knowledge,1995
THOTEO-75,Dennis F. Thompson,"The Education of a Founding Father: The Reading List for John Witherspoon's Course in Political Theory, as Taken by James Madison",1976
HAGHCA,Jaap C. Hage and Ronald Leenes and Arno R. Lodder,Hard Cases: A Procedural Approach,1993
COMABA,P. Comanducci,"Alchourron, Bulygin and Italian Legal Theory",1997
MCIWIA-3,David H. McIlroy,When is a Regime Not a Legal System? Alexy on Moral Correctness and Social Efficacy,2013
LANSRJ,Malcolm Langford,Social Rights Jurisprudence: Emerging Trends in International and Comparative Law,2009
FULTLO-12,Joseph S. Fulda,The Logic of ?Asked and Answered!?: The Case of the Traffic Light,2010
AUSTAT,John Austin,"The Austinian Theory of Law: Being an Edition of Lectures I, V, and Vi of Austin's ""Jurisprudence,"" and of Austin's ""Essay on the Uses of the Study of Jurisprudence"" with Critical Notes and Excursus",1906
BLAIOE,Matt Blaszczyk,Impossibility of Emergent Works? Protection in U.S. And Eu Copyright Law,2023
BLAIOA-3,Matt Blaszczyk,Impossibility of Artificial Inventors,2024
COMSED,Paolo Comanducci and Riccardo Guastini,Struttura e Dinamica Dei Sistemi Giuridici,1996
LUCETF,Lucas Miotto,Evaluating the Force of Law's Force,2015
GANTPO-19,Simon Gansinger,Review of \emph{the Philosophy of Legal Change: Theoretical Perspectives and Practical Processes},2021
