ID,Author,Title,Year
QUIQAP,Willard van Orman Quine,Quantifiers and Propositional Attitudes,1955
BROTTA-2,Berit Brogaard,Transient Truths: An Essay in the Metaphysics of Propositions,2012
JERTWT,Ethan Jerzak,Two Ways to Want?,2019
Brown2021-PHIWDD,Milo Phillips{-}Brown,What Does Decision Theory Have to Do with Wanting?,2021
BLUANH-3,Kyle Blumberg and John Hawthorne,A New Hope,2022
BLUWDT,Kyle Blumberg,"Wishing, Decision Theory, and Two-Dimensional Content",2023
FORAPA-3,Graeme Forbes,Attitude Problems: An Essay on Linguistic Intensionality,2006
SINAOP,Neil Sinhababu,Advantages of Propositionalism,2015
GRACWA-4,Thomas Grano and Milo Phillips{-}Brown,(Counter)Factual Want Ascriptions and Conditional Belief,2022
Brown2018-PHIIWT,Milo Phillips{-}Brown,"I Want to, But...",2018
BLUD-2,Kyle Blumberg and John Hawthorne,Desire,2022
MOLCPA,Friederike Moltmann,Cognitive Products and the Semantics of Attitude Verbs and Deontic Modals,2017
BLUCAA-2,Kyle Blumberg,Counterfactual Attitudes and the Relational Analysis,2018
FARSD-2,Delia Graff Fara,Specifying Desires,2012
UNNASA,Elmar Unnsteinsson,Authentic Speech and Insincerity,2023
BrownForthcoming-PHIDLO-2,Milo Phillips{-}Brown,Desiderative Lockeanism,forthcoming
MOLVOA,Friederike Moltmann,Variable Objects and Truthmaking,2020
BLUWWN-2,Kyle Blumberg and John Hawthorne,Wanting What?s Not Best,2021
BLURR,Kyle Blumberg and Harvey Lederman,Revisionist Reporting,2020
DAMPPG-2,Justin D'Ambrosio,Prior's Puzzle Generalized,2023
GRAGWY,Lyndal Grant and Milo Phillips{-}Brown,Getting What You Want,2020
BRADDA,David Braun,"Desiring, Desires, and Desire Ascriptions",2015
Petersen2015-STEWDR,Asbj\o{}rn Steglich{-}Petersen and John Michael,Why Desire Reasoning is Developmentally Prior to Belief Reasoning,2015
BLUOP,Kyle Blumberg,On Preferring,2022
FORITV,Graeme Forbes,Intensional Transitive Verbs,2012
NOLSDD,Daniel Nolan,Selfless Desires,2007
BLUIHA,Kyle Blumberg and Margot Strohminger,Imaginative Hopes and Other Desires,forthcoming
BLUAPA-5,Kyle Blumberg,"Attitudes, Presuppositions, and the Binding Theory",forthcoming
KINPAA-8,Owen C. King,"Presumptuous Aim Attribution, Conformity, and the Ethics of Artificial Social Cognition",2020
SCHAOD-12,Henry Ian Schiller,Acts of Desire,2021
FARDSA,Delia Graff,"Desires, Scope, and Tense",2003
GRZDER,A. Grzankowski,Do Emotions Represent Values and How Can We Tell?,manuscript
SCHWYO,Henry Ian Schiller,What?s Your Opinion? Negation and ?Weak? Attitude Verbs,2023
MOLOAA,Friederike Moltmann,Objects and Attitudes,forthcoming
JERPD-2,Ethan Jerzak,Paradoxical Desires,2019
SKIOCU,Daniel Skibra,On Content Uniformity for Beliefs and Desires,2021
Brown2019-PHIACA-6,Milo Phillips{-}Brown,Anankastic Conditionals Are Still a Mystery,2019
MOLOOA,Friederike Moltmann,Outline of an Object-Based Truthmaker Semantics for Modals and Propositional Attitudes,2025
HOCMMA,Eric Hochstein,"Minds, Models and Mechanisms: A New Perspective on Intentional Psychology",2012
ZYGWIN-2,Tomasz Zyglewicz,Wanting is Not Expected Utility,2024
BEVCWY,John Beverley,Careful What You Wish,2018
BOOUDK,Richard Jefferson Booth,Underspecifying Desires,2023
BLUIIA-5,Kyle H. Blumberg,Ignorance Implicatures and Non-Doxastic Attitude Verbs,2017
TADLCO,Ciecierski Tadeusz,Linguistic Criteria of Intentionality,2016
TOOWPA,Uku Tooming,Without Pretense: A Critique of Goldman?s Model of Simulation,2015
ARITAC-3,Emanuele Arielli,"Thinking About Complex Mental States: Language, Symbolic Activity and Theories of Mind",2012
ASATHF,Samuel Asarnow,"Tim Henning, From a Rational Point of View: How We Represent Subjective Perspectives in Practical Discourse",2019
