ID,Author,Title,Year
WHEIPQ,John Archibald Wheeler,"Information, Physics, Quantum: The Search for Links",1989
FLOADO-2,Luciano Floridi,Against Digital Ontology,2009
DAVIAT-5,Paul Davies and Niels Henrik Gregersen,Information and the Nature of Reality: From Physics to Metaphysics,2010
BUBQMI,Jeffrey Bub,Quantum Mechanics is About Quantum Information,2005
BERTWI,Francesco Berto and Jacopo Tagliabue,The World is Either Digital or Analogue,2014
BERCA,Francesco Berto and Jacopo Tagliabue,Cellular Automata,2012
ZENACU,Hector Zenil,A Computable Universe: Understanding and Exploring Nature as Computation,2013
SCHTPI-28,Susan Schneider and Mark Bailey,The Prototime Interpretation of Quantum Mechanics,manuscript
STETIO-9,Eric Steinhart,Theological Implications of the Simulation Argument,2010
DAUTMO,Martin Daumer and Detlef Duerr and Sheldon Goldstein and Tim Maudlin and Roderich Tumulka and Nino Zanghi,The Message of the Quantum?,
FREARA,Nir Fresco and Phillip J. Staines,A Revised Attack on Computational Ontology,2014
ZUSRR,Konrad Zuse,Rechnender Raum (Calculating Space),1969
DEUIFQ,David Deutsch,It From Qubit,manuscript
STEDM,Eric Steinhart,Digital Metaphysics,1998
BERTPO-77,Francesco Berto and Jacopo Tagliabue and Gabriele Rossi,There?s Plenty of Boole at the Bottom: A Reversible Ca Against Information Entropy,2016
de-Araujo2017-BERTOO-16,Anderson Beraldo{-}de{-}Ara\'{u}jo and Lorenzo Baravalle,The Ontology of Digital Physics,2017
LLOUAQ,Seth Lloyd,Universe as Quantum Computer,1997
BYNOTP,Terrell Ward Bynum,On the Possibility of Quantum Informational Structural Realism,2014
STEDA-7,Eric Steinhart,Digital Afterlives,2017
H2019-SJSBR,"Peter Sj\""{o}stedt{-}H.",Book Review ? Alien Information Theory: Psychedelic Drug Technologies and the Cosmic Game,2019
BOXLIM,G. J. Chaitin,"Leibniz, Information, Math and Physics",
STETPO-125,Eric Steinhart,The Physics of Information,2003
ZEITMO-2,Anton Zeilinger,The Message of the Quantum,2005
HAGEFA,Amit Hagar,Ed Fredkin and the Physics of Information - an Inside Story of an Outsider Scientist,2016
FREDM,Edward Fredkin,Digital Mechanics - an Informational Process Based on Reversible Universal Cellular Automata,1990
STESIV,Eric Steinhart,Structural Idealism,1994
BALSWA,John Baldwin,"S. Wolfram, a New Kind of Science",2004
STETWT-6,Eric Steinhart,The Will to Power as Parallel Distributed Processing,1999
WEBFAO,Julian Webster,Finite Approximation of Measure and Integration,2006
SLOCTO,David Sloan,Calling Time on Digital Clocks,2015
STETEO-101,Eric Steinhart,The Existence of Software,2018
LLOCU,Seth Lloyd,Computational Universe,2010
BERMSI,Simon Y. Berkovich,Mutual Synchronization in a Network of Digital Clocks as the Key Cellular Automaton Mechanism of Nature: Computational Model of Fundamental Physics,1986
BRITEO-22,Brian Whitworth,The Emergence of the Physical World From Information Processing,2010
MCKADF,Alan McKenzie,"A Discrete, Finite Multiverse",2016
MCKTLI,Alan McKenzie,The Level I Multiverse is Not the Same as the Level Iii Multiverse,2017
MCKSRO-2,Alan McKenzie,Some Remarks on the Mathematical Structure of the Multiverse,2016
MACMON-2,Malcolm J. Macleod,3. Simulating Gravity Via Planck Scale N-Body Particle-Particle Orbital Pairs,manuscript
BARSAB,Rodney Bartlett,Strings Are Binary Digits Whose Currents in Two 2-D Mobius Loops Produce a 4-D Figure-8 Klein Bottle That Composes Each of the Subuniverses in the One Universe,2013
STADBW,Mariusz Stanowski,De Broglie Waves and Complexity,2014
GRIBFB,Rowan Grigg,Bit From Bit (It),manuscript
BALSWA-2,John Baldwin,"Stephen Wolfram. A New Kind of Science, Wolfram Media, Inc., Champaign, Il, 2002, Xiv+ 1197 Pp",2004
CHAROA-5,Mark Changizi,"Review of a New Kind of Science by Stephen Wolfram. Wolfram Media Inc., 2002",2002
