ID,Author,Title,Year
KAPD,David Kaplan,"Demonstratives: An Essay on the Semantics, Logic, Metaphysics and Epistemology of Demonstratives and Other Indexicals",1989
ALMTFK,Joseph Almog and John Perry and Howard Wettstein,Themes From Kaplan,1989
KAPA,David Kaplan,Afterthoughts,1989
MONTPT-4,Richard Montague,The Proper Treatment of Quantification in Ordinary English,1973
KAPOTL,David Kaplan,On the Logic of Demonstratives,1979
KAPD-2,David Kaplan,Dthat,1978
SCHTN-7,Anders J. Schoubye,Type-Ambiguous Names,2017
RABTMQ,Brian Rabern,Monsters in Kaplan?s Logic of Demonstratives,2013
NUNIAD,Geoffrey Nunberg,Indexicality and Deixis,1993
HECDDH,Richard Heck,Do Demonstratives Have Senses?,2002
Carpintero2000-GARAPA,Manuel Garc\'{i}a{-}Carpintero,A Presuppositional Account of Reference Fixing,2000
STODAL,Una Stojni\'c and Matthew Stone and Ernie Lepore,"Discourse and Logical Form: Pronouns, Attention and Coherence",2017
SMIART-3,Kevin Mulligan and Barry Smith,A Relational Theory of the Act,1986
STODEW,Una Stojnic and Matthew Stone and Ernie Lepore,Deixis (Even Without Pointing),2013
SALDAN,Nathan Salmon,Demonstrating and Necessity,2002
UNNRIA,Elmar Unnsteinsson,Referential Intentions: A Response to Buchanan and Peet,2018
MAIBIC-2,Emar Maier,Belief in Context: Towards a Unified Semantics of de Re and de Se Attitude Reports,2006
MOZTLA-2,M. Joshua Mozersky,"Time, Language, and Ontology: The World From the B-Theoretic Perspective",2015
MAIPNA-2,Emar Maier,Proper Names and Indexicals Trigger Rigid Presuppositions,2009
RAFNDR,Athanassius Raftopoulos and Vincent Muller,Nonconceptual Demonstrative Reference,2006
MICTAT-13,Eliot Michaelson,"This and That: A Theory of Reference for Names, Demonstratives, and Things in Between",2013
NOWRCD,Ethan Nowak,Really Complex Demonstratives: A Dilemma,2022
BRAWIC,David Braun,What is Character?,1995
MARTEO,Genoveva Marti,The Essence of Genuine Reference,1995
AUSWTM,David F. Austin,"What's the Meaning of ""This""?: A Puzzle About Demonstrative Belief",1990
GIETRH,Heimir Geirsson and Stephen Biggs,The Routledge Handbook of Linguistic Reference,2021
STOPTO-2,Una Stojni\'c and Matthew Stone and Ernie Lepore,Pointing Things Out: In Defense of Attention and Coherence,2020
NOWCDH-2,Ethan Nowak,"Complex Demonstratives, Hidden Arguments, and Presupposition",2019
GREDRE,Mitchell S. Green,"Direct Reference, Empty Names and Implicature",2007
MAIWMI,Emar Maier,Why My I is Your You: On the Communication of de Se Attitudes,2016
MAIRBA,Emar Maier,"Reference, Binding, and Presupposition: Three Perspectives on the Semantics of Proper Names",2015
GRUUE,Rick Grush,Understanding Evans,manuscript
HODTSO-5,Thomas Hodgson,The Structure of Content is Not Transparent,2017
PEPAUT,Jessica Pepp and Joseph Almog and Nichols Paul,A Unified Treatment of (Pro-) Nominals in Ordinary English,2015
OLIPOA-2,Irene Olivero,Putnam on Artifactual Kind Terms,2018
RUSANP,Gillian Russell,A New Problem for the Linguistic Doctrine of Necessary Truth,2010
CHARTT-2,Marc Champagne,Referring to the Qualitative Dimension of Consciousness: Iconicity Instead of Indexicality,2014
MOZTAT,Joshua M. Mozersky,Tense and Temporal Semantics,2000
BUCSPA-2,Ray Buchanan,Schiffer's Puzzle: A Kind of Fregean Response,2016
RUSLFT,G. Russell,Lessons From the Logic of Demonstratives: What Indexicality Teaches Us About Logic and Vice Versa,2012
RECRTM,Fran\c{c}ois Recanati,Reference Through Mental Files : Indexicals and Definite Descriptions,2013
MOZATA-2,J. M. Mozersky,A Tenseless Account of the Presence of Experience,2006
BARLMK,Tomas Barrero,Los Monstruos Kaplanianos y la L\'{o}gica de Los Demostrativos (1st edition),2023
BRAOTP-7,Jo\~{a}o Branquinho,On the Persistence and Re-Expression of Indexical Belief,2008
MOZTBI-2,Joshua Mozersky,The B-Theory in the Twentieth Century,2013
CORIFA,Eros Corazza and Mark Whitsey,"Indexicals, Fictions, and Ficta",2003
MOZSOT-2,Joshua M. Mozersky,Smith on Times and Tokens,2001
BRATPO,Jo\~{a}o Branquinho,The Problem of Cognitive Dynamics,1998
RUSAIE,Gillian Russell,Analyticity in Externalist Languages,2009
Carpintero2005-GARTRD,Manuel Garc\'{i}a{-}Carpintero,The Real Distinction Between Descriptions and Indexicals,2005
DEICDL,Michael Deigan,Counterfactual Double Lives,2017
KASGFA,David Kashtan,Groundwork for a Pragmatics for Formalized Languages,2021
RABSM,Brian Rabern,Semantic Monsters,2021
TSOPAT-4,Savas L. Tsohatzidis,Performativity and the 'True/False Fetish',2017
KANTDR-3,Kanit Sirichan,The Direct Reference of Pejoratives in Hate Speech,2021
BRAISF,Jo\~{a}o Branquinho,Indexical Sinn: Fregeanism Versus Millianism,2014
RUSIAS-5,Gillian Russell,Indexicals and Sider's Neo-Linguistic Account of Necessity,2017
PLUMWI,Gilbert Plumer,Mustn't Whatever is Referred to Exist?,1989
PLUKRT,Gilbert Plumer,"Kaplan Rigidity, Time, and Modality",1988
PENSAL-2,Carlo Penco,Sense and Linguistic Meaning: A Solution to the Kirkpe-Burge Conflict,2013
DOSASI,C\'{e}sar Schirmer dos Santos,A Suposta Indexicalidade Dos Designadores de Esp\'{e}cies Naturais Segundo Burge,2007
SOUDC,Ludovic Soutif,Din\^{a}mica Cognitiva,2013
PICRAA,Bryan Pickel,Rigidification and Attitudes,2012
SALFTM-4,Nathan Salmon,"Foreword to Matthew Davidson, Ed., \emph{on Sense and Direct Reference}",2007
LOEDRA,Ronald Loeffler,Demonstrative Reference and Cognitive Significance,2001
AKMSCA,Varol Akman and Aylin Koca,"Specificity, Automatic Designation, and 'I'",2003
