ID,Author,Title,Year
CARHTL,Nancy Cartwright,How the Laws of Physics Lie,1983
ELLSE-2,Brian Ellis,Scientific Essentialism,2001
SIDTTO-3,Theodore Sider,The Tools of Metaphysics and the Metaphysics of Science,2020
MUMLIN,Stephen Mumford,Laws in Nature,2004
HARCPA,Rom Harr\'e and Edward H. Madden,Causal Powers: A Theory of Natural Necessity,1975
Nye2021-KIMRTD-2,Samuel Kimpton{-}Nye,Reconsidering the Dispositional Essentialist Canon,2021
ELLTPO-19,Brian David Ellis,The Philosophy of Nature: A Guide to the New Essentialism,2002
DEMPPP,Heather Demarest,"Powerful Properties, Powerless Laws",2017
HILNTO-2,Tyler Hildebrand,Non-Humean Theories of Natural Necessity,2020
MAUNCA-4,Tim Maudlin and Nancy Cartwright,Nature's Capacities and Their Measurement,1993
CLASE,Lenny Clapp,Scientific Essentialism,2002
TAHTMS-2,Tuomas E. Tahko,The Modal Status of Laws: In Defence of a Hybrid View,2015
Nye2022-KIMLON-2,Samuel Kimpton{-}Nye,Laws of Nature: Necessary and Contingent,2022
IOANLA,Stavros Ioannidis and Vassilis Livanios and Stathis Psillos,"No Laws and (Thin) Powers in, No (Governing) Laws Out",2021
BIRTDC,Alexander Bird,The Dispositionalist Conception of Laws,2005
BUIHTG,David Builes,How to Ground Powers,2024
YATTEO,David Yates,The Essence of Dispositional Essentialism,2013
ARMITC-2,D. Armstrong and C. B. Martin and U. T. Place,Dispositions: A Debate,1996
BIGTWA,John Bigelow and Brian Ellis and Caroline Lierse,The World as One of a Kind: Natural Necessity and Laws of Nature,1992
VOGNDE,Lisa Vogt,Nominalist Dispositional Essentialism,2022
STEDAS,Jesse R. Steinberg,Dispositions and Subjunctives,2010
SCHTPO-36,Markus Schrenk,The Powerlessness of Necessity,2010
HTTCPL-2,"Andreas H\""{u}ttemann",Ceteris Paribus Laws in Physics,2014
HILLON,Tyler Hildebrand,Laws of Nature,2023
FRIDAP-2,Toby Friend and Samuel Kimpton{-}Nye,Dispositions and Powers,2023
JAADEA,Siegfried Jaag,Dispositional Essentialism and the Grounding of Natural Modality,2014
BARTUA-4,Stephen Barker and Benjamin Smart,The Ultimate Argument Against Dispositional Monist Accounts of Laws,2012
VETEDW,Barbara Vetter,Explanatory Dispositionalism: What Anti-Humeans Should Say,2020
COAEAT-2,Ashley Coates,Essence and the Inference Problem,2021
OLITMO-4,Olivier Massin,The Metaphysics of Forces,2009
ROMARA-2,Carlos Romero,Against Relationalism About Modality,2023
BIRLAE,Alexander Bird,Laws and Essences,2005
KISPDA,Max Kistler,"Powers, Dispositions and Laws of Nature",2020
Nye2022-SAMHTB,Samuel Kimpton{-}Nye,"How to Be a Powers Theorist About Functional Laws, Conservation Laws and Symmetries",2022
