ID,Author,Title,Year
COHTRA-3,Jonathan Cohen,The Red and the Real: An Essay on Color Ontology,2009
BOGCAA,Paul A. Boghossian and J. David Velleman,Color as a Secondary Quality,1989
THOWOC,Evan Thompson and A. Palacios and F. J. Varela,Ways of Coloring,1992
MCGALA,Colin McGinn,Another Look at Color,1996
PEACCA-2,Christopher Peacocke,Colour Concepts and Colour Experience,1984
NANDWS,Bence Nanay,Do We Sense Modalities with Our Sense Modalities?1,2011
ROBCRA-2,Pendaran Roberts and James Andow and Kelly Schmidtke,Colour Relationalism and the Real Deliverances of Introspection,2014
CUTCAS,Brian Cutter,Color and Shape: A Plea for Equal Treatment,2016
CUTIPA,Brian Cutter,Indeterminate Perception and Colour Relationism,2019
GOWC-3,Laura Gow,Colour,2014
HATCPA,Gary Hatfield,Color Perception and Neural Encoding: Does Metameric Matching Entail a Loss of Information?,1992
JONCAF-2,Cohen Jonathan,Color: A Functionalist Proposal,2003
ALLTMO,Keith Allen,The Mind-Independence of Colour,2007
ROBPTR,Pendaran Roberts,Parsing the Rainbow,2014
HARCNO,Clyde L. Hardin,"Colors, Normal Observers and Standard Conditions",1983
ALLLTU,Keith Allen,Locating the Unique Hues,2010
ROBRAP-3,Pendaran Roberts and Kelly Ann Schmidtke,Relationalism About Perceptible Properties and the Principle of Charity,2016
GLECWC-2,"Kathrin Gl\""{u}er",Colors Without Circles?,2007
ALLBCA,Keith Allen,Being Coloured and Looking Coloured,2009
DORCRA-2,Fabian Dorsch,Colour Resemblance and Colour Realism,2010
HATTRO,Gary Hatfield,The Reality of Qualia,2007
IDO-2,Keith Allen,In Defence of Natural Daylight,2010
COHCAP,Jonathan Cohen,"Color and Perceptual Variation Revisited: Unknown Facts, Alien Modalities, and Perfect Psychosemantics",2006
JURNRR,Marko Jurjako,Normative Reasons: Response-Dependence and the Problem of Idealization,2017
HATOAS,Gary Hatfield,Objectivity and Subjectivity Revisited: Colour as a Psychobiological Property,2003
ROBCRO-4,Pendaran Roberts,"Color Relationalism, Ordinary Illusion, and Color Incompatibility",2014
DORDND-2,Fabian Dorsch,Die Natur der Farben,2009
MATITE-3,Mohan Matthen,Is the Eye Like What It Sees? A Critique of Aristotle on Sensing by Assimilation,2019
ROWTDA-2,Rebecca Rowson,The Dispositional Account of Emotional Expression,2024
YATRWO,David Yates,Response-Dependence,2008
BROCLA-3,Derek H. Brown,Colour Layering and Colour Relationalism,2015
HARCAI-2,J. Harvey,Colour-Dispositionalism and its Recent Critics,2000
Torrente2010-GOMKOC,Mario Gomez{-}Torrente,Kripke on Color Words and the Primary-Secondary Quality Distinction,2010
DONIDA-4,Justin Donhauser,Invisible Disagreement: An Inverted Qualia Argument for Realism,2017
GOLDAT,Ian Gold,Dispositions and the Central Problem of Color,1999
STRUAD-2,Barry Stroud,Unmasking and Dispositionalism: Reply to Mark Johnston 1,2004
LPETAR,Dan L\'{o}pez De Sa,The Aposteriori Response-Dependence of the Colors,2013
MISICN,Nenad Miscevic,Is Color-Dispositionalism Nasty and Unecological?,2007
MORPVA-3,John Morrison,Perceptual Variation and Relativism,2020
BRAFRA-5,D. J. Bradley,Functionalist Response-Dependence Avoids Missing Explanations,2011
BROSAP-10,Jacob Browning and Zed Adams,Science and Philosophy of Color in the Modern Age,2021
BROCFA-8,Derek H. Brown,Colouring for and Colour Relationalism,2017
WEGIRC-2,Daniel Mario Weger,Is Representationalism Committed to Colour Physicalism?,2022
JACCPP,Steven Davis,"Color Perception: Philosophical, Psychological, Artistic, and Computational Perspectives",2000
SWACCA,Robert J. Swartz,Color Concepts and Dispositions,1967
HELCOF,Benj Hellie,Justin Fisher's 'Color Representations as Hash Values',manuscript
HUEIFO,Scott Huettel,In Favor of an Ecological Account of Color,2003
STRDTO,Barry Stroud,Dispositional Theories of the Colours of Things,2007
ALLCRC,Keith Allen,"Colour Relationalism, Contextualism, and Self-Locating Contents",2012
PITTDA,Tony Pitson,The Dispositional Account of Colour,1997
SCHTOC-2,Ralph Schumacher,Theories of Color Perception,forthcoming
