ID,Author,Title,Year
GIATIT-2,Joaquim Giannotti,The Identity Theory of Powers Revised,2021
COAMSO,Ashley Coates,Making Sense of Powerful Qualities,2021
CLADAT-2,Randolph Clarke,"Dispositions, Abilities to Act, and Free Will: The New Dispositionalism",2009
MCGSAA-2,Victoria McGeer,Scaffolding Agency: A Proleptic Account of the Reactive Attitudes,2018
FARDAH,Michael Fara,Dispositions and Habituals,2005
MCKACF,Jennifer McKitrick,A Case for Extrinsic Dispositions,2003
VETEPA,Barbara Vetter,"Essence, Potentiality, and Modality",2021
BIRTDC,Alexander Bird,The Dispositionalist Conception of Laws,2005
YATDAT,David Yates,Dispositionalism and the Modal Operators,2015
VETPPA,Barbara Vetter,Perceiving Potentiality: A Metaphysics for Affordances,2020
INGPQP,"R\""{o}gnvaldur Ingthorsson","Properties: Qualities, Powers, or Both?",2013
HEID,John Heil,Dispositions,2005
HILTTO-9,Tyler Hildebrand,Two Types of Quidditism,2016
JENDI-2,C. S. Jenkins and Daniel Nolan,Disposition Impossible,2012
STEDAS,Jesse R. Steinberg,Dispositions and Subjunctives,2010
DOUTSO-10,Christos Douskos,The Spontaneousness of Skill and the Impulsivity of Habit,2019
JAADEA,Siegfried Jaag,Dispositional Essentialism and the Grounding of Natural Modality,2014
AUSCHO,Christopher J. Austin,Contemporary Hylomorphisms: On the Matter of Form,2020
KISPDA,Max Kistler,"Powers, Dispositions and Laws of Nature",2020
MANAGA-2,David Manley and Ryan Wasserman,A Gradable Approach to Dispositions,2007
FANMSO,Jeremy Fantl,Mary Shepherd on Causal Necessity,2016
MAXTMO-6,Nicholas Maxwell,The Metaphysics of Science and Aim-Oriented Empiricism: A Revolution for Science and Philosophy,2018
VETAPO-2,Barbara Vetter,A Plenitude of Powers,2018
SCHMOS-11,"Julia G\""{o}hner and Markus Schrenk",Metaphysics of Science,2019
COATUD,Ashley Coates,"Tropes, Unmanifested Dispositions and Powerful Qualities",2022
BUCACO-4,Andrei A. Buckareff,A Critique of Substance Causation,2017
SPEATO,Joshua Spencer,A Tale of Two Simples,2010
SCHMOS-3,Markus Andreas Schrenk,Metaphysics of Science: A Systematic and Historical Introduction,2014
KITPOA,Simon Kittle,Powers Opposed and Intrinsic Finks,2015
JACCAT-2,Frank Jackson and Philip Pettit,Causation and the Philosophy of Mind,1990
GOZNAD,Simone Gozzano,Necessitarianism and Dispositions,2020
DINTTA-4,Alexander Dinges and Julia Zakkou,"Taste, Traits, and Tendencies",2021
GILTNO-4,Carl Gillett and Bradley Rives,"The Nonexistence of Determinables: Or, a World of Absolute Determinates as Default Hypothesis",2005
ANJD,Rani Lill Anjum,Evidence Based or Person Centered? An Ontological Debate,2016
HORUAA-5,Joachim Horvath,Understanding as a Source of Justification,2020
HANTMO-4,Toby Handfield,The Metaphysics of Dispositions and Causes,2009
COATMT,Ashley Coates,The Meta-Grounding Theory of Powerful Qualities,2023
HUTLAD,"Andreas H\""{u}ttemann",Laws and Dispositions,1998
INGTRO-5,"R\""{o}gnvaldur Ingthorsson",The Regress of Pure Powers Revisited,2012
CLAFWA-2,Randolph Clarke and Thomas Reed,Free Will and Agential Powers,2015
GEBACB-2,Alexander Gebharter and Florian Fischer,A Causal Bayes Net Analysis of Dispositions,2021
GIANPF-3,Giacomo Giannini,New Powers for Dispositionalism,2020
WILOMS,Jessica Wilson,On Mary Shepherd's \emph{Essay Upon the Relation of Cause and Effect},2022
MCGXC,Victoria McGeer,Xv--Intelligent Capacities,2018
GIAFCF-3,Giacomo Giannini and Stephen Mumford,Formal Causes for Powers Theorists,2021
LIVPQB,Vassilis Livanios,Powerful Qualities Beyond Identity Theory,2020
PAGPUN,Ben Page,Power-Ing Up Neo-Aristotelian Natural Goodness,2021
HTTPIB,"Andreas H\""{u}ttemann and Marie I. Kaiser",Potentiality in Biology,2018
SHECAI-2,Joshua Shepherd,Causalism and Intentional Omission,2014
TURODM,Gus Turyn,On Dispositional Masks,2021
SISNWF,Robert Weston Siscoe,No Work for a Theory of Epistemic Dispositions,2021
CONOPC,Gabriele Contessa,Only Powers Can Confer Dispositions,2015
AUSIDC-3,Christopher J. Austin,Is Dispositional Causation Just Mutual Manifestation?,2015
PAOMIF,Michele Paolini Paoletti,"Masks, Interferers, Finks, and Mimickers: A Novel Approach",2021
MUMFAC,Stephen Mumford and Rani Lill Anjum,Freedom and Control - on the Modality of Free Will,2015
HANAPA-14,Tobias Hansson Wahlberg,Active Powers and Passive Powers ? Do Causal Interactions Require Both?,2019
COAUPA,Ashley Coates,Unmanifested Powers and Universals,2022
COAEAT-3,Ashley Coates,Events and the Regress of Pure Powers: Reply to Taylor,2022
BUCHDA,Andrei A. Buckareff,How Does Agent-Causal Power Work?,2011
SEGTCI-13,Gabriel M. A. Segal,The Causal Inefficacy of Content,2009
VETPAP,Barbara Vetter,Potentiality and Possibility,2010
BUCDMU,Andrei A. Buckareff,Direct Manipulation Undermines \emph{Intentional Agency} (Not Just \emph{Free} Agency),forthcoming
BALTPV,Joseph A. Baltimore,"The Powers View of Properties, Fundamental Ontology, and Williams?s Arguments for Static Dispositions",2019
BALETV,Joseph A. Baltimore,Expanding the Vector Model for Dispositionalist Approaches to Causation,2019
POPAWO,Karl Raimund Popper,A World of Propensities,1990
GRORCR,Ruth Groff,Revitalizing Causality: Realism About Causality in Philosophy and Social Science,2008
WERPAN,Jonas Werner,Plenitude and Necessarily Unmanifested Dispositions,2021
CORRMF-2,Richard Corry,Retrocausal Models for Epr,2015
LIVHPA,Vassilis Livanios,Hamilton?s Principle and Dispositional Essentialism: Friends or Foes?,2018
PAOTP-4,Michele Paolini Paoletti,Teleological Powers,2021
ANJDAE,Rani Lill Anjum and Svein Anders Noer Lie and Stephen Mumford,Dispositions and Ethics,manuscript
INDAGR,Jonas Jervell Indregard,A Gradual Reformation: Empirical Character and Causal Powers in Kant,2018
CORMCA-3,Josep E. Corb\'i and Josep L. Prades,"Minds, Causes and Mechanisms: A Case Against Physicalism",2000
LIVDMA,Vassilis Livanios,Dispositional Monism and the Ontological Distinction Between Unmanifested and Manifested Powers,2021
BUCDDF-2,Andrei A. Buckareff,Disentangling Dispositions From Powers,2022
BURDS,Arthur W. Burks,Dispositional Statements,1955
BAUPAT-6,William A. Bauer,Powers and the Pantheistic Problem of Unity,2019
SANCAL,Howard Sankey,Causation and Laws of Nature,1999
LIVCTI-3,Vassilis Livanios,Challenging the Identity Theory of Properties,2021
CORHIS,Richard Corry,How is Scientific Analysis Possible?,2009
HANMOP,Tobias Hansson Wahlberg,"Meso-Level Objects, Powers, and Simultaneous Causation",2017
GOZTDN-2,Simone Gozzano,The Dispositional Nature of Phenomenal Properties,2018
