ID,Author,Title,Year
OCOTAU-3,Timothy O'Connor,Theism and Ultimate Explanation: The Necessary Shape of Contingency,2008
RUBGMS,Rubio Daniel,God Meets Satan?s Apple: The Paradox of Creation,2018
TIMFWI,Kevin Timpe,Free Will in Philosophical Theology,2013
MCCCAT-13,Hugh J. McCann,Creation and the Sovereignty of God,2012
GORTAS-3,Noah Gordon,Theism and Secular Modality,2023
ROWCGB,William L. Rowe,Can God Be Free?,2002
PEAUO,Kenneth L. Pearce and Alexander R. Pruss,Understanding Omnipotence,2012
SENDDF,Thomas D. Senor,Defending Divine Freedom,2013
KAITDO,Patrick Kain,The Development of Kant's Conception of Divine Freedom,2021
RUBSAA-3,Daniel Rubio,Still Another Anti-Molinist Argument,2024
SIMPFD,Simon Kittle,Possibilites for Divine Freedom,2016
RASOTV,Joshua Rasmussen,On the Value of Freedom to Do Evil,2013
JAMCTA-5,James Dominic Rooney,Classical Theists Are Committed to the Palamite Distinction Between God?s Essence and Energies,2023
MORIGS,Wesley Morriston,Is God ?Significantly Free??,1985
BERDRW,Michael Bergmann and J. A. Cover,Divine Responsibility Without Divine Freedom,2006
AYATII,Andres Ayala,The Incarnation in Hegel?s Phenomenology of Spirit and Lectures on the Philosophy of Religion,2021
WIEAMU,Erik J. Wielenberg,A Morally Unsurpassable God Must Create the Best,2004
FLITPO-5,Thomas P. Flint,The Problem of Divine Freedom,1983
TALOTD,Thomas B. Talbott,On the Divine Nature and the Nature of Divine Freedom,1988
GARDFA,Laura L. Garcia,Divine Freedom and Creation,1992
BYETAP,T. Ryan Byerly,"The All-Powerful, Perfectly Good, and Free God",2017
FRADFA,W. Paul Franks,Divine Freedom and Free Will Defenses,2015
Castrillejo2023-TORLPS-2,David Torrijos{-}Castrillejo,La Providencia Seg\'{u}n Nemesio de Emesa,2023
MANCGD,R. Zachary Manis,Could God Do Something Evil? A Molinist Solution to the Problem of Divine Freedom,2011
PEAWNW,Kenneth L. Pearce,Why Not? God,2024
YAZCAC,Seyma Yazici,Can Al-Ghazali's Conception of Modality Propose a Solution to Rowe's Argument Against Divine Freedom?,2021
THOCDF-3,Emily Thomas,"Creation, Divine Freedom, and Catharine Cockburn: An Intellectualist on Possible Worlds and Contingent Laws",2017
TIMAAA,Kevin Timpe,An Analogical Approach to Divine Freedom,2012
Castrillejo2017-TORAOA,David Torrijos{-}Castrillejo,"Alexander of Aphrodisias on Fate, Providence and Nature",2017
HUNOA-2,David P. Hunt,Omniprescient Agency,1992
MAWFHA,Tim Mawson,"Freedom, Human and Divine",2005
KAUIGL,Dan Kaufman,Infimus Gradus Libertatis? Descartes on Indifference and Divine Freedom,2003
MOROAT-6,Wes Morriston,Omnipotence and the Power to Choose,2002
Snyder2008-HOWTPO-4,Daniel Howard{-}Snyder,The Puzzle of Prayers of Thanksgiving and Praise,2008
COHCOD-2,Yishai Cohen,Counterfactuals of Divine Freedom,2016
DURAHO-4,Jude Arnout Durieux,Thirty and Some Compossibles,manuscript
ROGOEA,Katherin A. Rogers,"Omniscience, Eternity, and Freedom",1996
FALDFA,Evan Fales,Divine Freedom and the Choice of a World,1994
WILMAT-33,Luke Wilson,Murphy's Anselmian Theism and the Problem of Evil,forthcoming
KITASF,Simon Kittle,Against Synchronic Free Will,2021
SAMACO-8,Hope Sample,Anne Conway on Divine and Creaturely Freedom,2023
EDWPGA,Edward Wierenga,Perfect Goodness and Divine Freedom,2007
MORDAH-5,Thomas V. Morris,Divine and Human Action: Essays in the Metaphysics of Theism,1988
PITWAT-2,John Pittard,Worship and the Problem of Divine Achievement,2021
Castrillejo2018-TORLND,David Torrijos{-}Castrillejo,La Noci\'{o}n de Providencia Seg\'{u}n San Justino,2018
BERWCS,Michael D. Bertrand and Jack Mulder,Why Christians Should Not Be Kaneans About Freedom,2017
JAMFEI-2,James Dominic Rooney,"Freedom, Even If God Decrees It",2022
WILPFA-6,Luke Wilson,Perfect Freedom and God's Hard Choices,2022
LEFADS,Brian Leftow,"Aquinas, Divine Simplicity and Divine Freedom",2009
DIRWTP-2,Samuel Director,Why the Perfect Being Theologian Cannot Endorse the Principle of Alternative Possibilities,2017
JAMTMO-24,James Dominic Rooney,"The Metaphysics of Creation: Secondary Causality, Modern Science",2022
DAVEAA-9,Richard Brian Davis,Evil and Agent-Causal Theism,2019
GULDFA,Theodore Guleserian,Divine Freedom and the Problem of Evil,2000
QUIDFA,Philip L. Quinn,Divine Foreknowledge and Divine Freedom,1978
SPEPTW,Jeff Speaks,Permissible Tinkering with the Concept of God,2017
MIGEIC,Damiano Migliorini,Eternal Immolation: Could a Trinitarian Coordinating-Concept for Theistic Metaphysics Solve the Problems of Theodicy?,2017
LVIGNA,Ide L\'{e}vi and Alejandro P\'{e}rez,God's Nature and Attributes,2019
PEPPB,Marek Pepli\'{n}ski,Prostota (Boga - Simplicity of God),2016
DURFIA,Jude Arnout Durieux,Freedom in a Physical World ? a Partial Taxonomy,manuscript
MOOBFW,Justin Mooney,Best Feasible Worlds: Divine Freedom and Leibniz?s Lapse,2015
FLIGCD,Dylan Flint,God Can Do Otherwise: A Defense of Act Contingency in Leibniz's Mature Period,2022
ROWDF,William Rowe,Divine Freedom,2008
Castrillejo2018-TORTDV-2,David Torrijos{-}Castrillejo,"Tom\'{a}s de V\'{i}o, Cayetano. Sobre la Providencia y El Hado",2018
PEAGPW,Kenneth L. Pearce,God's Perfect Will: Remarks on Johnston and O'connor,2022
OCASFS,Sim\'{o}n Tadeo Ocampo,Strategies for Stage Ii of Cosmological Arguments,manuscript
ZOLDBF,Coleen P. Zoller,Determined but Free,2004
MCCDNA,Hugh J. McCann,Divine Nature and Divine Will,2013
KITTDN,Simon Kittle and Georg Gasser,The Divine Nature: Personal and a-Personal Perspectives,2021
KITTIO-7,Simon Kittle,"The Incompatibility of Universal, Determinate Divine Action with Human Free Will",2022
KITAIT,Simon Kittle and Georg Gasser,An Introduction to Thinking About Personal and a-Personal Aspects of the Divine,2021
KELAAT-14,B. Kyle Keltz,Aquinas and the Problem of No Best World,2017
BUCDFA,Andrei A. Buckareff,Divine Freedom and Creaturely Suffering in Process Theology: A Critical Appraisal,2000
OCOTAT,Timothy O'Connor,Theism and the Scope of Contingency,2008
KERMRI-2,Stephen Kershnar,Moral Responsibility in a Maximally Great Being,2004
YENSC-2,Timothy Yenter,Samuel Clarke,2021
MARFRA,James L. Marsh,"Freedom, Receptivity, and God",1975
HTTRFR,"Reinhard H\""{u}tter",(Re-)Forming Freedom: Reflections ?After Veritatis Splendor? on Freedom's Fate in Modernity and Protestantism's Antinomian Captivity,2001
OXEADO-2,Richard Oxenberg,A Dialogue on the Existence and Nature of God with Chatgpt (Part Ii),manuscript
STEHOD-9,Carlos Steel,Human or Divine Freedom : Proclus on What is Up to Us,2014
DISTAG,Jo?rg Disse,"Teilhabe Und Gottes Freiheit : Zum Freiheitsverst\""{a}ndnis in Hans Urs von Balthasars Theodramatik",2009
DENHAD,Nico den Bok,Human and Divine Freedom in Bernardus of Clairvaux,1993
LECLDD-8,Jean{-}Baptiste Lecuit,Le D\'{e}sir de Dieu Pour L?Homme. Une R\'{e}ponse au Probl\`{e}me de L?Indiff\'{e}rence,2017
HALEP-57,R. L. Hall,Editorial Preface,2020
YANGFA,Keith E. Yandell,"God, Freedom, and Creation in Cross-Cultural Perspective",1999
KRENTA-2,Philipp Kremers,Natural Theology and Divine Freedom,2024
TORFDD-2,David Torrijos Castrillejo,?Fue Diego de Deza Un Premolinista?,2022
RUNRKZ,Maximilian Runge,"Radikale Kreat\""{u}rlichkeit. Zur Sph\""{a}re der Erinnernden K\""{o}rperlichkeit in Paul Celans Fadensonnen-Gedichten",manuscript
HUNTPF,David P. Hunt,"Thomas P. Flint, Divine Providence: The Molinist Account",1998
LEIDOT-3,Gabriel Leiva Rubio,Despair or the Loss of Selfhood in Kierkegaard?s Sickness Unto Death,2020
MAUFTP,Tommaso Mauri,"Francesco Tomatis , Il Dio Vivente. Libert\`a, Male, Trinit\`a in Schelling e Pareyson, Morcelliana, Brescia 2022 (?Filosofia?) (1st edition)",2023
TORPDL-8,David Torrijos Castrillejo,Pedro de Ledesma y Los Or\'{i}genes de la Controversia de Auxiliis,2024
AYDOFA,Ciano Aydin,On Freedom and Responsibility: Discovering the Human as a Transcendent Being,2013
LEGDOD,Hajj Muhammad Legenhausen,Dimensions of Divine Freedom,2021
BOETAO-6,Chris Boesel,The Apophasis of Divine Freedom: Saving ??the Name?? and the Neighbor From Human Mastery,2022
TUCROJ,Chris Tucker,"Review Of: Daeley, Justin J. Why God Must Do What is Best: A Philosophical Investigation of Theistic Optimism",2022
HUNROF,David P. Hunt,Review of \emph{Free Will and Theism},2017
ROWRTD,William L. Rowe,Response To: Divine Responsibility Without Divine Freedom,2010
PENHJM,Garrett Pendergraft,"Hugh J. Mccann (Ed.), \emph{Free Will and Classical Theism: The Significance of Freedom in Perfect Being Theology}",2017
PERBRC-2,Derk Pereboom,Book Review. Can God Be Free? William Rowe.,2009
WELWMG-2,Greg Welty,"W. Matthews Grant, Free Will and God?s Universal Causality",2020
DISRWL,"J\""{o}rg Disse","Rowe, William L.: Can God Be Free? Oxford: Clarendon Press 2004. 173 S., Isbn 0-19-825045-2",2005
NOOWOO,Timothy B. Noone,William of Ockham and the Divine Freedom,1994
PENHJM-2,Garrett Pendergraft,"Hugh J. Mccann, \emph{Creation and the Sovereignty of God}",2013
OCOROW,Timothy O'Connor,"Review of William Rowe, \emph{Can God Be Free?}",2005
PROSGF,Jan Levin Propach,"Sein, Gott, Freiheit. Eine Studie Zur Kompatibilismus-Kontroverse in Klassischer Und Analytischer Religionsphilosophie",2018
