ID,Author,Title,Year
MACEAO,J. L. Mackie,Evil and Omnipotence,1955
COTTAD,A. J. Cotnoir,Theism and Dialetheism,2018
GORTAS-3,Noah Gordon,Theism and Secular Modality,2023
BEAGOT,Jc Beall and A. J. Cotnoir,God of the Gaps: A Neglected Reply to God?s Stone Problem,2017
HAROAO-4,Charles Hartshorne,Omnipotence and Other Theological Mistakes,1984
MCBST,Justin P. McBrayer,Skeptical Theism,2010
GEAO,Peter Geach,Omnipotence,1973
SPETGP,Jeffrey Speaks,The Greatest Possible Being,2018
MAVSPC,George I. Mavrodes,Some Puzzles Concerning Omnipotence,1963
FRICAD-5,Megan Fritts,Creation as Divine Absence: A Metaphysical Reframing of the Problem of Evil,forthcoming
HILGUO,Scott Hill,Giving Up Omnipotence,2014
PEAUO,Kenneth L. Pearce and Alexander R. Pruss,Understanding Omnipotence,2012
FLIMP-2,Thomas P. Flint and Alfred J. Freddoso,Maximal Power,1983
TORDBP,Domingo B\'{a}~{n}ez and David Torrijos{-}Castrillejo,Predestinaci\'{o}n y Libertad. Escritos En Torno a la Controversia de Auxiliis,2021
FORDTF,Peter Forrest,Developmental Theism: From Pure Will to Unbounded Love,2007
GORAMO-6,Liran Shia Gordon,A Metaphysics of Creation for the Information Age: A Dialogue with Duns Scotus,2022
WIEOA,Erik J. Wielenberg,Omnipotence Again,2000
FRATLO-3,Harry G. Frankfurt,The Logic of Omnipotence,1964
DAVGAO,Matthew Davidson,God and Other Necessary Beings,2019
PIKOAG,Nelson Pike,Omnipotence and God's Ability to Sin,1969
GORAIF,Liran Shia Gordon,"?All is Foreseen, and Freedom of Choice is Granted?: A Scotistic Examination of God's Freedom, Divine Foreknowledge and the Arbitrary Use of Power",2019
SAVTPO,C. Wade Savage,The Paradox of the Stone,1967
FLEDOA,Antony Flew,Divine Omnipotence and Human Freedom,1964
FALDIM-2,Evan Fales,Divine Intervention: Metaphysical and Epistemological Puzzles,2009
MIZNPA,Moti Mizrahi,New Puzzles About Divine Attributes,2013
FLEDOA-2,Antony G. N. Flew,Divine Omnipotence and Human Freedom,1954
BISTNR,John Bishop and Ken Perszyk,The Normatively Relativised Logical Argument From Evil,2011
ROCDON-2,Nathan Rockwood,Descartes on Necessity and the Laws of Nature,2022
PEAIPA,Kenneth L. Pearce,Infinite Power and Finite Powers,2019
SCHLWA-5,Boaz Faraday Schuman,Lewisian Worlds and Buridanian Possibilia,forthcoming
PEACDA,Kenneth L. Pearce,Counterpossible Dependence and the Efficacy of the Divine Will,2017
AQUOE,Thomas Aquinas,On Evil,2003
Snyder1996-HOWITE-3,Daniel Howard{-}Snyder,Introduction: The Evidential Argument From Evil,1996
LEFO,Brian Leftow,Omnipotence,2008
HOFO,Joshua Hoffman and Gary Rosenkrantz,Omnipotence,2008
ADAANP,Sarah Adams,A New Paradox of Omnipotence,2015
OPPO,Graham Oppy,Omnipotence,2005
OOMGPA,Palmyre Oomen,God?s Power and Almightiness in Whitehead?s Thought,2018
KAPAAO,Tomis Kapitan,Agency and Omniscience,1991
HOFO-3,Joshua Hoffman and Gary Rosenkrantz,Omnipotence,1997
HOFOR,Joshua Hoffman and Gary Rosenkrantz,Omnipotence Redux,1988
WIEOD,Edward Wierenga,Omnipotence Defined,1983
CROTIO,Richard R. La Croix,The Impossibility of Defining 'Omnipotence',1977
ROSWAO,Gary Rosenkrantz and Joshua Hoffman,What an Omnipotent Agent Can Do,1980
SWIO,Richard Swinburne,Omnipotence,1973
FUNDET-2,Amos Funkenstein,"Descartes, Eternal Truths, and the Divine Omnipotence",1975
KEECGM,Rondo Keele,Can God Make a Picasso? William Ockham and Walter Chatton on Divine Power and Real Relations,2007
CONMIR,Patrick J. Connolly,Metaphysics in Richard Bentley's Boyle Lectures,2017
BYETAP,T. Ryan Byerly,"The All-Powerful, Perfectly Good, and Free God",2017
HOFO-2,Joshua Hoffman and Gary Rosenkrantz,Omnipotence,1997
WINABO-3,Lisanne D. Winslow,A Biotheology of God?s Divine Action in the Present Global Ecological Precipice,2022
BAITCB,James Baillie and Jason Hagen,There Cannot Be Two Omnipotent Beings,2008
COWTPO-4,J. L. Cowan,The Paradox of Omnipotence,1965
SENGNN-2,Thomas D. Senor,On Privileging God's Moral Goodness,2006
Castrillejo2016-TORPIS,David Torrijos{-}Castrillejo,Providence in St. Albert the Great,2016
NELTRO-2,Paul A. Nelson,The Role of Theology in Current Evolutionary Reasoning,1996
PRUANF,Alexander R. Pruss,A New Free-Will Defence,2003
PEAWNW,Kenneth L. Pearce,Why Not? God,2024
BERMTT,Ond\v{r}ej Beran,Misunderstanding the Talk(s) of the Divine: Theodicy in the Wittgensteinian Tradition,2017
PETGAE-2,Michael L. Peterson,God and Evil: An Introduction to the Issues,1998
ALTOTA,Torin Alter,On Two Alleged Conflicts Between Divine Attributes,2002
