ID,Author,Title,Year
MAKEIC,"Uskali M\""{a}ki",Economics Imperialism: Concept and Constraints,2009
GINAFF,Herbert Gintis,A Framework for the Unification of the Behavioral Sciences,2007
MKISID,"Uskali M\""{a}ki","Scientific Imperialism: Difficulties in Definition, Identification, and Assessment",2013
AGMUJ,Shai Agmon,Undercutting Justice ? Why Legal Representation Should Not Be Allocated by the Market,2021
BOWAPA,Samuel Bowles and Herbert Gintis,A Political and Economic Case for the Democratic Enterprise,1993
MKIIGE,"Uskali M\""{a}ki and Caterina Marchionni",Is Geographical Economics Imperializing Economic Geography?,2011
MKIOTS,"Uskali M\""{a}ki and Caterina Marchionni",On the Structure of Explanatory Unification: The Case of Geographical Economics,2009
OSTTEO-5,Aleksander Ostapiuk,The Eclipse of Value-Free Economics. The Concept of Multiple Self Versus Homo Economicus,2020
MKINOE-2,"Uskali M\""{a}ki",Notes on Economics Imperialism and Norms of Scientific Inquiry,2021
LANNNA,Anthony Landreth and John Bickle,"Neuroeconomics, Neurophysiology and the Common Currency Hypothesis",2008
MKISOE,"Uskali M\""{a}ki",Symposium on Explanations and Social Ontology 2: Explanatory Ecumenism and Economics Imperialism,2002
HANRCA-3,D. Wade Hands,"Realism, Commonsensibles, and Economics:The Case of Contemporary Revealed Preference Theory",2012
BREEMG-2,Teresa Brennan,Exhausting Modernity: Grounds for a New Economy,2000
KUOEIA,Jaakko Kuorikoski and Aki Lehtinen,Economics Imperialism and Solution Concepts in Political Science,2010
KLOEII,Andrea Klonschinski,?Economic Imperialism? in Health Care Resource Allocation ? How Can Equity Considerations Be Incorporated Into Economic Evaluation?,2014
SILTAT-7,Paolo Silvestri,The All Too Human Welfare State: Freedom Between Gift and Corruption,2019
FUMANI,Roberto Fumagalli,Against Neuroscience Imperialism,2017
RIPCNT,Arthur Ripstein,Critical Notice Too Much Invested to Quit,2004
OSTVPI,Aleksander Ostapiuk,Value-Free Paradise is Lost. Economists Could Learn From Artists,2020
CREHE-2,Sergio Volodia Marcello Cremaschi,Homo Economicus,2006
JAMHOH,Christine James,Huntington or Halliburton? The Real Clash of Civilizations in American Life,2004
HODREP,Geoffrey M. Hodgson,Review Essay: Prospects for Economic Sociology,2008
MAEITS,Magdalena Ma\l{}ecka and Michiru Nagatsu,Introduction to Symposium,2019
BAUNEN-2,Antoinette Baujard and Judith Favereau and Charles Girard,Normes Et Normativit\'e En \'{E}conomie,2021
GUSTPO,Claes Gustafsson,The Production of Seriousness: The Metaphysics of Economic Reason,2011
MKIEAU,"Uskali M\""{a}ki and Caterina Marchionni",Economics as Usual: Geographical Economics Shaped by Disciplinary Constraints,2011
ELNQFT,Zeyad El Nabolsy,Questions From the Dar Es Salaam Debates,2023
ELNLIE,Zeyad El Nabolsy,Lenin in East Africa: Abdul Rahman Mohamed Babu and Dani Wadada Nabudere,2022
CARHNA-2,Peter Carruthers,"Human Nature and the Limits of Science, John Dupr\'e. Clarendon Press, 2001, 211 Pages",2002
HANTPO-19,D. Wade Hands,"The Philosophy of Natural Science Takes an Economic Turn: Review of Philip Kitcher's the Advancement of Science: Science Without Legend, Objectivity Without Illusions",1995
BRURAE-2,Luigino Bruni,"Reciprocity: An Economics of Social Relations , Serge C. Kolm. Cambridge University Press, 2008. Xi + 390 Pages",2010
ELNITW,Zeyad El Nabolsy,"Is the World of the Elites Really Flat? The View From Egypt: Critical Remarks on Sandra Halperin?s ""Re-Envisioning Global Development""",2020
ELNEAS,Zeyad El Nabolsy,"?Expertise? as Systematized Historical Amnesia: Springborg?s ""Egypt"" as a Case Study",2021
