ID,Author,Title,Year
POPTOS-9,Karl Raimund Popper,The Open Society and its Enemies,1945
ANOPGA,Jonny Anomaly,Public Goods and Government Action,2015
SEAVIE,Paul Seabright,Value in Ethics and Economics,1995
HAUEAM-2,Daniel Hausman and Michael McPherson and Debra Satz,"Economic Analysis, Moral Philosophy and Public Policy",2006
ULRIEE,Peter Ulrich,Integrative Economic Ethics: Foundations of a Civilized Market Economy,2008
DONISC,Thomas Donaldson,Integrative Social Contracts Theory,1995
KELPTP,J. Paul Kelleher,Pure Time Preference in Intertemporal Welfare Economics,2017
ELITEL,Elizabeth Anderson,The Ethical Limitations of the Market,1990
GILSAC-9,Pablo Gilabert,Self-Esteem and Competition,2023
JOHU,John Broome,"""Utility""",1991
WILMHA-6,Hayden Wilkinson,Market Harms and Market Benefits,2022
YEWWSW,Yew{-}Kwang Ng,What Should We Do About Future Generations?,1989
BUCEEA-4,Allen E. Buchanan,"Ethics, Efficiency, and the Market",1985
BROICE-4,Campbell Brown,Is Close Enough Good Enough?,2020
BRCGCI,"Ulrich Br\""{o}ckling and Susanne Krasmann and Thomas Lemke",Governmentality: Current Issues and Future Challenges,2011
SUGBSA,Robert Sugden,Beyond Sympathy and Empathy: Adam Smith's Concept of Fellow-Feeling,2002
PREGLJ-2,Joshua Preiss,Global Labor Justice and the Limits of Economic Analysis,2014
ERIMAA,Erik Carlson,Mere Addition and Two Trilemmas of Population Ethics,1998
PREGLJ,Joshua Preiss,Global Labor Justice and the Limits of Economic Analysis in Advance,2014
HAUPOE-5,Daniel M. Hausman,Philosophy of Economics: Past and Future,2021
CHACUA,Charles Blackorby and Walter Bossert and David Donaldson,Critical-Level Utilitarianism and the Population-Ethics Dilemma,1997
WHIKEA,Mark White,"Kantian Ethics and Economics: Autonomy, Dignity, and Character",2011
CLAAAD-3,Christine Clavien and Michel Chapuisat,"Altruism Across Disciplines: One Word, Multiple Meanings",2013
PETSOA,Philip Pettit,Symposium on Amartya Sen's Philosophy: 1 Capability and Freedom: A Defence of Sen,2001
GREAEP-2,Hilary Greaves and Harvey Lederman,Aggregating Extended Preferences,2017
DAVWAT-2,David Sobel,Well-Being as the Object of Moral Consideration,1998
VANWOP,Peter Vanderschraaf,War or Peace?: A Dynamical Analysis of Anarchy,2006
HUBTMJ-2,Donald C. Hubin,The Moral Justification of Benefit/Cost Analysis,1994
GRAAEA-2,Wolfgang Grassl and Barry Smith,Austrian Economics (Routledge Revivals): Historical and Philosophical Background,1986
