ID,Author,Title,Year
KITLLE,Eva Feder Kittay,"Love?s Labor: Essays on Women, Equality and Dependency",1999
LARTRB-2,Buchak Lara,Taking Risks Behind the Veil of Ignorance,2017
GILJAF,Pablo Gilabert,Justice and Feasibility: A Dynamic Approach,2017
SPAEAM,Robert Sparrow,Egalitarianism and Moral Bioenhancement,2014
STEAAB-4,H. Orri Stef\'{a}nsson,Ambiguity Aversion Behind the Veil of Ignorance,2021
VOODAY,Marc Fleurbaey and Alex Voorhoeve,Decide as You Would with Full Information! An Argument Against Ex Ante Pareto,2013
FLEEAT-4,Alex Voorhoeve and Marc Fleurbaey,Egalitarianism and the Separateness of Persons,2012
CASEML,Clinton Castro and David O?Brien and Ben Schwan,Egalitarian Machine Learning,2023
OTSEVP,Michael Otsuka and Alex Voorhoeve,Equality Versus Priority,2018
NEBPNE,Jacob M. Nebel,"Priority, Not Equality, for Possible People",2017
GHEHIF-4,Anca Gheaus,"Hikers in Flip-Flops: Luck Egalitarianism, Democratic Equality and the Distribuenda of Justice",2016
MASLTP,Andrew Mason,Levelling the Playing Field: The Idea of Equal Opportunity and its Place in Egalitarian Thought,2006
ALBAVT,Andreas Albertsen,A Vaccine Tax: Ensuring a More Equitable Global Vaccine Distribution,2022
GILFAS,Pablo Gilabert,Feasibility and Socialism,2010
Rangel2022-PEAPEP-3,David Pe\~{n}a{-}Rangel,"Political Equality, Plural Voting, and the Leveling Down Objection",2022
ROSFT-5,Julie L. Rose,Free Time,2016
MCCUWA-2,David McCarthy and Kalle Mikkola and Joaquin Teruji Thomas,Utilitarianism with and Without Expected Utility,2020
ONETRR,Martin O'Neill,Three Rawlsian Routes Towards Economic Democracy,2008
VOIREA-2,Kristin Voigt,Relational Equality and the Expressive Dimension of State Action,2018
CANCCI,Simon Caney,"Climate Change, Intergenerational Equity and the Social Discount Rate",2014
VOITHO-2,Kristin Voigt,The Harshness Objection: Is Luck Egalitarianism Too Harsh on the Victims of Option Luck?,2007
GILTSP,Pablo Gilabert,"The Socialist Principle ?From Each According to Their Abilities, to Each According to Their Needs?",2015
ARNTDP-5,Samuel Arnold,The Difference Principle at Work,2012
BUCRP-2,Lara Buchak,Relative Priority,2023
