ID,Author,Title,Year
SHAEPO-3,Lisa Shapiro,"Elisabeth, Princess of Bohemia",2021
SHATCB-6,Lisa Shapiro,The Correspondence Between Princess Elisabeth of Bohemia and Ren\'e Descartes,2007
DESTCB-2,Ren\'e Descartes,The Correspondence Between Princess Elisabeth of Bohemia and Ren\'e Descartes,2007
DESCAE-4,Ren\'e Descartes,Correspondance Avec Elisabeth Et Autres Lettres,2018
NYETPA,Andrea Nye,The Princess and the Philosopher: Letters of Elisabeth of the Palatine to Renz Descartes,1999
PAGEAD-5,Gianni Paganini,Elisabeth and Descartes Read Machiavelli in the Time of Hobbes,2021
SCHPEO-8,Tad M. Schmaltz,"Princess Elisabeth of Bohemia on the Cartesian Mind: Interaction, Happiness, Freedom",2019
MULHPA-3,Jil Muller,"Humors, Passions, and Consciousness in Descartes?s Physiology: The Reconsideration Through the Correspondence with Elisabeth",2023
TOLPEA,Deborah Tollefsen,Princess Elisabeth and the Problem of Mind-Body Interaction,1999
EBBEOB,Sabrina Ebbersmeyer and Sarah Hutton,Elisabeth of Bohemia (1618?1680): A Philosopher in Her Historical Context,2021
SCHEOB-3,"Ariane C\""{a}cilie Schneck",Elisabeth of Bohemia's Neo-Peripatetic Account of the Emotions,2019
Lauret2018-JANEOB,Frederique Janssen{-}Lauret,Elisabeth of Bohemia as a Naturalistic Dualist,2018
EBBEOB-2,Sabrina Ebbersmeyer,Elisabeth of Bohemia and the Sciences: The Case of Astronomy,2021
PERIOH,Dominik Perler,Is Our Happiness Up to Us? Elisabeth of Bohemia on the Limits of Internalism,2021
HUTPEA,Sarah Hutton,Princess Elisabeth and Anne Conway : The Interconnected Circles of Two Philosophical Women,2021
SHAPEA-6,Lisa Shapiro,Princess Elisabeth and the Challenges of Philosophizing,2021
EBBI-2,Sabrina Ebbersmeyer and Sarah Hutton,Introduction,2021
REUEOF,Martina Reuter,"Elisabeth on Free Will, Preordination, and Philosophical Doubt",2021
EBBAIO,Sabrina Ebbersmeyer,"An Inventory of the Extant Correspondence of Elisabeth of Bohemia, Princess Palatine",2020
COEDEE,Rafael Teruel Coelho,Descartes e Elisabeth,2020
PEIWDE-2,Katarina Peixoto,What Did Elisabeth Ask Descartes? A Reading Proposal of the First Letter of the Correspondence,forthcoming
SHAPEO-2,Lisa Shapiro,Princess Elisabeth of Bohemia as a Cartesian,2019
PEIOQE,Katarina Peixoto,O Que Elisabeth da Bohemia Perguntou a Descartes? Uma Proposta de Leitura da Carta Que Inaugura a Correspond\^{e}ncia,2021
STEEOB-3,Eric Stencil,Elisabeth of Bohemia on the Soul,2023
PEICAS,Katarina Peixoto,Context and Self-Related Reflection: : Elisabeth of Bohemia?s Way to Address the Moral Objectiveness ? Forthcoming/Last Draft,forthcoming
PEIEDB,Katarina Peixoto,Elisabeth da Bohemia - Verbete,2020
DASDAH,Gustavo Ruiz da Silva,Descartes and His Contesters: Between Elizabeth of Bohemia and Gottfried Leibniz Readings,2024
MCWPEA-2,Jen McWeeny,Princess Elisabeth and the Mind?Body Problem,2011-09-16
FRAFEH,Yara Frateschi,Filosofia e Humanidades: As Blindagens de Uma Historiografia Sexista,2022
ALATSE-3,Lilli Alanen,The Soul?s Extension: Elisabeth?s Solution to Descartes?s Mind?Body Problem,2021
MCWPEA,Jen McWeeny,Princess Elisabeth and the Mind-Body Problem,2011
JEFTOO-4,Ren\'{e}e Jeffery,The Origins of the Modern Emotions: Princess Elisabeth of Bohemia and the Embodied Mind,2017
DESCER-7,Ren\'e Descartes and Elisabeth da Bohemia and Eneias Forlin and Luiz Nitsche,Correspond\^{e}ncia Entre Ren\'e Descartes e Elisabeth da Bohemia,2022
LLOBL,Genevieve Lloyd,Busy Lives : Descartes and Elisabeth on Time Management and the Philosophical Life,2006
DESLSL-2,Ren\'e Descartes and Pierre Hector Elisabeth and Jacques Chanut and Christina and Chevalier,"Lettres Sur la Morale: Correspondence Avec la Princesse e?Lisabeth, Chanut Et la Reine Christine",1935
Malpertu2012-SIBULP,Yaelle Sibony{-}Malpertu,Une Liaison Philosophique: Du the?Rapeutique Entre Descartes Et la Princesse e?Lisabeth de Bohe?Me,2012
RICTPA-3,Richard A. Watson,The Princess and the Philosopher: Letters of Elisabeth of the Palatine to Rene Descartes (Review),2000
LOPANT,Peter Loptson,"Andrea Nye, the Princess and the Philosopher: Letters of Elisabeth of the Palatine to Ren\'e Descartes Reviewed By",2000
GUIIPD-3,Simone Guidi,Il Potere Delle Passioni. Descartes Antropologo Politico,2013
PETDEL-2,Le?on Petit,Descartes Et la Princesse Elisabeth,1969
ONETCB-2,Eileen O'Neill,The Correspondence Between Princess Elisabeth of Bohemia and Rene? Descartes,2009
