ID,Author,Title,Year
HUMEOC-2,Paul Humphreys,"Extending Ourselves: Computational Science, Empiricism, and Scientific Method",2004
VANTES-6,Bas C. Van Fraassen,The Empirical Stance,2002
BEATIO,George Bealer,The Incoherence of Empiricism,1992
CARRAS-3,Rudolf Carnap,Replies and Systematic Expositions,1963
BANREI,Erik C. Banks,"The Realistic Empiricism of Mach, James, and Russell: Neutral Monism Reconceived",2014
LEMKCC,Jens Lemanski,Kant?s Crucial Contribution to Euler Diagrams,2024
HUETIN,Michael Huemer,There is No Pure Empirical Reasoning,2017
SOBCE,Elliott Sober,Contrastive Empiricism,1956
SCHNSM,Eric Schliesser,"Newton?s Substance Monism, Distant Action, and the Nature of Newton?s Empiricism: Discussion of H. Kochiras ?Gravity and Newton?s Substance Counting Problem?",2011
LAUWWO,Larry Laudan,William Whewell on the Consilience of Inductions,1971
SCHPPO,Dirk Schlimm,Pasch?s Philosophy of Mathematics,2010
MAXPPP,Nicholas Maxwell,Popper's Paradoxical Pursuit of Natural Philosophy,2016
TEIATA-2,C\'{e}lia Teixeira,Abducting the a Priori,2023
KOCGAN-2,Hylarie Kochiras,Gravity and Newton?s Substance Counting Problem,2009
NEUTFO-5,Matthias Neuber,Two Forms of American Critical Realism: Perception and Reality in Santayana/Strong and Sellars,2020
CHITPO-3,Roderick M. Chisholm,The Problem of Empiricism,1948
BLAHST,James Blachowicz,How Science Textbooks Treat Scientific Method: A Philosopher's Perspective,2009
CARPON-4,Nancy Cartwright,Pr\'{e}cis of Nature?s Capacities and Their Measurement,1995
SCHTLO-32,Gregor Schiemann,The Loss of World in the Image. Origin and Development of the Concept of Image in the Thought of Hermann von Helmholtz and Heinrich Hertz,1998
KRIIMH,Uriah Kriegel,"Introverted Metaphysics: How We Get Our Grip on the Ultimate Nature of Objects, Properties, and Causation",2019
SUCTNO,W. A. Suchting,The Nature of Scientific Thought,1995
MEIBDE,Alexius Meinong,Uber Die Erfahrungsgrundlagen Unseres Wissens,1906
MAXAPC-2,N. Maxwell,A Priori Conjectural Knowledge in Physics,2011
LENAON,James G. Lennox,Aristotle on Norms of Inquiry,2011
MAXWWW-3,Nicholas Maxwell,What?s Wrong with Aim-Oriented Empiricism?,2015
BERGG,Selim Berker,Gupta?s Gambit,2011
SCHTRI-7,Karl Schafer,The Rationalism in Anil Gupta?s Empiricism and Experience,2011
MAXDWN,Nicholas Maxwell,?Do We Need a Scientific Revolution,2008
GILQOT,Russell Gillian,Quine on the Analytic/Synthetic Distinction,2013
MAXMCO,Nicholas Maxwell,Muller?s Critique of the Argument for Aim-Oriented Empiricism,2009
MACLRD-5,Diego E. Machuca and Ste?phane Marchand,Les Raisons du Doute: \'{E}tudes Sur le Scepticisme Antique,2019
MEGTAE,A. D. Megill,Theory and Experience in Adam Smith,1975
CAMTVO-3,Richmond Campbell,The Virtues of Feminist Empiricism,1994
GIGLTR,Guido Giglioni,Learning to Read Nature,2013
DOBCE,Mihnea Dobre and Tammy Nyden,Cartesian Empiricisms,2013
ALIETK,Zaman Ali,Evidence to Know and Have It All?,2022
KUTEAO,Douglas Kutach,Empirical Analyses of Causation,2010
RUSRHA-2,Paul Russell,Recasting Hume and Early Modern Philosophy: Selected Essays,2021
BERDOT-5,"Lars Bergstr\""{o}m",Davidsons's Objections to Quine's Empiricism,2001
TEXBEA-2,Mark Textor,Brentano's Empiricism and the Philosophy of Intentionality,2017
WESCRA-4,Kenneth R. Westphal,Causal Realism and the Limits of Empiricism: Some Unexpected Insights From Hegel,2015
WOLEHI,Charles T. Wolfe,Empiricist Heresies in Early Modern Medical Thought,2010
SCHNAN-6,Gregor Schiemann,Nanotechnology and Nature: On Two Criteria for Understanding Their Relationship,2005
SCHIJA,Gregor Schiemann,Inductive Justification and Discovery. On Hans Reichenbach?s Foundation of the Autonomy of the Philosophy of Science,2002
SHATPO-116,Jamie Shaw,"The Problem of the Empirical Basis in the Popperian Tradition: Popper, Bartley, and Feyerabend",2020
SMANMC,J. J. C. Smart,"Nicholas Maxwell, the Comprehensibility of the Universe: A New Conception of Science",2000
MARSDA-6,R. Niall D. Martin,Saving Duhem and Galileo: Duhemian Methodology and the Saving of the Phenomena,1987
SAKDUO,Spyros Sakellariadis,Descartes's Use of Empirical Data to Test Hypotheses,1982
SCHNKU,Gregor Schiemann,Natur: Kultur Und Ihr Anderes,2004
NIASDA,R. Niall and D. Martin,Saving Duhem and Galileo: Duhemian Methodology and the Saving of the Phenomena,1987
VONEAP,B. von Juhos,Empiricism and Physicalism,1935
MAXDTS,Nicholas Maxwell,Does the Scientific Community Misconstrue the Nature of Science? (1st edition),2021
HATCPO-2,Gary Hatfield,Cartesian Psychology of Antoine le Grand,2013
MAXAPC,Nicholas Maxwell,A Priori Conjectural Knowledge in Physics: The Comprehensibility of the Universe,2011
MIKIEE-2,Marcin Mi\l{}kowski,Is Empiricism Empirically False? Lessons From Early Nervous Systems,2017
SCHZKU-4,Gregor Schiemann,"Zwischen Klassischer Und Moderner Wissenschaftstheorie: Hermann von Helmholtz Und Karl R. Popper, Erkenntnistheoretisch Verglichen",1995
KRIYAD,Saul Kripke,Yet Another Dogma of Empiricism,2015
SCHBCA-3,Gregor Schiemann,"Between Classical and Modern Theory of Science. Hermann von Helmholtz Und Karl R. Popper, Compared Epistemologically.",1995
VICTMN,Marga Vicedo,"T.H. Morgan, Neither an Epistemological Empiricist nor a ?Methodological? Empiricist",1990
Chaim1998-BENTDW,Michael Ben{-}Chaim,The Disenchanted World and Beyond: Toward an Ecological Perspective on Science,1998
WOLMQR,Gereon Wolters,Mach,2000
SCHHVH-3,Gregor Schiemann,Hermann von Helmholtz? Kantkritik,2014
SCHMOA-6,Alfred Schramm,Methodological Objectivism and Critical Rationalist ?Induction?,2006
JOHTPA-17,Sean F. Johnston,The Postwar American Scientific Instrument Industry,2007
JOHIEA-3,"Lars{-}G\""{o}ran Johansson","Induction, Experimentation and Causation in the Social Sciences",2021
HOPKNA,Jim Hopkins,Kantian Neuroscience and Radical Interpretation,forthcoming
WARDAA-6,Lisa Warenski,Deficiency Arguments Against Empiricism and the Question of Empirical Indefeasibility,2016
VILOOY,Ignacio \'{A}vila,Oraciones Observacionales y Empirismo Ilustrado En la Filosof\'{i}a de Quine,2014
SCHVDW-2,Gregor Schiemann,Verlust der Welt Im Bild. Ursprung Und Entwicklung des Bildbegriffes Bei Hermann von Helmholtz Und Heinrich Hertz,2008
SCHAED,Gregor Schiemann,"Am Ende der Endg\""{u}ltigkeit. Friedrich Engels' Kritik des Geltungsanspruches der Naturwissenschaftlichen Erkenntnis.",1995
KUINAM,Don Kuiken and Don Schopflocher and T. Wild,Numerically Aided Methods in Phenomenology: A Demonstration,1989
SCHKWV,Gregor Schiemann,Kein Weg Vorbei an der Natur: Natur Als Gegenpart Und Voraussetzung der Nanotechnologie,2006
