ID,Author,Title,Year
KATEP-2,Eric Katz and Andrew Light,Environmental Pragmatism,1996
KAAATO,Roope Oskari Kaaronen,A Theory of Predictive Dissonance: Predictive Processing Presents a New Take on Cognitive Dissonance,2018
THOTAR-4,Paul B. Thompson and Thomas C. Hilde,The Agrarian Roots of Pragmatism,2000
RYDPAP,Henrik Rydenfelt,Promises and Pitfalls of Environmental Pragmatism,2024
PEADEP,Christopher H. Pearson,Does Environmental Pragmatism Shirk Philosophical Duty?,2014
SAMEPA-4,Lars Samuelsson,Environmental Pragmatism and Environmental Philosophy,2010
PARPAE,Kelly A. Parker,Pragmatism and Environmental Thought,1996
WESEEP-2,Anthony Weston,E Environmental Pragmatism,forthcoming
THOPAP-5,Paul B. Thompson,Pragmatism and Policy: The Case of Water,1996
SCHPEI-14,Kory P. Schaff and Tonatiuh Rodriguez{-}Nikl,Practical Ethics in Civil Engineering and Environmental Systems,2023
LIGEPA,Andrew Light,Environmental Pragmatism as Philosophy or Metaphilosophy? On the Weston-Katz Debate,1996
RAFCTS,Carolyn Raffensperger and Mora Campbell and Paul B. Thompson,Considering the Spirit of the Soil by Paul B. Thompson,1998
BRIDEA-2,Evelyn Brister,Distributing Epistemic Authority: Refining Norton?s Pragmatist Approach to Environmental Decision-Making,2012
EPAXDN,???,Environmental Pragmatism and Urban Environmental Ethics : Focusing on the Arguments of Andrew Light,2024
HUGEAT-5,James Hughes,Ecosocialism and the Technoprogressive Perspective,2021
POPCOB,Elena Popa,"Concepts of Biodiversity, Pluralism, and Pragmatism: The Case of Walnut Forest Conservation in Central Asia",2022
HALTMC,Benjamin Hale,The Moral Considerability of Invasive Transgenic Animals,2006
FESPEA,Steven Fesmire,Pragmatist Ethics and Climate Change [Preprint],2020
AIKCOD,Scott F. Aikin,"Commentary on Democratic ?Deliberation, Public Reason, and Environmental Politics?",2006
RYDEPA,Henrik Rydenfelt,Environmental Pragmatism and the Revision of Values,2022
MCBAIA-3,Lee A. Mcbride Iii,Agrarian Ideals and Practices: Comments on Paul B. Thompson?s the Agrarian Vision,2012
BUDWTS,Mark Bryant Budolfson,Why the Standard Interpretation of Aldo Leopold?s Land Ethic is Mistaken,2014
BAACOP,Patrik Baard,Change of Plans?,2015
BOOEPA,Kelvin J. Booth,Environmental Pragmatism and Bioregionalism,2012
SCOWOE,J. Scott,Wild Ontology Elaborating Environmental Pragmatism,2000
TRAALA,Zev Trachtenberg,"Andrew Light and Eric Katz, Eds., Environmental Pragmatism Reviewed By",1997
HELPPR,Lisa Heldke,Pragmatist Philosophical Reflections on Gmos,2015
SHAIVE,Dan C. Shahar,Integrity Versus Expediency for Non-Anthropocentrists,2014
KRYBFT,O. O. Kryshtal and Mikola Chasin and Valentin Cheshko,Bioethics: From Theory to Practice,2021
PHDREE,Tibor Solymosi PhD,"Refounding Environmental Ethics: Pragmatism, Principle, and Practice",2014
LEEEPR-2,Wendy Lynn Lee,Environmental Pragmatism Revisited,2008
WENEPC,Peter S. Wenz,Environmental Pragmatism,1997
JENEPA,Willis Jenkins,"Environmental Pragmatism, Adaptive Management, and Cultural Reform",2011
LEKATI,Todd Lekan,Appreciating the Impersonal in Emerson (That's What Friends Are For),2007
FESEP,Steven Fesmire,Environmental Pragmatism,2021
MCBROB,Lee A. Mcbride Iii,(Re)Imagining Our Bonds and Ties,manuscript
STENVC,Piers Stephens,Norton Versus Callicott on Interpreting Aldo Leopold: A Jamesian View,2018
MILEPA,Peter Miller,"Environmental Pragmatism Andrew Light and Eric Katz, Editors Environmental Philosophies, Vol. 5 New York: Routledge, 1996, Xv + 352 Pp., \$90.95, \$27.95 Paper",1998
CHACAE-5,Robert Chapman,Character and Environment,2008
CRIEP,Drew Cristie,Environmental Pragmatism,1997
TRAALA-3,Zev Trachtenberg,"Andrew Light and Eric Katz, Eds., Environmental Pragmatism",1997
MILEP-4,Peter Miller,Environmental Pragmatism,1998
CARROL-7,Norman S. Care,"Review of Light, Andrew, Katz, Eric, Eds., Environmental Pragmatism",1997
