ID,Author,Title,Year
NUSTTO-2,Martha Craven Nussbaum,The Therapy of Desire: Theory and Practice in Hellenistic Ethics,1994
LONTHP-5,A. A. Long and D. N. Sedley,"The Hellenistic Philosophers: Volume 1, Translations of the Principal Sources with Philosophical Commentary",1987
NAWTSA,Tamer Nawar,The Stoic Account of Apprehension,2014
LONEAS,Anthony Arthur Long,Epictetus: A Stoic and Socratic Guide to Life,2002
SELTAO-2,John Sellars,The Art of Living: The Stoics on the Nature and Function of Philosophy,2003
GOLHRR,Charles Goldhaber,Hume's Real Riches,2022
AIKEEA-2,Scott Aikin and William O. Stephens,Epictetus's Encheiridion: A New Translation and Guide to Stoic Ethics (1st edition),2023
JOHTRE-4,Brian Earl Johnson,The Role Ethics of Epictetus: Stoicism in Ordinary Life,2013
TREAIE,Michael Tremblay,Akrasia in Epictetus: A Comparison with Aristotle,2020
MERQHA,Melissa Merritt,"""Everyone has a Price at Which He Sells Himself"": Epictetus and Kant on Self-Respect",forthcoming
SHOSCA,Simon Shogry,Stoic Cosmopolitanism and Environmental Ethics,2020
Schils2005-REYTRS-2,Gretchen J. Reydams{-}Schils,"The Roman Stoics: Self, Responsibility, and Affection",2005
DIATPF,Kim Diaz and Edward Murguia,"The Philosophical Foundations of Cognitive Behavioral Therapy: Stoicism, Buddhism, Taoism, and Existentialism",2015
SOREOP,Richard Sorabji,Epictetus on Proairesis and Self,2007
TREDAM-2,Michael Tremblay,Digestion and Moral Progress in Epictetus,2019
DEHNPA,Vanessa de Harven,"Necessity, Possibility and Determinism in Stoic Thought",2016
STEEOH-8,William O. Stephens,Epictetus on How the Stoic Sage Loves,1996
OKETSO,Tim O'Keefe,The Stoics on Fate and Freedom,2016
SCATPO,Theodore Scaltsas and Andrew S. Mason,The Philosophy of Epictetus,2007
EPITDO,Epictetus,"The Discourses of Epictetus: The Handbook, Fragments",1968
KAHDWA,Charles H. Kahn,Discovering Will:From Aristotle to Augustine,1988
EPIE,Epictetus and George Long,Enchiridion,1913
DOBEDB,Robert F. Dobbin,"Epictetus: Discourses, Book 1",1998
SHAHIN,Matthew Sharpe,"How It's Not the Chrisippus You Read: On Cooper, Hadot, Epictetus, and Stoicism as a Way of Life",2014
BRACAI-2,Rodrigo Sebasti\'{a}n Braicovich,"Critical Assent, Intellectualism, and Repetition in Epictetus",2012
Delgado2023-ORTQPO,Francisco Miguel Ortiz{-}Delgado,"The Pleasure of Fear; the Scarecrow as an Extremely Immoral, Vicious and Pro-Passion Character According to Stoicism",2023
EPIASF,Epictetus,A Selection From the Discourses of Epictetus with the Encheiridion,2023
DOBIE,Robert Dobbin,\ensuremath{\Pi}\ensuremath{\rho}?\ensuremath{\alpha}?\ensuremath{\rho}\ensuremath{\epsilon}\ensuremath{\sigma}\ensuremath{\iota}\ensuremath{\varsigma} in Epictetus,1991
Monachou2007-DRAEOF,Myrto Dragona{-}Monachou,Epictetus on Freedom : Parallels Between Epictetus and Wittgenstein,2007
STESEE,William O. Stephens,\emph{Stoic Ethics: Epictetus and Happiness as Freedom},2007
STEBVA,William Stephens,Epictetus on Beastly Vices and Animal Virtues,2014
MAGNAU,Sara Magrin,Nature and Utopia in Epictetus? Theory of Oikei\={o}sis,2018
TRUSSH,Boomer Glenn Trujillo Jr,Stoicism Sucks: How Stoicism Undervalues Good Things and Exploits Vulnerable People,2024
SEDEHA,Keith Seddon,Epictetus' Handbook and the Tablet of Cebes: Guides to Stoic Living,2005
COOTRO-2,John M. Cooper,The Relevance of Moral Theory to Moral Improvement in Epictetus,2007
STATCI-2,G. R. Stanton,The Cosmopolitan Ideas of Epictetus and Marcus Aurelius,1968
KAMAIE,Rachana Kamtekar,Aidws in Epictetus,1998
FISEOT-3,Jeffrey Fisher,Epictetus on the Epistemology of the Art of Living,2015
EPITDO-3,George Epictetus and Long and Epictetus,The Discourses of Epictetus with the Enceiridion and Fragments,1890
ARNRS,Edward Vernon Arnold,Roman Stoicism,1911
STEEOF-2,W. O. Stephens,Epictetus on Fearing Death: Bugbear and Open Door Policy,2014
SCHEOC-3,Malcolm Schofield,Epictetus on Cynicism,2007
ALGEAS,Keimpe Algra,Epictetus and Stoic Theology,2007
BOTTEO-2,Gerard Boter,The Encheiridion of Epictetus and its Three Christian Adaptations: Transmission and Critical Editions,1999
MORTRP,Mark P. O. Morford,The Roman Philosophers: From the Time of Cato the Censor to the Death of Marcus Aurelius,2002
JOHSHA,Brian Earl Johnson,"Socrates, Heracles and the Deflation of Roles in Epictetus",2012
FREANO-2,Michael Frede,A Notion of a Person in Epictetus,2007
SELSPP-2,John Sellars,Stoic Practical Philosophy in the Imperial Period,2007
BRONRO-2,Thomas H. Brobjer,Nietzsche?s Reading of Epictetus,2003
HERTSO-14,Jackson Hershbell,The Stoicism of Epictetus: Twentieth Century Perspectives,1987
FIAST,Andrew Fiala,Stoic Tolerance,2003
STOEAM-3,Pavle Stojanovic,Epictetus and Moral Apprehensive Impressions in Stoicism,2014
SHELIG,Brendan Shea,"Let It Go? Elsa, Stoicism, and the ?Lazy Argument?",2022
STECAS,William O. Stephens,Can a Stoic Love?,2011
DALTEA-7,Diogo Da Luz,\'{E}tica e Atitude Filos\'{o}fica Em Epicteto,2019
BACTMO-10,Jussi Backman,The (Meta)Politics of Thinking: On Arendt and the Greeks,2021
SHOPDA-3,Simon Shogry,Psychological Disease and Action-Guiding Impressions in Early Stoicism,2021
BRAESY,Rodrigo Sebasti\'{a}n Braicovich,El Solipsismo y El Papel de la Divinidad En Las Reflexiones de Epicteto,2012
COSMOL,Christian Coseru,"More or Less Within My Power: Nature, Virtue, and the Modern Stoic",2018
SCHESC-3,Malcolm Schofield,"Epictetus: Socratic, Cynic, Stoic",2004
LONEAS-2,Peter Adamson,Epictetus: A Stoic and Socratic Guide to Life,2003
GRANEZ-2,Margaret Graver,"Not Even Zeus: A Discussion of A. A. Long, Epictetus: A Stoic and Socratic Guide to Life",2003
SHELCA-2,Brendan Shea,Leonard Cohen as a Guide to Life,2014
STESVJ,William O. Stephens,Real Men Are Stoics: An Interpretation of Tom Wolfe's a Man in Full,2000
BRAEN-2,Rodrigo Sebasti\'{a}n Braicovich,"Epicteto Necesita de Zeus? Gratitud, Verg\""{u}enza y Responsabilidad Moral En Epicteto",2012
DYSTGW,Henry Dyson,The God Within: The Normative Self in Epictetus,2009
EPIATW,Elizabeth Epictetus and Carter,"All the Works of Epictetus: Which Are Now Extant; Consisting of His Discourses, Preserved by Arrian, in Four Books, the Enchiridion, and Fragments",2021
WILDAS-12,Jula Wildberger,Delimiting a Self by God in Epictetus,2013
Schils2016-REYBEJ,Gretchen Reydams{-}Schils,"Brian E. Johnson, the Role Ethics of Epictetus. Stoicism in Ordinary Life. Lanham: Lexington Books, 2014, Pp. Xv+216",2016
CONCDP,Jaimir Conte,"Col\'{o}quio de Pascal Com o Senhor de Saci: Sobre Epicteto e Montaigne, de Blaise Pascal",2005
ANNEOM,Julia Annas,Epictetus on Moral Perspectives,2007
CRIEAL-2,Paolo Crivelli,Epictetus and Logic,2007
AURTGS,Marcus Aurelius and Epictetus and Lucius Annaeus Seneca and Mark Tuitert and George Long and Hastings Crossley and Richard M. Gummere,The Golden Sayings,2023
AIKSIP-2,Scott F. Aikin,Stoicism?s Integration Problem and Epictetus? Metaphors,2013
XENEP,Iason Xenakis,Epictetus. Philosopher-Therapist,1969
GRANEZ,Margaret Graver,"Not Even Zeus: A Discussion of A. A. Long, Epictetus: A Stoic and Socratic Guide to Life",2003
INWSAR,Brad Inwood,Self-Assessment and Rational Reflexivity in Epictetus,2022
