ID,Author,Title,Year
JACEQ,Frank Jackson,Epiphenomenal Qualia,1982
WEGAMC,Daniel M. Wegner and T. Wheatley,Apparent Mental Causation: Sources of the Experience of Will,1999
MRCTEA,Hedda Hassel M\o{}rch,The Evolutionary Argument for Phenomenal Powers,2017
NAHIFW,Eddy Nahmias,Is Free Will an Illusion? Confronting Challenges From the Modern Mind Sciences,2014
GEBCEA,Alexander Gebharter,Causal Exclusion and Causal Bayes Nets,2017
VAAMCF,Bram Vaassen,Mental Causation for Standard Dualists,2024
EVAAI,Reuben Stern and Benjamin Eva,Anti-Reductionist Interventionism,2023
SHAET,Lawrence A. Shapiro and Elliott Sober,Epiphenomenalism - the Do's and the Don 'Ts',2006
HEIMC-6,John Heil and Alfred R. Mele,Mental Causation,1993
RICNOT-6,Mattia Riccardi,Nietzsche on the Superficiality of Consciousness,2018
BAYER,Umut Baysan,Rejecting Epiphobia,2021
HUXOTH,T. Huxley,"On the Hypothesis That Animals Are Automata, and its History",1874
SINQST,Neil Sinhababu,Qualia Share Their Correlates? Locations (1st edition),2023
SIEHCE-3,Susanna Siegel,How Can Perceptual Experiences Explain Uncertainty?,2020
VAADAE-2,Bram Vaassen,Dualism and Exclusion,2021
BAYCEA,Umut Baysan,Causal Emergence and Epiphenomenal Emergence,2020
BAUIAE,Michael Baumgartner,Interventionism and Epiphenomenalsim,2010
MCLTET,Brian P. McLaughlin,"Type Epiphenomenalism, Type Dualism, and the Causal Priority of the Physical",1989
JAMAWA,William James,Are We Automata?,1879
MRCNTO,Hedda Hassel M\o{}rch,Non-Physicalist Theories of Consciousness,2023
POCDCC,Susan Pockett,Does Consciousness Cause Behaviour?,2004
NAGTKA-2,Yujin Nagasawa,The Knowledge Argument and Epiphenomenalism,2010
MACMCA,Cynthia MacDonald and Graham MacDonald,Mental Causes and Explanation of Action,1986
BAYEP,Umut Baysan,Epiphenomenal Properties,2018
CASEAA,Victor Caston,"Epiphenomenalisms, Ancient and Modern",1997
GERAPA-5,Brie Gertler,"Acquaintance, Parsimony, and Epiphenomenalism",2019
MCLIRC,Brian P. McLaughlin,Is Role-Functionalism Committed to Epiphenomenalism?,2006
KLEP-13,Stan Klein,The Unplanned Obsolescence of Psychological Science and an Argument for its Revival,2016
ROBELA,Denis Robinson,"Epiphenomenalism, Laws, and Properties",1993
ROBE,William Robinson,Epiphenomenalism,2003
WALCAA-13,Morgan Wallhagen,Consciousness and Action: Does Cognitive Science Support (Mild) Epiphenomenalism?,2007
ROBEIN,William S. Robinson,Experiencing is Not Observing: A Response to Dwayne Moore on Epiphenomenalism and Self-Stultification,2013
