ID,Author,Title,Year
ADATLO-4,Ernest Wilcox Adams,The Logic of Conditionals: An Application of Probability to Deductive Logic,1996
CRUTEC-2,Vincenzo Crupi and Andrea Iacona,The Evidential Conditional,2022
ADATLO-6,Ernest Adams,The Logic of Conditionals,1965
CRUTWO,Vincenzo Crupi and Andrea Iacona,Three Ways of Being Non-Material,2022
KRAC-3,Angelika Kratzer,Conditionals,1986
ROTDCA-2,Hans Rott,Difference-Making Conditionals and the Relevant Ramsey Test,2022
YALACT,Seth Yalcin,A Counterexample to Modus Tollens,2012
MANIPT-2,Matthew Mandelkern,"If P, Then P!",2021
LEVFTS-6,Isaac Levi,"For the Sake of the Argument: Ramsey Test Conditionals, Inductive Inference and Nonmonotonic Reasoning",1996
CRUCIE-2,Vincenzo Crupi and Andrea Iacona,Conditionals: Inferentialism Explicated,2024
YALPO,Seth Yalcin,Probability Operators,2010
CHAMPA-5,Nate Charlow,Modus Ponens and the Logic of Decision,2023
BACSTI,Andrew Bacon,Stalnaker?s Thesis in Context,2015
CHARM-3,David J. Chalmers and Alan H\'{a}jek,Ramsey + Moore = God,2007
GRDBRA,"Peter G\""{a}rdenfors",Belief Revisions and the Ramsey Test for Conditionals,1986
WEACAI,Brian Weatherson,Conditionals and Indexical Relativism,2009
IACSAC,Andrea Iacona,Strictness and Connexivity,2021
KHOOII,Justin Khoo,On Indicative and Subjunctive Conditionals,2015
GILECA,Anthony S. Gillies,Epistemic Conditionals and Conditional Epistemics,2004
CRUOTL,Vincenzo Crupi and Andrea Iacona,On the Logical Form of Concessive Conditionals,2022
BERWOI-2,Franz Berto,Williamson on Indicatives and Suppositional Heuristics,2022
STOCAC-7,Una Stojni\'c,Context and Coherence: The Logic and Grammar of Prominence,2021
STACPA-3,Robert Stalnaker,Conditional Propositions and Conditional Assertions,2011
LEVIOC,Isaac Levi,Iteration of Conditionals and the Ramsey Test,1988
DOUTES,Igor Douven,The Evidential Support Theory of Conditionals,2008
WEAIAS,Brian Weatherson,Indicative and Subjunctive Conditionals,2001
OVETPO-3,David E. Over and Jonathan St B. T. Evans,The Probability of Conditionals: The Psychological Evidence,2003
BRAADO-4,Richard Bradley,A Defence of the Ramsey Test,2007
MANAP-5,Matthew Mandelkern and Justin Khoo,Against Preservation,2019
BARZII,David Barnett,Zif is If,2006
KHOANO,Justin Khoo,A Note on Gibbard?s Proof,2013
Costa2001-ARLBEA,Horacio Arl\'o{-}Costa,Bayesian Epistemology and Epistemic Conditionals: On the Status of the Export-Import Laws,2001
HANIDO-3,Sven Ove Hansson,In Defense of the Ramsey Test,1992
EDGWI,Dorothy Edgington,What If ? Questions About Conditionals,2003
SCHAAE-3,Mark Schroeder,Attitudes and Epistemics,manuscript
WAREC,Ken Warmbr\={o}d,Epistemic Conditionals,1983
WILNSF,Malte Willer,New Surprises for the Ramsey Test,2010
PARCPA-2,Rohit Parikh,Conditional Probability and Defeasible Inference,2005
IACICA,Andrea Iacona,Indicative Conditionals as Strict Conditionals,2018
PUNICI-3,V\'{i}t Pun\v{c}och\'{a}vr and Christopher Gauker,Indicative Conditionals in Objective Contexts,2020
CANRMP,John Cantwell,Revisiting Mcgee?s Probabilistic Analysis of Conditionals,2022
