ID,Author,Title,Year
LITJAT-2,Clayton Littlejohn,Justification and the Truth-Connection,2012
PRIEL-4,Duncan Pritchard,Epistemic Luck,2005
HARIDO-13,Robert J. Hartman,In Defense of Moral Luck: Why Luck Often Affects Praiseworthiness and Blameworthiness,2017
PRIAVE,Duncan Pritchard,Anti-Luck Virtue Epistemology,2012
HANRWI-2,Michael Hannon,Recent Work in the Epistemology of Understanding,2021
PRIEL-7,Duncan Pritchard,Epistemic Luck,2004
PRIAE,Duncan Pritchard,Anti-Luck Epistemology,2007
MIRCTK,Lisa Miracchi,Competence to Know,2015
ROSRSE-4,Lewis Ross,Rehabilitating Statistical Evidence,2019
FARGFA,David Faraci,Groundwork for an Explanationist Account of Epistemic Coincidence,2019
CATRIA,Yuri Cath,Revisionary Intellectualism and Gettier,2015
CARKAE-10,J. Adam Carter and Duncan Pritchard,Knowledge-How and Epistemic Luck,2013
SLIUAK,Paulina Sliwa,Iv--Understanding and Knowing,2015
PRIR-13,Duncan Pritchard,Risk,2015
ZIMTLS,Michael Zimmerman,Taking Luck Seriously,2002
ROSRWO,Lewis D. Ross,Recent Work on the Proof Paradox,2020
CARRVE-3,J. Adam Carter,Robust Virtue Epistemology as Anti-Luck Epistemology: A New Solution,2016
CARKAC-3,J. Adam Carter and Duncan Pritchard,Knowledge-How and Cognitive Achievement,2015
Aarnio2021-LASDEA-2,Maria Lasonen{-}Aarnio,Dispositional Evaluations and Defeat,2021
PRITMA-2,Duncan Pritchard,The Modal Account of Luck,2014
Doane2019-CLAMS-4,Justin Clarke{-}Doane and Dan Baras,Modal Security,2019
LEVWAW-2,Neil Levy,"What, and Where, Luck Is: A Response to Jennifer Lackey",2009
ZHAADF,Bin Zhao,A Dilemma for Globalized Safety,2022
PRIAEA-2,Duncan Pritchard,Anti-Luck Epistemology and the Gettier Problem,2015
CHURHO,Ian M. Church and Robert J. Hartman,The Routledge Handbook of the Philosophy and Psychology of Luck,2019
PEENKT,Andrew Peet and Eli Pitcovski,Normal Knowledge: Toward an Explanation-Based Theory of Knowledge,2018
RESLTB,Nicholas Rescher,Luck: The Brilliant Randomness of Everyday Life,1995
RANLPP,Chris Ranalli,"Luck, Propositional Perception, and the Entailment Thesis",2014
LACWLI,Jennifer Lackey,What Luck is Not,2008
ZHASSA-2,Bin Zhao,"Sensitivity, Safety, and Epistemic Closure",2022
PRISSA,Duncan Pritchard,"Sensitivity, Safety, and Anti-Luck Epistemology",2008
WHIKJA,Daniel Whiting,"Knowledge, Justification, and (a Sort of) Safe Belief",2020
PATSAN-3,Niall J. Paterson,Safety and Necessity,2022
HILSAE,Avram Hiller and Ram Neta,Safety and Epistemic Luck,2007
