ID,Author,Title,Year
LITJAT-2,Clayton Littlejohn,Justification and the Truth-Connection,2012
MOSPK-2,Sarah Moss,Probabilistic Knowledge,2016
WOOENO,Carolina Flores and Elise Woodard,Epistemic Norms on Evidence-Gathering,2023
STITFO-17,Stephen P. Stich,The Fragmentation of Reason: Preface to a Pragmatic Theory of Cognitive Evaluation,1990
FRITEA-3,Jane Friedman,The Epistemic and the Zetetic,2020
BUCBCA,Lara Buchak,"Belief, Credence, and Norms",2014
WILJEA-2,Timothy Williamson,"Justifications, Excuses, and Sceptical Scenarios",forthcoming
LITKJA,Clayton Littlejohn and Julien Dutant,"Justification, Knowledge, and Normality",2020
Aarnio2020-LASEOE,Maria Lasonen{-}Aarnio,Enkrasia or Evidentialism? Learning to Love Mismatch,2020
GEROFE,Mikkel Gerken,On Folk Epistemology. How We Think and Talk About Knowledge,2017
GIBTNO,John Gibbons,The Norm of Belief,2013
Kyle2023-WILTKN-2,Christopher Willard{-}Kyle,The Knowledge Norm for Inquiry,2023
LITXRR-2,Clayton Littlejohn,The Russellian Retreat,2013
FRIIAB-2,Jane Friedman,Inquiry and Belief,2017
SYLAEN,Kurt L. Sylvan,An Epistemic Non-Consequentialism,2020
MAGTGO-4,Barry Maguire and Jack Woods,The Game of Belief,2020
WEDTAO,Ralph Wedgwood,The Aim of Belief,2002
BERETA-2,Selim Berker,Epistemic Teleology and the Separateness of Propositions,2013
THOIAT-13,David Thorstad,Inquiry and the Epistemic,2021
WOOTIN-3,Elise Woodard,The Ignorance Norm and Paradoxical Assertions,2022
FALSET,Arianna Falbo,Should Epistemology Take the Zetetic Turn?,2023
GOOTAB-5,Jeremy Goodman and Ben Holgu\'{i}n,Thinking and Being Sure,2022
KAUENA,Antti Kauppinen,Epistemic Norms and Epistemic Accountability,2018
WORCPB,Alex Worsnip,Can Pragmatists Be Moderate?,2021
HAWBIW,John Hawthorne and Daniel Rothschild and Levi Spectre,Belief is Weak,2016
HUGEDA,Nick Hughes,Epistemic Dilemmas: A Guide,forthcoming
MCGKF,Aidan McGlynn,Knowledge First?,2014
WORWII,Alex Worsnip,What is (in)Coherence?,2018
FALIMW,Arianna Falbo,Inquiring Minds Want to Improve,2023
GREUAM,Daniel Greco and Brian Hedden,Uniqueness and Metaepistemology,2016
PALIAT-2,Michele Palmira,Inquiry and the Doxastic Attitudes,2020
MARTAA-35,Neri Marsili,Truth and Assertion: Rules Vs Aims,2018
VELOTA,David Velleman,On the Aim of Belief,1996
FALIAC-3,Arianna Falbo,Inquiry and Confirmation,2021
WOOWD-3,Elise Woodard,Why Double-Check?,2022
STETWI-7,Florian Steinberger,Three Ways in Which Logic Might Be Normative,2019
LITWCW,Clayton Littlejohn,Who Cares What You Accurately Believe?,2015
MILSCA-5,Jared Millson,Seeking Confirmation: A Puzzle for Norms of Inquiry,2020
BERTRO-24,Selim Berker,The Rejection of Epistemic Consequentialism,2013
THOTAN-5,David Thorstad,There Are No Epistemic Norms of Inquiry,2022
Kyle2023-WILVID-2,Christopher Willard{-}Kyle,Valuable Ignorance: Delayed Epistemic Gratification,2023
KAUTEV,Antti Kauppinen,The Epistemic Vs. The Practical,2023
HUGEWG,Nick Hughes,Epistemology Without Guidance,2021
ARCWAW,Avery Archer,Wondering About What You Know,2018
SCHEBA-6,Sebastian Schmidt,Epistemic Blame and the Normativity of Evidence,2024
KIEAER,Benjamin Kiesewetter,Are Epistemic Reasons Normative?,2021
ICHYOT,Jonathan Jenkins Ichikawa,You Ought to Have Known: Positive Epistemic Norms in a Knowledge-First Framework,2022
TURTEK,John Turri,The Express Knowledge Account of Assertion,2011
CHITEO-3,Andrew Chignell,The Ethics of Belief,2016
GREAPA-4,Daniel Greco,A Puzzle About Epistemic Akrasia,2014
