ID,Author,Title,Year
DASO-2,Lorraine Daston and Peter Galison,Objectivity,2007
KUHOVJ,Thomas S. Kuhn,"Objectivity, Value Judgment, and Theory Choice",1981
Doane2020-CLAMAM-8,Justin Clarke{-}Doane,\emph{Morality and Mathematics},2020
MILITV-3,Boaz Miller,Is Technology Value-Neutral?,2021
KOSDAR-2,Inkeri Koskinen,Defending a Risk Account of Scientific Objectivity,2020
HEATIC,Heather Douglas,The Irreducible Complexity of Objectivity,2004
SANRAT-10,Howard Sankey,Realism and the Epistemic Objectivity of Science,2021
CULOIE,Sylvia Culp,Objectivity in Experimental Inquiry: Breaking Data-Technique Circles,1995
WILEIA-7,Torsten Wilholt,Epistemic Interests and the Objectivity of Inquiry,2022
CARVAO-3,Martin Carrier,"Values and Objectivity in Science: Value-Ladenness, Pluralism and the Epistemic Attitude",2013
HALTPO-93,Hans Halvorson,The Philosophy of Science in Either-Or,forthcoming
HEDADO,Brian Hedden,A Defense of Objectivism About Evidential Support,2015
STATEF-2,Kent W. Staley,The Evidence for the Top Quark: Objectivity and Bias in Collaborative Experimentation,2004
JOHOIS-2,Stephen John,Objectivity in Science,2021
BONNDA,Werner Bonefeld,Negative Dialectics and the Critique of Economic Objectivity,2016
PEAOSL,James Pearson,Objectivity Socialized,2022
SANEOA-8,Howard Sankey,Epistemic Objectivity and the Virtues,2020
WITOHT,Joeri Witteveen,"Objectivity, Historicity, Taxonomy",2018
GAUOAV,Stephen Gaukroger,Objectivity: A Very Short Introduction,2012
Doane2019-CLAOAE-2,Justin Clarke{-}Doane,Objectivity and Evaluation,2019
NEEGTK,Paul Needham,Getting to Know the World Scientifically: An Objective View,2020
VOTOIC,Ioannis Votsis,Objectivity in Confirmation: Post Hoc Monsters and Novel Predictions,2014
WORRSA,John Worrall,"Rationality, Sociology and the Symmetry Thesis",1990
SANTOO-10,Howard Sankey,The Objectivity of Science,2023
RASOSO,G. Rasch,On Specific Objectivity: An Attempt of Formalizing the Generality and Validity of Scientific Statements,1977
ROTWTR-2,Paul A. Roth,Will the Real Scientists Please Stand Up? Dead Ends and Live Issues in the Explanation of Scientific Knowledge,1996
SHAORA-2,Dudley Shapere,"Objectivity, Rationality, and Scientific Change",1984
HUNART-2,Shelby D. Hunt,A Realist Theory of Empirical Testing Resolving the Theory-Ladenness/ Objectivity Debate,1994
OLESOA,Finn Olesen,Scientific Objectivity and Postphenomenological Perception,2012
WHIDET-2,Paul White,Darwin's Emotions: The Scientific Self and the Sentiment of Objectivity,2009
MANSRV,Alireza Mansouri,Scientific Realism Vs. Evolutionary Epistemology: A Critical Rationalist Approach,2024
SANLOD-5,Howard Sankey,La Objetividad de la Ciencia,2022
AXTTDO,Guy Axtell,The Dialectics of Objectivity,2012
SIEMOS,Harvey Siegel,"Meiland on Scheffler, Kuhn, and Objectivity in Science",1976
AXTOPP,Guy Axtell,"Objectivity. Polity Press, 2015. Introduction and T. Of Contents",2015
KOSOIC,Inkeri Koskinen,Objectivity in Contexts: Withholding Epistemic Judgement as a Strategy for Mitigating Collective Bias,2020
WOLBRA,Michael P. Wolf,"Boundaries, Reasons, and Relativism",2012
AXTORC,Guy Axtell,Objectivity Rehabilitated [Chapter 5 of Objectivity],2015
GRESOA-4,Christopher Green,Scientific Objectivity and E. B. Titchener's Experimental Psychology,2010
KUSOAH-3,Martin Kusch,Objectivity and Historiography,2009
HALODI-2,Hans Halvorson,Objective Description in Physics,2022
SCHZKU-4,Gregor Schiemann,"Zwischen Klassischer Und Moderner Wissenschaftstheorie: Hermann von Helmholtz Und Karl R. Popper, Erkenntnistheoretisch Verglichen",1995
SCHNAD-5,Gregor Schiemann,"Natur Auf Dem R\""{u}ckzug. Zur Relevanz der Aristotelischen Unterscheidung von Natur Und Technik",1998
SCHBCA-3,Gregor Schiemann,"Between Classical and Modern Theory of Science. Hermann von Helmholtz Und Karl R. Popper, Compared Epistemologically.",1995
LONHSO,Helen Longino,"Hard, Soft, or Satisfying",1992
PELTPA,Dick Pels,The Proletarian as Stranger,1998
DANOTS,Dani Hallet,On the Subject of Goethe: Hermann von Helmholtz on Goethe and Scientific Objectivity,2009
SCHHRA-4,Gregor Schiemann,"Historische Reflexion Als Kritik Naturwissenschaftlicher Ontologie. Ernst Machs Kritik an der Mechanistischen Auffassung des Energieerhaltungssatzes Und Ihre Aktualit\""{a}t",1999
SCHAED,Gregor Schiemann,"Am Ende der Endg\""{u}ltigkeit. Friedrich Engels' Kritik des Geltungsanspruches der Naturwissenschaftlichen Erkenntnis.",1995
SCHIDE,Gregor Schiemann,Implikationen des Energieprinzips Bei Hermann von Helmholtz. Erkenntnistheoretische Und Naturphilosophische Voraussetzungen.,2011
SCHDBD-6,Gregor Schiemann,Die Bedrohung des Geistes. Zu Ernst Troeltschs Kritik des Naturalismus,1996
SCHPUN,Gregor Schiemann,"Physik Und Natur. Zu Hermann von Helmholtz' Begr\""{u}ndung des Energieprinzips in der Einleitung Zu Seiner Schrift ""\""{U}ber Die Erhaltung der Kraft""",1998
SCHOTU-3,Gregor Schiemann,"Ohne Telos Und Substanz. Grenzen des Naturwissenschaftlichen Kausalit\""{a}tsverst\""{a}ndnisses",1998
LEELOB,Byeong D. Lee,Levine on Brandom?s Account of Objectivity,2022
MATERI-3,Jonathan Matheson,Epistemic Relativism,2012
LEVADO-6,Margarita Rosa Levin,A Defense of Objectivity,1999
MEIKSA,Jack W. Meiland,"Kuhn, Scheffler, and Objectivity in Science",1974
POIACO,Maben Walter Poirier,A Comment on Polanyi and Kuhn,1989
LONAST,Helen E. Longino,Alan Sokal's ?Transgressing Boundaries,1997
CARSAE-3,Louis Caruana,"Science and Ethics: Tracing Parallels and Contrasts Between Science, Relativism and Utilitarianism",2006
CORCNT-6,Tabea Cornel,Contested Numbers: The Failed Negotiation of Objective Statistics in a Methodological Review of Kinsey Et Al.?S Sex Research,2021
HELTOA-3,Bennett W. Helm,"Truth, Objectivity, and Emotional Caring: Filling in the Gaps of Haugeland's Existentialist Ontology",2017
EAGISO,Evandro Agazzi,Is Scientific Objectivity Possible Without Measurements?,1978
NORAPO,Alfred Nordmann,Another Parting of the Ways: Intersubjectivity and the Objectivity of Science,2012
VVMOFO,Vladimir V. Mshv\'{e}ni\'{e}radz\'e,Objective Foundations of the Scientific Method,1968
WHYOAT,Jamie Whyte,Objectivity and Theory-Laden Observation,1995
CHUOAO-2,Paul Churchland,Observation and Objectivityharold I. Brown,1989
YARBNK,"Z\""{o}hre Y\""{u}cekaya and Alper Bilgehan Yard\i{}mc\i","Bilimsel Nesnellik, K\""{u}lt\""{u}r Ve Protokol \""{O}nermeleri Tart\i\c{s}mas\i: Carnap, Neurath Ve Popper",2021
CZUTPD,Jeanine Czubaroff,The Public Dimension of Scientific Controversies,1997
EDGAOA,Scott Edgar,"Anti-Psychologism, Objectivity, and the Marburg School Neo-Kantians",2009
