ID,Author,Title,Year
CHADCE,David J. Chalmers,Does Conceivability Entail Possibility,2002
CHATNO-4,David J. Chalmers,The Nature of Epistemic Space,2011
YALEM,Seth Yalcin,Epistemic Modals,2007
JAGTI,Mark Jago,The Impossible: An Essay on Hyperintensionality,2014
WILTNO-31,Alastair Wilson,The Nature of Contingency: Quantum Physics as Modal Realism,2020
EGAEMI-2,Andy Egan and John Hawthorne and Brian Weatherson,Epistemic Modals in Context,2005
GARTRA-9,Georgi Gardiner,The Reasonable and the Relevant: Legal Standards of Proof,2019
BEAMEA,George Bealer,Modal Epistemology and the Rationalist Renaissance,2002
EGAEMR,Andy Egan,"Epistemic Modals, Relativism and Assertion",2007
DOREEM,Cian Dorr and John Hawthorne,Embedding Epistemic Modals,2013
MACEMA,John MacFarlane,Epistemic Modals Are Assessment-Sensitive,2011
DEREP,Keith DeRose,Epistemic Possibilities,1991
GARRAR-14,Georgi Gardiner,Relevance and Risk: How the Relevant Alternatives Framework Models the Epistemology of Risk,2020
CLIACC,Nevin Climenhaga,A Cumulative Case Argument for Infallibilism,2021
MOOCAB-3,Andrew Moon and Elizabeth Jackson,Credence: A Belief-First Approach,2020
KEAECQ,Tim Kearl and Christopher Willard{-}Kyle,Epistemic Cans,forthcoming
BEDMK,Bob Beddor and Simon Goldstein,Mighty Knowledge,2021
EGAEM-3,Andy Egan and Brian Weatherson,Epistemic Modality,2011
HINIPW,Jaakko Hintikka,Impossible Possible Worlds Vindicated,1975
GLIIDI,Nada Gligorov,Is Death Irreversible?,2023
WHITRO-44,Daniel Whiting,The Range of Reasons: In Ethics and Epistemology,2021
ROSAHA-7,"Niccol\`o Rossi and Ayb\""{u}ke \""{O}zg\""{u}n",A Hyperintensional Approach to Positive Epistemic Possibility,2023
HACP,Ian Hacking,Possibility,1967
ZIMFCD,Thomas Ede Zimmermann,Free Choice Disjunction and Epistemic Possibility,2000
WHIKJA,Daniel Whiting,"Knowledge, Justification, and (a Sort of) Safe Belief",2020
MALTNO-14,Antonella Mallozzi,Two Notions of Metaphysical Modality,2018
DOUFEP,Trent Dougherty and Patrick Rysiew,"Fallibilism, Epistemic Possibility, and Concessive Knowledge Attributions",2008
GARBSA-5,Georgi Gardiner,Banal Skepticism and the Errors of Doubt: On Ephecticism About Rape Accusations,2021
JAGLIA,Mark Jago,Logical Information and Epistemic Space,2009
GARPAP-25,Georgi Gardiner,Profiling and Proof: Are Statistics Safe?,2020
BJEIWA,Jens Christian Bjerring,Impossible Worlds and Logical Omniscience: An Impossibility Result,2013
