ID,Author,Title,Year
MOSKAE-3,Paul K. Moser,Knowledge and Evidence,1989
KLEHKA-2,Peter D. Klein,Human Knowledge and the Infinite Regress of Reasons,1999
AIKEAT-2,Scott F. Aikin,Epistemology and the Regress Problem,2010
VALRAR-2,Markos Valaris,Reasoning and Regress,2014
WEIBIG-2,Jonathan Weisberg,Bootstrapping in General,2010
SIEIWR,Susanna Siegel,Inference Without Reckoning,2019
KLEHKA,Peter Klein,Human Knowledge and the Infinite Progress of Reasoning,2007
ROWPCR-3,Darrell P. Rowbottom,Popper?s Critical Rationalism: A Philosophical Investigation,2010
KLEHKA-3,Peter D. Klein,Human Knowledge and the Infinite Regress of Reasons,1999
VANFEP,James Van Cleve,"Foundationalism, Epistemic Principles, and the Cartesian Circle",1979
TUROTR,John Turri,On the Regress Argument for Infinitism,2009
ALCRKN,Linda Alcoff,Real Knowing: New Versions of the Coherence Theory,1996
BERCVG,Selim Berker,Coherentism Via Graphs,2015
LYOUE,Jack Lyons,Unconscious Evidence,2016
TEDRAE,Poston Ted,Reason and Explanation,2014
KLERTG,Peter D. Klein,Reply to Ginet,2013
CULOIE,Sylvia Culp,Objectivity in Experimental Inquiry: Breaking Data-Technique Circles,1995
DANWWW,Daniel Nolan,What?s Wrong with Infinite Regresses?,2001
LWEAUA-3,"David L\""{o}wenstein",A Uniform Account of Regress Problems,2017
ROSRWR,Luis Rosa,Reasoning Without Regress,2019
FLEMCA,Will Fleisher,Method Coherence and Epistemic Circularity,2019
STOVRC,Gregory Stoutenburg,"Vicious Regresses, Conceptual Analysis, and Strong Awareness Internalism",2015
ICHBKF,Jonathan Jenkins Ichikawa,Basic Knowledge First,2017
RAIHTE,Peter Railton,How to Engage Reason: The Problem of Regress,2004
POSIRO,John F. Post,Infinite Regresses of Justification and of Explanation,1980
WIEIRA,Jan Willem Wieland,Infinite Regress Arguments,2013
KLEWIR,Peter Klein,When Infinite Regresses Are Not Vicious,2003
KLEHTB,Peter Klein,How to Be an Infinitist About Doxastic Justification,2007
WIEIRA-2,Jan Willem Wieland,Infinite Regress Arguments,2013
WALACA-2,Douglas N. Walton,Are Circular Arguments Necessarily Vicious?,1985
AIKWIA-2,Scott F. Aikin,Who is Afraid of Epistemology?s Regress Problem?,2005
CLITER,Andrew D. Cling,The Epistemic Regress Problem,2008
STOTIA-8,Gregory Stoutenburg,Traditional Internalism and Foundational Justification,2020
HASTSO-18,Ali Hasan,The Structure of Justification (1st edition),forthcoming
MORPCA-5,Luca Moretti and Tommaso Piazza,Phenomenal Conservatism and Bergmann?s Dilemma,2015
CLITTW,Andrew D. Cling,The Trouble with Infinitism,2004
HASIFA,Ali Hasan,Internalist Foundationalism and the Sellarsian Dilemma,2013
TEIACS,David Teira,A Contractarian Solution to the Experimenter?s Regress,2013
BLAIRO-2,Oliver Black,Infinite Regresses of Justification,1988
MELMAT-7,Guido Melchior,Meta-Regresses and the Limits of Persuasive Argumentation,2024
GINIIN,Carl Ginet,Infinitism is Not the Answer to the Regress Problem,2013
PODIAE,Adam C. Podlaskowski and Joshua A. Smith,Infinitism and Epistemic Normativity,2011
Tillmann2015-BLOSTM,Michael Blome{-}Tillmann,Solving the Moorean Puzzle,2015
CLITER-2,Andrew D. Cling,"The Epistemic Regress Problem, the Problem of the Criterion, and the Value of Reasons",2014
SMICFS,Declan Smithies,Can Foundationalism Solve the Regress Problem?,2014
KVACTO,Jonathan Kvanvig,Coherentist Theories of Epistemic Justification,2008
KLEWIW-2,Peter D. Klein,What is Wrong with Foundationalism is That It Cannot Solve the Epistemic Regress Problem,2004
Snyder2006-HOWTAA,Daniel Howard{-}Snyder and E. J. Coffman,"Three Arguments Against Foundationalism: Arbitrariness, Epistemic Regress, and Existential Support",2006
KLECRT,Peter Klein,Contemporary Responses to Agrippa's Trilemma,2008
KLEHAP,Peter D. Klein,How a Pyrrhonian Skeptic Might Respond to Academic Skepticism,2003
KLEI-5,Peter D. Klein,Infinitism,2010
ROCART,William A. Roche,A Reply to Cling?s ?the Epistemic Regress Problem?,2012
KLEIIT,Peter D. Klein,Infinitism is the Solution to the Epistemic Regress Problem,2013
KLEWNI,Peter D. Klein,Why Not Infinitism?,2000
FOLIJA,Richard Foley,Inferential Justification and the Infinite Regress,1978
OAKSAT,I. T. Oakley,Scepticism and the Diversity of Epistemic Justification,1988
BERRE,Michael Bergmann,Reidian Externalism,2007
RADERA-2,Hans Radder,Experimental Reproducibility and the Experimenters' Regress,1992
POSBRA-2,Ted Poston,Basic Reasons and First Philosophy: A Coherentist View of Reasons,2012
PEIGAL,Jeanne Peijnenburg and David Atkinson,Grounds and Limits: Reichenbach and Foundationalist Epistemology,2011
BALAAA-7,Nathan Ballantyne,Acquaintance and Assurance,2012
LITLFL-2,Clayton Littlejohn,Learning From Learning From Our Mistakes,2016
MOSWIR,Paul K. Moser,Whither Infinite Regresses of Justification?,1985
PHICRA-2,Patrice Philie,Carroll?s Regress and the Epistemology of Logic,2007
SISGAT,Robert Weston Siscoe,Grounding and the Epistemic Regress Problem,2024
ROCFWI,William Roche,Foundationalism with Infinite Regresses of Probabilistic Support,2018
WIEFAT,Jan Willem Wieland,Filling a Typical Gap in a Regress Argument,2011
WIEASO,Jan Willem Wieland,And so On. Two Theories of Regress Arguments in Philosophy,2012
PODPRA,Adam C. Podlaskowski and Joshua A. Smith,Probabilistic Regresses and the Availability Problem for Infinitism,2014
WIESAW-2,Jan Willem Wieland,Strong and Weak Regress Arguments,2013
WILJBA-2,John N. Williams,Justified Belief and the Infinite Regress Argument,1981
Snyder2005-HOWFAA,Daniel Howard{-}Snyder,Foundationalism and Arbitrariness,2005
GRACDC,Claude Gratton,"Circular Definitions, Circular Explanations, and Infinite Regresses",1994
BERRBD,Michael Bergmann,Bonjour?s Dilemma,2006
STEBI-4,Matthias Steup,Benign Infinity,2019
SMIIAA-2,Joshua A. Smith and Adam C. Podlaskowski,Infinitism and Agents Like Us: Reply to Turri,2013
WIERAR,Jan Willem Wieland,Regress Argument Reconstruction,2012
STEUFA-5,Matthias Steup,Unrestricted Foundationalism and the Sellarsian Dilemma,2000
Snyder1998-HOWBBA,Daniel Howard{-}Snyder,Bonjour?s ?Basic Antifoundationalist Argument? and the Doctrine of the Given,1998
LEMECA,Noah Lemos,Epistemic Circularity Again,2004
WISLCI-5,William A. Wisdom,Lewis Carroll's Infinite Regress,1974
ROSRDD-2,Luis Rosa,Rational Doxastic Dispositions and the Epistemic Regress Problem,2016
MCGFPA-3,Lydia McGrew and Timothy McGrew,"Foundationalism, Probability, and Mutual Support",2008
ENGPTU,Mylan Engel,Positism: The Unexplored Solution to the Epistemic Regress Problem,2014
KLEEJA,Peter D. Klein,Epistemic Justification and the Limits of Pyrrhonism,2011
NERRAI,G. C. Nerlich,Regress Arguments in Plato,1960
KLEIAT-2,Peter D. Klein,Infinitism and the Epistemic Regress Problem,2011
AIKTPO-3,Scott F. Aikin,The Problem of the Criterion and Hegel's Model for Epistemic Infinitism,2010
MURIRO,Brendan Murday,Infinitism: Rival or Common Ground in Answering the Epistemic Regress?,2024
LITLFL-3,Clayton Littlejohn,Learning From Learning From Our Mistakes,2016
FUMFCR,Richard A. Fumerton,"Foundationalism, Conceptual Regress, and Reliabilism",1988
LITLFL,Clayton Littlejohn,Learning From Learning From Our Mistakes,2016
AVNOAI,Yuval Avnur,On an Irrelevant Regress,2015
NAWPST,Tamer Nawar,"Pyrrhonian Scepticism, the Infinite Regress of Reasons, and Ancient Infinitism",2023
KLETI,Peter D. Klein,There is No Good Reason to Be an Academic Skeptic,2003
HARCTB,Jay E. Harker,Can There Be an Infinite Regress of Justified Beliefs?,1984
NORRAT-2,Andrew Norman,Regress and the Doctrine of Epistemic Original Sin,1997
Forbes1968-DUFTRA,D. R. Duff{-}Forbes,The Regress Argument in the Republic,1968
WIEWCT,Jan Willem Wieland,What Carroll?s Tortoise Actually Proves,2013
ZALIFA,Jos\'e L. Zalabardo,Internalist Foundationalism and the Problem of the Epistemic Regress,2008
ENGAFO,Coos Engelsma,Arbitrary Foundations? On Klein?s Objection to Foundationalism,2015
WIETST,Jan Willem Wieland,The Sceptic's Tools: Circularity and Infinite Regress,2011
ZALBEA-2,Jos\'e L. Zalabardo,"Bonjour, Externalism and the Regress Problem",2006
ZHACIH,Bin Zhao,Can Infinitists Handle the Finite Mind Objection and the Distinction Objection?,2021
KALQPO,Yunus Kalkan,"""the Problem of Epistemic Regress"" in Contemporary Epistemology and the Adequacy of Improved Solution Suggestions",2020
SelvaForthcoming-NESBER,J. A. Nescolarde{-}Selva and J. L. Us\'o{-}Dom\'{e}nech and L. Segura{-}Abad and H. Gash,"Beliefs, Epistemic Regress and Doxastic Justification",forthcoming
CORFAT-4,Andrew Cortens,Foundationalism and the Regress Argument,2002
STETRO-9,Matthias Steup,The Regress of Metajustification,1989
MACVCY,Miguel Cabrera Machado,"Verdad, Creencias y Fundacionalismo Confiabilista",2020
SIMAIV,Rosalind S. Simson,An Internalist View of the Epistemic Regress Problem,1986
HETEEJ,Stephen Hetherington,Elusive Epistemological Justification,2010
ROCFFP,William Roche,Fading Foundations: Probability and the Regress Problem,2019
BROAO,Ben Bronner,Assertions Only?,2013
PERJJA,Timothy Perrine,"Justification, Justifying, and Leite?s Localism",2018
HASFTO,Ali Hasan and Richard Fumerton,Foundationlist Theories of Epistemic Justification,2016
KAJAQA,Timo Kajamies,"A Quintet, a Quartet, a Trio, a Duo? The Epistemic Regress Problem, Evidential Support, and Skepticism",2009
CARSOA-10,Eros Moreira De Carvalho and Flavio Williges,Sosa on Animal Knowledge and Emotions,2015
DURKIT-2,Jude Arnout Durieux,Knowing in the Teeth of the Diallelus - How Rightly Not to Be Sceptical,manuscript
CARISI-3,Eros Moreira De Carvalho,Internismo Sem Intelectualismo e Sem Reflexividade,2014
THOANC-2,Paul D. Thorn,A Note Concerning Infinite Regresses of Deferred Justification,2017
IWAMAO,Noriaki Iwasa,Moral Applicability of Agrippa?s Trilemma,2013
CARALP-3,Eros Moreira Carvalho,Alguma Luz Para o Fundacionismo?,2008
AUTJE,Jamie Carlin Watson,"Justification, Epistemic",2016
Snyder2012-HOWF-2,Daniel Howard{-}Snyder,Foundationalism,2012
Snyder2004-HOWLCA,Daniel Howard{-}Snyder,Lehrer's Case Against Foundationalism,2004
BLALVA,Oliver Black,Legal Validity and the Infinite Regress,1996
WOUIER,Ren\'e Woudenberg and Ronald Meester,Infinite Epistemic Regresses and Internalism,2014
POSSTR,John Post and Derek Turner,"Foundationalism, Transitivity and Confirmation",2000
