ID,Author,Title,Year
ADLBOE,Jonathan Eric Adler,Belief's Own Ethics,2002
KUHOVJ,Thomas S. Kuhn,"Objectivity, Value Judgment, and Theory Choice",1981
MCMVIS-2,Ernan McMullin,Values in Science,2012
HITPVA,Christopher Hitchcock and Elliott Sober,Prediction Versus Accommodation and the Risk of Overfitting,2004
KUMCAT,Erich Kummerfeld and Kevin J. S. Zollman,Conservatism and the Scientific State of Nature,2016
SILODJ,Paul Silva,On Doxastic Justification and Properly Basing One?s Beliefs,2015
ROTPBC,Hans Rott,Preferential Belief Change Using Generalized Epistemic Entrenchment,1992
SILHTB,Paul Silva,How to Be Conservative: A Partial Defense of Epistemic Conservatism,2013
NOLPAM,Daniel Nolan,Platitudes and Metaphysics,2008
HARRBC,William L. Harper,"Rational Belief Change, Popper Functions and Counterfactuals",1975
MCCTVO-10,Kevin McCain,The Virtues of Epistemic Conservatism,2008
MCCEAF-2,Kevin McCain,Explanationist Aid for Phenomenal Conservatism,2018
POSRAE,T. Poston,Reason and Explanation: A Defense of Explanatory Coherentism,2014
ROTCAC-2,Hans Rott,Coherence and Conservatism in the Dynamics of Belief Part I: Finding the Right Framework,1999
MCCAHO-3,Kevin McCain,Against Hanna on Phenomenal Conservatism,2012
KUHADW,T. S. Kuhn,A Discussion with Thomas S. Kuhn. In Idem,2000
ROTCAC-3,Hans Rott,Coherence and Conservatism in the Dynamics of Belief. Part Ii: Iterated Belief Change Without Dispositional Coherence,2003
SANLNA,Carlos Santana,Let?s Not Agree to Disagree: The Role of Strategic Disagreement in Science,2019
THOCSA-14,Lucas Thorpe,Common Sense and Comparative Linguistics,2021
HILADM,Scott Hill,Animals Deserve Moral Consideration,2020
RUERAD,Alexander Rueger,Risk and Diversification in Theory Choice,1996
KOSOIC,Inkeri Koskinen,Objectivity in Contexts: Withholding Epistemic Judgement as a Strategy for Mitigating Collective Bias,2020
PODDC,Abelard Podgorski,Dynamic Conservatism,2016
PETSDA,Cameron R. Peterson and Wesley M. Ducharme and Ward Edwards,Sampling Distributions and Probability Revisions,1968
DUCRBE,Wesley M. DuCharme,Response Bias Explanation of Conservative Human Inference,1970
POSITA-2,Ted Poston,Is There an 'I' in Epistemology?,2012
MCAFOC,Blake McAllister,From One Conservative to Another: A Critique of Epistemic Conservatism,2021
SAREID,Ameer Sarwar and Patrick Fraser,Explanations in Design Thinking: New Directions for an Obfuscated Field,2019
GOLSRO-3,Azam Golam,Some Reflections on Whewell's Scientific Methodology,2009
WETOCA,John Wettersten,On Conservative and Adventurous Styles of Scientific Research,1985
KISTCD,Andrew Kissel,The Cartesian Doxastic Argument for Free Will,2020
FREWSN,Danny Frederick,We Should Not Shield Ourselves From Abhorrent Beliefs,2020
WATPOS,Sagy Watemberg Izraeli,Paradox of Stubbornness: The Epistemology of Stereotypes Regarding Women,2023
CORMPC,S. Alan Corlew,Michael Polanyi's Concept of Tacit Knowledge and its Implications for Christianity,2002
GAYNGC-2,Hannah Gay,Noble Gas Compounds: A Case Study in Scientific Conservatism and Opportunism,1977
PORHVE,Jos\'e Eduardo Porcher,"Hans van Eyghen, the Epistemology of Spirit Beliefs (London: Routledge, 2023). Pp. 168. \pounds96.00 (Hbk). Isbn 9781032249988",forthcoming
