ID,Author,Title,Year
PIGMSO,Massimo Pigliucci and Jonathan Kaplan,Making Sense of Evolution: The Conceptual Foundations of Evolutionary Theory,2006
Tejeda2018-FBRTES,Alejandro F\'{a}bregas{-}Tejeda and Francisco Vergara{-}Silva,The Emerging Structure of the Extended Evolutionary Synthesis: Where Does Evo-Devo Fit In?,2018
STRTIP-5,Michael Strevens,Tychomancy: Inferring Probability From Causal Structure,2013
STEPPA-23,Jacob Stegenga,Population Pluralism and Natural Selection,2016
GRIWDE,Paul E. Griffiths and John S. Wilkins,Crossing the Milvian Bridge: When Do Evolutionary Explanations of Belief Debunk Belief?,2015
PENTRO-17,Charles H. Pence,The Rise of Chance in Evolutionary Theory: A Pompous Parade of Arithmetic,2021
BOUTMO-8,Maarten Boudry and Massimo Pigliucci,The Mismeasure of Machine: Synthetic Biology and the Trouble with Engineering Metaphors,2013
DICRCA-3,T. E. Dickins and R. A. Barton,Reciprocal Causation and the Proximate?Ultimate Distinction,2013
STEPPA-9,Jacob Stegenga,Population Pluralism and Natural Selection,2014
CALWHA,Brett Calcott,Why How and Why Aren?T Enough: More Problems with Mayr?s Proximate-Ultimate Distinction,2013
GONAEE-5,Nathalie Gontier,Applied Evolutionary Epistemology: A New Methodology to Enhance Interdisciplinary Research Between the Human and Natural Sciences,2012
GARUEC-2,Andy Gardner,Ultimate Explanations Concern the Adaptive Rationale for Organism Design,2013
MCCETA-4,Kevin McCain and Brad Weslake,Evolutionary Theory and the Epistemology of Science,2013
OKATSO-2,Samir Okasha,The Strategy of Endogenization in Evolutionary Biology,2018
OSTTOA-2,Agustin Ostachuk,"The Organism and its Umwelt: A Counterpoint Between the Theories of Uexk\""{u}ll, Goldstein and Canguilhem",2019
ZAMOAH-2,Fabio Zampieri,Origins and History of Darwinian Medicine,2009
STEPIN-5,Jacob Stegenga,?Population? is Not a Natural Kind of Kinds,2010
HELMDR-2,Casey Helgeson,Modus Darwin Reconsidered,2018
OSTATO,Agustin Ostachuk,A Theory of Evolution as a Process of Unfolding,2020
PENTEO-17,Charles H. Pence and Daniel G. Swaim,"The Economy of Nature: The Structure of Evolution in Linnaeus, Darwin, and the Modern Synthesis",2017
OLSHTS,Mark E. Olson and Alfonso Arroyo{-}Santos,How to Study Adaptation (and Why to Do It That Way),2015
ASMFFA,Stephen T. Asma,Following Form and Function: A Philosophical Archaeology of Life Science,1996
