ID,Author,Title,Year
MYETES,Joshua Myers,The Epistemic Status of the Imagination,2021
SMITPB,Declan Smithies,The Phenomenal Basis of Epistemic Justification,2014
CRAREA,Carl F. Craver,Remembering: Epistemic and Empirical,2020
GERSAR,Brie Gertler,Self-Knowledge and Rational Agency: A Defense of Empiricism,2018
NAGET-3,Jennifer Nagel,Epistemic Territory,2019
SMIIAC-2,Declan Smithies and Daniel Stoljar,Introspection and Consciousness,2012
MCCDTO,Kael McCormack,Desire-Based Theories of Reasons and the Guise of the Good,2023
SMORK,Joulia Smortchkova and Michael Murez,Representational Kinds,2020
SPAOWW-9,Shannon Spaulding,On Whether We Can See Intentions,2017
PFETNP,Niki Pfeifer,The New Psychology of Reasoning: A Mental Probability Logical Perspective,2013
MORTIO-40,Adam Morton,The Importance of Being Understood: Folk Psychology as Ethics,2002
Taylor2018-CAVOOA,Dan Cavedon{-}Taylor,"Odors, Objects and Olfaction",2018
KAMHCY-2,Fran\c{c}ois Kammerer,How Can You Be so Sure? Illusionism and the Obviousness of Phenomenal Consciousness,2022
KLERWA-2,Stan Klein,Remembering with and Without Memory: A Theory of Memory and Aspects of Mind That Enable its Experience,2018
WILEC,Wilson Robert A. and Foglia Lucia,Embodied Cognition,2011
DEVKMA-4,Willem A. deVries and Timm Triplett,"Knowledge, Mind, and the Given: Reading Wilfrid Sellars's ""Empiricism and the Philosophy of Mind,"" Including the Complete Text of Sellars's Essay",2000
MASSUC,Marcello Massimini and Giulio Tononi,Sizing Up Consciousness: Towards an Objective Measure of the Capacity for Experience,2018
BENRET-10,John Bengson and Marc A. Moffett,References (1st edition),2011
HOCCTM,Eric Hochstein,Categorizing the Mental,2016
NAGIRA,Jennifer Nagel,"Intuition, Reflection, and the Command of Knowledge",2014
CATKWI-2,Yuri Cath,"Knowing What It is Like and the Three ""Rs""",2024
MUNRTP-2,Daniel Munro,Remembering the Past and Imagining the Actual,2020
AGUMLA,Mariela Aguilera and Federico Castellano,"Maps, Language, and the Conceptual?Non-Conceptual Distinction",2021
SACRTD,Carl B. Sachs,Resisting the Disenchantment of Nature: Mcdowell and the Question of Animal Minds,2012
KLEADO-3,Stan Klein,A Defense of Experiential Realism: The Need to Take Phenomenological Reality on its Own Terms in the Study of the Mind,2015
ROSIIN-2,Luis Rosa,It is Never Rational for Anyone to Believe They Don't Know the Logical Truth,forthcoming
JEFUO,Anneli Jefferson and Lisa Bortolotti and Bojana Kuzmanovic,What is Unrealistic Optimism?,2017
HOCGUO,Eric Hochstein,Giving Up on Convergence and Autonomy: Why the Theories of Psychology and Neuroscience Are Codependent as Well as Irreconcilable,2015
HORAFF,Jeremy Horne,A Framework for Studying Consciousness,2022
ROCHTA,William Roche and Elliott Sober,Hypotheses That Attribute False Beliefs: A Two-Part Epistemology,2020
MERTQA,Giovanni Merlo,Three Questions About Immunity to Error Through Misidentification,2017
JAGCWS,Ren\'e Jagnow,Can We See Natural Kind Properties?,2015
BARFCL,Matthew J. Barker,From Cognition's Location to the Epistemology of its Nature,2010
MORPTA-11,Kevin Morris,Phenomenal Transparency and the Transparency of Subjecthood,2021
LIPAE-2,Han Li and Bradford Saad,Panpsychism and Ensemble Explanations,2022
DORTPO-13,Fabian Dorsch,The Phenomenology of Attitudes and the Salience of Rational Role and Determination,2016
VELARS,Max Velmans,A Reflexive Science of Consciousness,1993
SILIAI,Nicholas Silins,Introspection and Inference,2013
TOOBFW,Uku Tooming,Being Familiar with What One Wants,2020
STOTOT-11,Gregory Stoutenburg,Think of the Children! Epistemic Justification and Cognitively Unsophisticated Subjects,2017
BAIMAT-4,David Bain,Mcdowell and the Presentation of Pains,2009
