ID,Author,Title,Year
SAULMA-3,Jennifer Mather Saul,"Lying, Misleading, and What is Said: An Exploration in Philosophy of Language and in Ethics",2012
FESJDA,Steven Fesmire,John Dewey and Moral Imagination: Pragmatism in Ethics [Brief Sample],2003
ROSHIV-2,Benjamin Rossi,"Hypocrisy is Vicious, Value-Expressing Inconsistency",2020
NEFCCA,Julia Nefsky,Consumer Choice and Collective Impact,2018
CHAPIV,Ruth Chang,"Parity, Interval Value, and Choice",2005
CANLI-4,Laura Candiotto and Hanne De Jaegher,Love in-Between,2021
MAYDD,Simon C\u{a}bulea May,Directed Duties,2015
Barby2012-BLUSBH,J. S. Blumenthal{-}Barby,Seeking Better Health Care Outcomes: The Ethics of Using the ?Nudge?,2012
SLITPO-6,Paulina Sliwa,The Power of Excuses,2019
SERADA,Sergio Tenenbaum,"Action, Deontology, and Risk: Against the Multiplicative Model",2017
SHOPIA-5,David Shoemaker,Personal Identity and Ethics,2008
BRAES,Francis Herbert Bradley,Ethical Studies,1962
RIGPSA,Nick Riggle,Personal Style and Artistic Style,2015
LIZDDB,John P. Lizza,Defining Death: Beyond Biology,2018
THOQMS,Kyle Thompson,Qualitative Methods Show That Surveys Misrepresent ?Ought Implies Can? Judgments,2023
OLSDAJ,Serena Olsaretti,Desert and Justice,2003
JOHHAF-3,Jens Johansson and Olle Risberg,Harming and Failing to Benefit: A Reply to Purves,2020
POPFTE,David Poplar,Framing the Ethical Boundaries of Humor,2022
SHAPAC-9,Nathaniel Sharadin and Finnur Dells\'{e}n,Promotion as Contrastive Increase in Expected Fit,2019
ANDEMP,James Andow,Expecting Moral Philosophers to Be Reliable,2015
JOHBAB,Jens Johansson,Being and Betterness,2010
KIDAAA,Ian James Kidd,"Admiration, Attraction and the Aesthetics of Exemplarity",2019
LILTNA-2,Hallvard Lillehammer,The Nature and Ethics of Indifference,2017
ANDWDW-2,James Andow,Why Don't We Trust Moral Testimony?,2020
DOVCAC,Daniela Dover,Criticism as Conversation,2019
TILCR,John J. Tilley,Cultural Relativism,2000
FESD,Steven Fesmire,Dewey,2015
KIDSAT-5,Ian James Kidd and Havi Carel,Suffering and Transformative Experience,2019
RYAWUA,Shane Ryan,Wisdom: Understanding and the Good Life,2016
FORKOM,David Forman,Kant on Moral Freedom and Moral Slavery,2012
BENME-3,Erica Benner,Machiavelli's Ethics,2009
TENTPO-2,Sergio Tenenbaum,The Perils of Earnest Consequentializing,2014
HAZNE-2,Allan Hazlett,Non-Moral Evil,2012
RIOHAS,Catherine Rioux,Hope: A Solution to the Puzzle of Difficult Action,forthcoming
TOSMGA,Justin Tosi and Brandon Warmke,Moral Grandstanding as a Threat to Free Expression,2020
KELTAN,Joshua Kelsall,Towards a Non-Reliance Commitment Account of Trust,2024
KIDMAT,Ian James Kidd,Misanthropy and the Hatred of Humankind,2022
