ID,Author,Title,Year
SCHSPO-15,"Julian J. Schl\""{o}der and Daniel Altshuler",Super Pragmatics of (Linguistic-)Pictorial Discourse,2023
MOLETA,Friederike Moltmann,"Events, Tropes, and Truthmaking",2007
MOLDSA,Friederike Moltmann,Degree Structure as Trope Structure: A Trope-Based Analysis of Positive and Comparative Adjectives,2009
HIGSOE,James Higginbotham and Fabio Pianesi and Achille C. Varzi,Speaking of Events,2000
CARCR-7,Fabrizio Cariani and Paolo Santorio and Alexis Wellwood,Confidence Reports,forthcoming
MOLAOT-4,Friederike Moltmann,Attitudinal Objects: Their Ontology and Importance for Philosophy and Natural Language Semantics,2019
SILCAS-2,Alex Silk,Commitment and States of Mind with Mood and Modality,2018
SGAOON,Daniele Sgaravatti and Giuseppe Spolaore,Out of Nothing,2018
VAREAE,Fabio Pianesi and Achille C. Varzi,Events and Event Talk: An Introduction,2000
MOLOTD-3,Friederike Moltmann,"On the Distinction Between Abstract States, Concrete States, and Tropes",2013
BORELA,Andrea Borghini and Achille C. Varzi,Event Location and Vagueness,2006
MAIPLA-2,Emar Maier,Pictorial Language and Linguistics,manuscript
SMITBO-14,Barry Smith,The Benefits of Realism: A Realist Logic with Applications,2008
CARPGA-4,Fabrizio Cariani and Paolo Santorio and Alexis Wellwood,Positive Gradable Adjective Ascriptions Without Positive Morphemes,forthcoming
SMIPTW,Barry Smith,Putting the World Back Into Semantics,1993
BARAYC,Tom\'{a}s Barrero,Acci\'{o}n y Construcci\'{o}n L\'{o}gica,2013
CHACDI,Lucas Champollion,Covert Distributivity in Algebraic Event Semantics,2016
FOXISO,Danny Fox and Uli Sauerland,Illusive Scope of Universal Quantifiers,1997
MOLNAC,Friederike Moltmann,Nominal and Clausal Event Predicates,
SKIMCP,Daniel Skibra,"Modals, Contextual Parameters, and the Modal Uniformity Hypothesis",manuscript
MOLIRC,Friederike Moltmann,Intensional Relative Clauses and the Semantics of Variable Objects,2019
DELBCE-2,Fabio Del Prete and Giuseppina Todaro,Building Complex Events: The Case of Sicilian Doubly Inflected Construction,2020
Giannini2020-KIRTSO-8,Cameron Kirk{-}Giannini and Ernie Lepore,The Structure of Truth,2020
DUTHSI,Luiz Henrique de A. Dutra,How Serious is Our Ontological Commitment to Events as Individuals?,2005
PIATCO,Fabio Pianesi and Achille C. Varzi,The Context-Dependency of Temporal Reference in Event Semantics,1999
BARPYR-2,Tomas Barrero,Predicaci\'{o}n y Referencia,2021
BECPON,Jill Beckman,Proceedings of Nels 26,1997
PICPOL,Pierre Pica,Projeter-Alpha Ou la Langue Cach\'{e}e,1992
SMIASO,Carlota S. Smith,Activities: States or Events?,1999
