ID,Author,Title,Year
STETIA-9,Kim Sterelny,Thought in a Hostile World: The Evolution of Human Cognition,2003
BIRTAT-11,Jonathan Birch,Toolmaking and the Evolution of Normative Cognition,2021
PETWIT-6,Uwe Peters,What is the Function of Confirmation Bias?,2022
DONPOO,Merlin Donald,Pr\'{e}cis of Origins of the Modern Mind: Three Stages in the Evolution of Culture and Cognition,1993
MCCWRI,Robert N. McCauley,Why Religion is Natural and Science is Not,2011
LALNCB,Kevin N. Laland and John Odling{-}Smee and Marcus W. Feldman,"Niche Construction, Biological Evolution, and Cultural Change",2000
HENEMI,Joseph Henrich and Robert Boyd and Samuel Bowles and Colin Camerer and Ernst Fehr and Herbert Gintis and Richard McElreath and Michael Alvard and Abigail Barr and Jean Ensminger and Natalie Smith Henrich and Kim Hill and Francisco Gil{-}White and Michael Gurven and Frank W. Marlowe and John Q. Patton,?Economic Man? in Cross-Cultural Perspective: Behavioral Experiments in 15 Small-Scale Societies,2005
FITAMW,Simon Fitzpatrick,Animal Morality: What is the Debate About?,2017
MOOGCA,Richard Moore,Gricean Communication and Cognitive Development,2017
FITCNE,Simon Fitzpatrick,Chimpanzee Normativity: Evidence and Objections,2020
CALMUT,Werner Callebaut and Diego Rasskin{-}Gutman,Modularity: Understanding the Development and Evolution of Natural Complex Systems,2005
TOMTRO-8,Michael Tomasello and Ivan Gonzalez{-}Cabrera,The Role of Ontogeny in the Evolution of Human Cooperation,2017
METEPF,Thomas Metzinger,Empirical Perspectives From the Self-Model Theory of Subjectivity: A Brief Summary with Examples,2008
SPUTDO-2,David Spurrett,The Descent of Preferences,2021
DECNCA-3,Helen De Cruz,Numerical Cognition and Mathematical Realism,2016
TRETCE,Michael Trestman,The Cambrian Explosion and the Origins of Embodied Cognition,2013
SIMHTC-2,Matthew Sims,"How to Count Biological Minds: Symbiosis, the Free Energy Principle, and Reciprocal Multiscale Integration",2020
VANTSO,Neil Van Leeuwen,The Spandrels of Self-Deception: Prospects for a Biological Theory of a Mental Phenomenon,2007
KILHWI,Anton Killin and Ross Pain,How Weird is Cognitive Archaeology? Engaging with the Challenge of Cultural Variation and Sample Diversity,2023
BOYTMF,Alexandria Boyle,The Mnemonic Functions of Episodic Memory,2022
KILCAA,Anton Killin and Ross Pain,Cognitive Archaeology and the Minimum Necessary Competence Problem,2023
BUSLFM,Andrew Buskell,Looking for Middle Ground in Cultural Attraction Theory,2019
CURKIA,Cameron M. Curtin and H. Clark Barrett and Alexander Bolyanatz and Alyssa N. Crittenden and Daniel Fessler and Simon Fitzpatrick and Michael Gurven and Martin Kanovsky and Stephen Laurence and Anne Pisor and Brooke Scelza and Stephen Stich and Chris von Rueden and Joseph Henrich,Kinship Intensity and the Use of Mental States in Moral Judgment Across Societies,2020
KIVNTM,Julian Kiverstein and Mirko Farina,Embraining Culture: Leaky Minds and Spongy Brains,2011
MANCRS,Eric Mandelbaum and Isabel Won and Steven Gross and Chaz Firestone,Can Resources Save Rationality? ?Anti-Bayesian? Updating in Cognition and Perception,2020
BOYLFT-2,A. Boyle,Learning From the Past: Epistemic Generativity and the Function of Episodic Memory,2019
DECECB,Helen De Cruz and Johan De Smedt,Evolved Cognitive Biases and the Epistemic Status of Scientific Beliefs,2012
WYNAAC,Thomas Wynn,Archaeology and Cognitive Evolution,2002
NAKTEO,Hisashi Nakao and Edouard Machery,The Evolution of Punishment,2012
CHERPB-3,Azita Chellappoo,Rethinking Prestige Bias,2020
STEDAC-3,Kim Sterelny,Demography and Cultural Complexity,2020
MENCIH-2,Richard Menary,Cognitive Integration How Culture Transforms Us and Extends Our Cognitive Capabilities,2018
FIGICC,Carrie Figdor,Individuating Cognitive Characters: Lessons From Praying Mantises and Plants,2024
HELPIT,Helen De Cruz and Johan De Smedt,Paley's Ipod: The Cognitive Basis of the Design Argument Within Natural Theology,2010
BOYWAM,Pascal Boyer,What Are Memories For? Functions of Recall in Cognition and Culture,2009
MIKIBF,Irina Mikhalevich and Russell Powell and Corina Logan,Is Behavioural Flexibility Evidence of Cognitive Complexity? How Evolution Can Inform Comparative Cognition,2017
BRINFT,Maria Brincker and Elizabeth B. Torres,Noise From the Periphery in Autism,2013
DECTRO,Helen De Cruz and Johan De Smedt,The Role of Intuitive Ontologies in Scientific Understanding ? the Case of Human Evolution,2007
SPUAA,David Spurrett,Affording Affordances,forthcoming
VEIWSB-2,Walter Veit and Heather Browning,Why Socio-Political Beliefs Trump Individual Morality: An Evolutionary Perspective,2022
MIRTAV,Marco Mirolli,Towards a Vygotskyan Cognitive Robotics: The Role of Language as a Cognitive Tool,2011
VANFRS,Neil Van Leeuwen,Finite Rational Self-Deceivers,2008
VANTOO-8,J. H. van Hateren,"The Origin of Agency, Consciousness, and Free Will",2015
COLBCS-3,Matteo Colombo,"Bayesian Cognitive Science, Predictive Brains, and the Nativism Debate",2017
RAPEOR-3,Margaret Boone Rappaport and Christopher Corbally,Evolution of Religious Capacity in the Genus Homo: Trait Complexity in Action Through Compassion,2018
WIEPWB,Isaac Wiegman,Payback Without Bookkeeping: The Origins of Revenge and Retaliation,2019
DOWEP-4,Stephen M. Downes,Evolutionary Psychology,2014
TURPSC,John Turri,Primate Social Cognition and the Core Human Knowledge Concept,2017
QUETAM,Jo\~{a}o Queiroz and Charbel Ni\~{n}o El{-}Hani,Towards a Multi-Level Approach to the Emergence of Meaning Processes in Living Systems,2006
CHRTDR-3,Wayne Christensen,The Decoupled Representation Theory of the Evolution of Cognition--a Critical Assessment,2010
CUMBPA,Denise D. Cummins and Robert C. Cummins,Biological Preparedness and Evolutionary Explanation,1999
KILMAT,Anton Killin,"Musicality and the Evolution of Mind, Mimesis, and Entrainment: Gary Tomlinson: A Million Years of Music: The Emergence of Human Modernity. Zone, New York, 2015",2016
CARDHT,Peter Carruthers,Distinctively Human Thinking,1998
BRITRO-17,Ingar Brinck,The Role of Intersubjectivity for the Development of Intentional Communication,2008
MOOPAT-11,Richard Moore,Pragmatics-First Approaches to the Evolution of Language,2017
ADRMMP,Pieter R. Adriaens and Andreas De Block,"Maladapting Minds: Philosophy, Psychiatry, and Evolutionary Theory",2011
KILEIA-2,Anton Killin and Sean Allen{-}Hermanson,Explorations in Archaeology and Philosophy,2021
JUSFII,Timothy Justus and Jeffrey Hutsler,Fundamental Issues in the Evolutionary Psychology of Music: Assessing Innateness and Domain-Specificity,2005
CLATLP-9,Hayley Clatterbuck,The Logical Problem and the Theoretician's Dilemma,2018
KILRMS,Anton Killin,Rethinking Music's Status as Adaptation Versus Technology: A Niche Construction Perspective,2016
PETHTS-2,Uwe Peters,"Human Thinking, Shared Intentionality, and Egocentric Biases",2015
MACGEA-3,Diego E. Machuca,"Global Evolutionary Arguments: Self-Defeat, Circularity, and Skepticism About Reason",2023
WERCFO,Markus Werning,Complex First? On the Evolutionary and Developmental Priority of Semantically Thick Words,2010
FRIILA,Ellen Fridland,"Imitation, Skill Learning, and Conceptual Thought: An Embodied, Developmental Approach",2012
FENCEP,Marco Fenici and Duilio Garofoli,Cultural Evolutionary Psychology is Still Evolutionary Psychology,2019
MOOACI-2,Richard Moore,A Common Intentional Framework for Ape and Human Communication,2015
BALPAD-2,Sergio Balari and Guillermo Lorenzo,Pere Alberch?s Developmental Morphospaces and the Evolution of Cognition,2008
CHRTDR-2,Dr Wayne Christensen,The Decoupled Representation Theory of the Evolution of Cognition--A Critical Assessment,2010
