ID,Author,Title,Year
MILTPP-10,Kristie Miller and Alex Holcombe and Andrew J. Latham,Temporal Phenomenology: Phenomenological Illusion Versus Cognitive Error,2020
SKOOB,Bradford Skow,Objective Becoming,2015
HODTMO-17,Batoul Hodroj and Andrew J. Latham and Kristie Miller,"The Moving Open Future, Temporal Phenomenology, and Temporal Passage",2024
PAUTE,L. A. Paul,Temporal Experience,2010
LATBIT-2,Andrew J. Latham and Kristie Miller and Christian Tarsney and Hannah Tierney,Belief in Robust Temporal Passage (Probably) Does Not Explain Future-Bias,2022
LATWDP,Andrew J. Latham and Kristie Miller,Why Do People Represent Time as Dynamical? An Investigation of Temporal Dynamism and the Open Future,2023
PROET-2,Simon Prosser,Experiencing Time,2016
MILTCW-4,Kristie Miller,The Cresting Wave: A New Moving Spotlight Theory,2019
HODAOA,Batoul Hodroj and Andrew J. Latham and Jordan Lee{-}Tory and Kristie Miller,Alethic Openness and the Growing Block Theory of Time,2022
CRATTT-3,William Lane Craig,The Tensed Theory of Time : A Critical Examination,2000
BARMEV-2,Sam Baron and Brigitte C. Everett and Andrew J. Latham and Kristie Miller and Hannah Tierney and Jordan Veng Thang Oh,Moving Ego Versus Moving Time: Investigating the Shared Source of Future-Bias and Near-Bias,2023
COCCAA,Tom Cochrane,"Consciousness, Attention, and the Motivation-Affect System",2023
HOEDWS,Christoph Hoerl,Do We (Seem to) Perceive Passage?,2014
FARETQ,Matt Farr,Explaining Temporal Qualia,2020
SHAEPB-2,Jack Shardlow and Ruth Lee and Christoph Hoerl and Teresa McCormack and Patrick Burns and Alison S. Fernandes,Exploring People?s Beliefs About the Experience of Time,2021
LATRPP,Andrew J. Latham and Kristie Miller and Christian Tarsney and Hannah Tierney,Robust Passage Phenomenology Probably Does Not Explain Future-Bias,2022
TORFTP-2,Giuliano Torrengo,Feeling the Passing of Time,2017
LATAEI,Andrew J. Latham and Kristie Miller and James Norton,An Empirical Investigation of Purported Passage Phenomenology,2020
PROWDT,Simon Prosser,Why Does Time Seem to Pass?,2011
EVELTP,Brigitte Everett and Andrew J. Latham and Kristie Miller,Locating Temporal Passage in a Block World,2023
LEETEA,Geoffrey Lee,Temporal Experience and the Temporal Structure of Experience,2014
FARPDI,Matt Farr,Perceiving Direction in Directionless Time,2023
MILDIR,Kristie Miller,Does It Really Seem as Though Time Passes?,2019
MILBTT-2,Preston Greene and Andrew J. Latham and Kristie Miller and James Norton and Christian Tarsney and Hannah Tierney,Bias Towards the Future,2022
MILAPI-4,Kristie Miller,Against Passage Illusionism,2022
BARNAT-10,Sam Baron and Andrew J. Latham and Somogy Varga,Non-Dynamism and Temporal Disturbances,2023
PROCWE,Simon Prosser,Could We Experience the Passage of Time?,2007
DENOEO,Natalja Deng,Our Experience of Passage on the B-Theory,2013
SKOEAT-2,Bradford Skow,Experience and the Passage of Time,2011
MILAPI-5,Kristie Miller,Against Passage Illusionism,2022
DENOEW,Natalja Deng,On Explaining Why Time Seems to Pass,2013
DENOTA-5,Natalja Deng,One Thing After Another: Why the Passage of Time is Not an Illusion,2019
MILPWA-4,Kristie Miller,"Presentness, Where Art Thou? Self-Locating Belief and the Moving Spotlight",2017
PROPAP,Simon Prosser,Passage and Perception,2011
DAITPA,Barry Dainton,"Time, Passage and Immediate Experience",2011
KRIETP,Uriah Kriegel,Experiencing the Present,2015
SPOTMS,Giuseppe Spolaore and Giuliano Torrengo,The Moving Spotlight(S),2021
