ID,Author,Title,Year
HARWII-7,Jacqueline Harding and Nathaniel Sharadin,What is It for a Machine Learning Model to Have a Capability?,forthcoming
QUECAR-2,Matthieu Queloz,Can Ai Rely on the Systematicity of Truth? The Challenge of Modelling Normative Domains,manuscript
QUEBIA,Matthieu Queloz,Beyond Interpretability and Explainability: Systematic Ai and the Function of Systematizing Thought,manuscript
HATTVO-3,Joshua Hatherley and Robert Sparrow and Mark Howard,The Virtues of Interpretable Medical Ai,2024
ADADEA-2,Jonathan Adams,Defending Explicability as a Principle for the Ethics of Artificial Intelligence in Medicine,2023
PETCBI,Uwe Peters and Mary Carman,Cultural Bias in Explainable Ai Research,forthcoming
BothaForthcoming-DEVAII,Tanya de Villiers{-}Botha,Artificial Intelligence in Higher Education in South Africa: Some Ethical Considerations (14th edition),forthcoming
URSDDR,Frank Ursin and Cristian Timmermann and Marcin Orzechowski and Florian Steger,Diagnosing Diabetic Retinopathy with Artificial Intelligence: What Information Should Be Included to Ensure Ethical Informed Consent?,2021
WINPAR-7,Eva Winkler and Andreas Wabro and Markus Herrmann,Percentages and Reasons: Ai Explainability and Ultimate Human Responsibility Within the Medical Field,2024
BERUMR,Andrea Berber and Jelena Miji\'c,Understanding Moral Responsibility in Automated Decision-Making: Responsibility Gaps and Strategies to Address Them,2024
PEZUWT,Andr\'{e}s P\'{a}ez,Understanding with Toy Surrogate Models in Machine Learning,forthcoming
SULEHT-2,E. Sullivan and Atoosa Kasirzadeh,Explanation Hacking: The Perils of Algorithmic Recourse,forthcoming
SULSSI,Emily Sullivan,Sides: Separating Idealization From Deceptive ?Explanations? in Xai,forthcoming
KAMTFF,Moto Kamiura,The Four Fundamental Components for Intelligibility and Interpretability in Ai Ethics,forthcoming
Giannini2024-KIRIAU,Cameron Domenico Kirk{-}Giannini,Is Alignment Unsafe?,2024
AFRTIA,Saleh Afroogh and Ali Akbari and Evan Malone and Mohammadali Kargar and Hananeh Alambeigi,"Trust in Ai: Progress, Challenges, and Future Directions",forthcoming
FERASM-2,Andrea Ferrario and Alberto Termine and Alessandro Facchini,Addressing Social Misattributions of Large Language Models: An Hcxai-Based Approach,forthcoming
HATACE-2,Joshua Hatherley,Are Clinicians Ethically Obligated to Disclose Their Use of Medical Machine Learning Systems to Patients?,forthcoming
SPECUI,"Timo Speith and Barnaby Crook and Sara Mann and Astrid Schom\""{a}cker and Markus Langer",Conceptualizing Understanding in Explainable Artificial Intelligence (Xai): An Abilities-Based Approach,2024
SUBEEB,Vanja Suboti\'c,"Exploring, Expounding \& Ersatzing: A Three-Level Account of Deep Learning Models in Cognitive Neuroscience",2024
CIBMAA,Beba Cibralic and James Mattingly,Machine Agency and Representation,2024
BUITFA,Stefan Buijsman,Transparency for Ai Systems: A Value-Based Approach,2024
BARBTA-10,Kristian Gonz\'{a}lez Barman and Nathan Wood and Pawel Pawlowski,Beyond Transparency and Explainability: On the Need for Adequate and Contextualized User Guidelines for Llm Use,2024
FRIOTS-8,James Fritz,On the Scope of the Right to Explanation,forthcoming
BOYBEA,Kenneth Boyd,Black-Box Expertise and Ai Discourse,2023
BEGSDA-2,Keith Begley and Cecily Begley and Valerie Smith,Shared Decision-Making and Maternity Care in the Deep Learning Age: Acknowledging and Overcoming Inherited Defeaters,2021
MOSAGO-4,Milan Moss\'e and Harry Sha and Li{-}Yang Tan,A Generalization of the Satisfiability Coding Lemma and its Applications,2022
HATDOD,Joshua Hatherley,Data Over Dialogue: Why Artificial Intelligence is Unlikely to Humanise Medicine,2024
