ID,Author,Title,Year
MIKFWC,Marcin Mi\l{}kowski and Robert Clowes and Zuzanna Ruci\'{n}ska and Aleksandra Przegali\'{n}ska and Tadeusz Zawidzki and Joel Krueger and Adam Gies and Marek McGann and \L{}ukasz Afeltowicz and Witold Wachowski and Fredrik Stjernberg and Victor Loughlin and Mateusz Hohol,From Wide Cognition to Mechanisms: A Silent Revolution,2018
CAREE-4,J. Adam Carter and Emma C. Gordon and S. Orestis Palermos,Extended Emotion,2016
CAREK,J. Adam Carter and Boles\l{}aw Czarnecki,Extended Knowledge-How,2016
ADAECA-5,J. Adam Carter and Jesper Kallestrup,Extended Cognition and Propositional Memory,2015
RUPECA,Robert D. Rupert,"Embodiment, Consciousness, and the Massively Representational Mind",2011
ASOTCA,Eran Asoulin,The Creative Aspect of Language Use and the Implications for Linguistic Science,2013
CARAEA-10,J. Adam Carter and S. Orestis Palermos,Active Externalism and Epistemology,2015
LUDECI,David Ludwig,Extended Cognition in Science Communication,2014
STEBTT-3,Pierre Steiner,Boundless Thought. The Case of Conceptual Mental Episodes,2012
GRODSE,Steven Gross,Descriptive Semantic Externalism,2015
KIVIMN,Riin K\~{o}iv,Innate Mind Need Not Be Within,2020
CARATD-10,Eros Moreira de Carvalho,A Tese da Mente Estendida \`A Luz Do Externismo Ativo: Como Tornar Otto Responsivo a Raz\~{o}es?,2020
FOGTOC,Nikolaus Fogle and Georg Theiner,The ?Ontological Complicity? of Habitus and Field: Was Bourdieu an ?Externalist??,forthcoming
MCCECC-4,Kirk Ludwig,Review: Existential Cognition: Computational Minds in the World,1999
NAGIWT,Manish Nagireddy,Issues with the Judicial System: A Philosophical and Psychological Approach,manuscript
MARSF-2,Leslie Marsh and Margery Doyle,Stigmergy 3.0: From Ants to Economies,forthcoming
