ID,Author,Title,Year
SINFAA,Peter Singer,"Famine, Affluence, and Morality",1972
TIMSTI,Travis Timmerman,Sometimes There is Nothing Wrong with Letting a Child Drown,2015
LOGSTC,Art\={u}rs Logins,Save the Children!,2016
KEKOTS,John Kekes,On the Supposed Obligation to Relieve Famine,2002
GILGJA,Pablo Gilabert,Global Justice and Poverty Relief in Nonideal Circumstances,2008
JAMDTT-4,Dale Jamieson,"Duties to the Distant: Aid, Assistance, and Intervention in the Developing World",2005
TIMLAF,Cristian Timmermann,Limiting and Facilitating Access to Innovations in Medicine and Agriculture: A Brief Exposition of the Ethical Arguments,2014
WISASP,Scott Wisor,Against Shallow Ponds: An Argument Against Singer's Approach to Global Poverty,2011
TIMPAT-3,Cristian Timmermann,Pesticides and the Patent Bargain,2015
HASWPA,Nicole Hassoun,World Poverty and Individual Freedom,2008
CHRGJ-2,James Christensen,Global Justice,2020
LAFSTL-2,Hugh LaFollette and Larry May,Suffer the Little Children,1995
BERUAP-2,Brian Berkey,Utilitarianism and Poverty,2023
SEIPFR,Peter Seipel,"Philosophy, Famine Relief, and the Skeptical Challenge From Disagreement",2014
HUGWHA,William Aiken and Hugh LaFollette,World Hunger and Morality,1995
ENGTHS-2,Mylan Engel Jr,Taking Hunger Seriously,2004
TIMAAO,Cristian Timmermann,An Assessment of Prominent Proposals to Amend Intellectual Property Regimes Using a Human Rights Framework,2014
KOLBIG,Daniel Koltonski,But I?Ve Got My Own Life to Live: Personal Pursuits and the Demands of Morality,2022
BARGP-2,Christian Barry and Scott Wisor,Global Poverty,2013
HIGWIP,Peter Higgins and Audra King and April Shaw,What is Poverty?,2008
LAFWH,Hugh LaFollette,World Hunger,2003
VANCRP,Chad Vance,"Causal Relevance, Permissible Omissions, and Famine Relief",2018
TIMJPI,Cristian Timmermann,Justifying Pro-Poor Innovation in the Life Sciences: A Brief Overview of the Ethical Landscape,2013
HORFAF,Keith Horton,Famine and Fanaticism: A Response to Kekes,2004
CHEAAO-4,Yiwei Cheng,An Analysis of the Main Causes of the Holodomor,2012
USAWPA,Makoto Usami,World Poverty and Justice Beyond Borders,2005
ANTMD,Lu\'{i}s Frederico Antunes,On the Edge of Writing: Communication Between Indian Merchant and Portuguese Authorities in East Africa,2007
ONEAKA-5,Onora O'Neill,A Kantian Approach to Famine Relief (1st edition),1986
LAFSTL,Larry May and Hugh LaFollette,Suffer the Little Children,1995
ROBOFT,Robert Coburn,On Fieding the Hungry,1976
TIMCGC,Cristian Timmermann and Henk van den Belt and Michiel Korthals,"Climate-Ready Gm Crops, Intellectual Property and Global Justice",2010
JOHWHA-2,John Howie,World Hunger and a Moral Right to Subsistence,1987
AIKFAD-2,William Aiken,Famine and Distribution,1990
URAUUJ,Tomasz \.{Z}uradzki,Utylitarystyczna Utopia Jednego \'{S}wiata,2007
FREBCT,R. G. Frey and Christopher Heath Wellman,Blackwell Companion to Applied Ethics,2003
ANEWTC-3,Douglas I. O. Anele,Western Technical Civilization and Regional Cultures in Nigeria,2010
TSEMAA,Chuan Chia Tseng,Microfinance and Amartya Sen's Capability Approach,
GRADMM,Anke Grane\ss,Das Menschliche Minimum: Globale Gerechtigkeit Aus Afrikanischer Sicht Henry Odera Oruka,2011
BERGWT,Brian Berkey,"Review of Giving Well: The Ethics of Philanthropy (Eds. Illingworth, Pogge, and Wenar)",2014
CLALHA,Stephen R. L. Clark,"Living High and Letting Die: Our Illusion of Innocence by Peter Unger. Oxford University Press: New York \& Oxford, 1996, 199Pp; Isbn 0195075897 \pounds35.00; 0195108590 \pounds13.50",1999
ROSOOT-3,Benjamin Rossi,Our Obligations to the Foreign Poor,2012
