ID,Author,Title,Year
THOFAM-4,Amie L. Thomasson,Fiction and Metaphysics,1998
KRIJLL,Saul A. Kripke,Reference and Existence: The John Locke Lectures,2013
PARNO,Terence Parsons,Nonexistent Objects,1980
CURTNO-4,Gregory Currie,The Nature of Fiction,1990
ZALAOA,Edward N. Zalta,Abstract Objects: An Introduction to Axiomatic Metaphysics,1983
SALN,Nathan Salmon,Nonexistence,1998
BERTIF-4,Francesco Berto and Christopher Badura,"Truth in Fiction, Impossible Worlds, and Belief Revision",2019
EVETN,Anthony Everett,The Nonexistent,2013
INWCOF-2,Peter van Inwagen,Creatures of Fiction,1977
SAIFAF-4,R. M. Sainsbury,Fiction and Fictionalism,2009
Hassan2020-LANTAN-2,Peter Langland{-}Hassan,There Are No I-Beliefs or I-Desires at Work in Fiction Consumption and This is Why,2020
BERMMA,Francesco Berto,Modal Meinongianism and Fiction: The Best of Three Worlds,2011
SEATLS,John R. Searle,The Logical Status of Fictional Discourse,1975
KRIVNA-2,Saul A. Kripke,Vacuous Names and Fictional Entities,2011
RADHCW,Colin Radford and Michael Weston,How Can We Be Moved by the Fate of Anna Karenina,1975
Carpintero2019-GARNFA-7,Manuel Garc\'{i}a{-}Carpintero,Normative Fiction-Making and the World of the Fiction,2019
Carpintero2020-GARCAF-2,Manuel Garc\'{i}a{-}Carpintero,Co-Identification and Fictional Names,2020
HOECE,Daniel Hoek,Conversational Exculpature,2018
SALFEV-2,Nathan Salmon,Fictitious Existence \emph{Versus} Nonexistence,forthcoming
FEATNO,Susan L. Feagin,The Nature of Fiction,1992
FRIFC,Stacie Friend,Fictional Characters,2007
THOSOF,Amie L. Thomasson,Speaking of Fictional Characters,2003
VOLHFF-2,Alberto Voltolini,How Ficta Follow Fiction: A Syncretistic Account of Fictional Entities,2006
RECIMP,Fran\c{c}ois Recanati,"Fictional, Metafictional, Parafictional",2018
EVEAFR,Anthony Everett,Against Fictional Realism,2005
FRITGB,Stacie Friend,The Great Beetle Debate: A Study in Imagining with Names,2011
FRIACA-7,David Friedell,Abstract Creationism and Authorial Intention,2016
BROFAF,Stuart Brock,Fictionalism About Fictional Characters,2002
THOFCA,Amie L. Thomasson,Fictional Characters and Literary Practices,2003
JOERFA,Krueger Joel and Tom Roberts,Real Feeling and Fictional Time in Human-Ai Interactions,2024
LEEAIR-2,Jeonggyu Lee,"Authorial Intention, Readers? Creation, and Reference Shift",2022
MAIFNI,Emar Maier,Fictional Names in Psychologistic Semantics,2017
KORTVA,Daniel Z. Korman,The Vagueness Argument Against Abstract Artifacts,2014
Carpintero2019-GARSRI-4,Manuel Garc\'{i}a{-}Carpintero,Singular Reference in Fictional Discourse?,2019
BERMMA-15,Francesco Berto and Filippo Casati and Naoya Fujikawa and Graham Priest,Modal Meinongianism and Object Theory,2020
Carpintero2023-GARTSO-31,Manuel Garc\'{i}a{-}Carpintero,The Semantics of Fiction,2023
KRIVNA,Saul A. Kripke,Vacuous Names and Fictional Entities,2011
HOFENF,T. Hofweber and A. Everett,"Empty Names, Fiction, and the Puzzles of Non-Existence",2000
BROTCF,Stuart Brock,The Creationist Fiction: The Case Against Creationism About Fictional Characters,2010
ADATSO-3,Fred Adams and Gary Fuller and Robert Stecker,The Semantics of Fictional Names,1997
HOWFOH,Robert Howell,Fictional Objects: How They Are and How They Aren't,1979
SCHIDO-6,Benjamin Schnieder and Tatjana von Solodkoff,In Defence of Fictional Realism,2009
CAMHTB-3,Ross P. Cameron,How to Be a Nominalist and a Fictional Realist,2013
WOOIIF-2,Richard Woodward,Identity in Fiction,2017
NOLCAC,Daniel Nolan and Alexander Sandgren,Creationism and Cardinality,2014
CAPCOF,Ben Caplan,"Creatures of Fiction, Myth, and Imagination",2004
ZVOFCM,Zs\'{o}fia Zvolenszky,"Fictional Characters, Mythical Objects, and the Phenomenon of Inadvertent Creation",2016
VANEOC-3,Peter van Inwagen,"Existence, Ontological Commitment, and Fictional Entities",2003
VIETPA,Emanuel Viebahn,The Poet Affirmeth,manuscript
VONFRA,Tatjana von Solodkoff,Fictional Realism and Negative Existentials,2014
MARSEO-4,Alberto Voltolini and Fred Kroon,Fiction,2011
DAVFUA,David Davies,Fictive Utterance and the Fictionality of Narratives and Works,2015
YAGACI,Takashi Yagisawa,Against Creationism in Fiction,2001
VANFAM,Peter van Inwagen,Fiction and Metaphysics,1983
YUMATP,Inchul Yum,Against the Precisificational Approach to Fictional Inconsistencies,2023
CRAAGA,Wesley D. Cray,Abstract Generationism: A Response to Friedell,2017
GLARRR,Daniela Glavani\v{c}ov\'a,Rethinking Role Realism,2021
EVEPEA,Anthony Everett,"Pretense, Existence, and Fictional Objects",2007
KANATU,Andrew Kania,Against the Ubiquity of Fictional Narrators,2005
TEROFC,Enrico Terrone,On Fictional Characters as Types,2017
GOOADO,Jeffrey Goodman,A Defense of Creationism in Fiction,2004
VOLPTC,Alberto Voltolini,"Probably the Charterhouse of Parma Does Not Exist, Possibly Not Even That Parma",2013
NOLPAI,Daniel Nolan,Personification and Impossible Fictions,2015
THOFE,Amie Thomasson,Fictional Entities,manuscript
MORMAM-6,J. M. Moravcsik,Mimesis as Make-Believe: On the Foundations of the Representational Arts,1993
CURFN,Gregory Currie,Fictional Names,1988
KIEIPA-3,Matthew Kieran and Dominic Lopes,"Imagination, Philosophy and the Arts",2003
SALFNA,Fiora Salis,Fictional Names and the Problem of Intersubjective Identification,2013
GOOCOF,Jeffrey Goodman,"Creatures of Fiction, Objects of Myth",2014
SALFE,Fiora Salis,Fictional Entities,2013
CAPAAD-2,B. Caplan and C. Muller,Against a Defense of Fictional Realism,2014
MOLMOB-2,Friederike Moltmann,"Modes of Being and Non-Being: Existence, Occurrence, and Validity",forthcoming
BROFO-2,Stuart Brock and Anthony Everett,Fictional Objects,2015
COHFRA-2,Wouter A. Cohen,Fictional Realism and Metaphysically Indeterminate Identity,2017
ZALRTF,Edward N. Zalta,Referring to Fictional Characters,2003
MOTFS,Ioan{-}Radu Motoarca,Fictional Surrogates,2014
PREHHM,Stefano Predelli,?Holmes?and Holmes-a Millian Analysis of Names From Fiction,2002
FRIRPI-2,Stacie Friend,Real People in Unreal Contexts: Or is There a Spy Among Us?,2000
THOFMA,Amie L. Thomasson,"Fiction, Modality and Dependent Abstracta",1996
RICTFU,Richard M. Gale,The Fictive Use of Language,1971
WILSAT-29,Adam M. Willows,Stories and the Development of Virtue,2017
JAKOOP,Hicham Jakha,Ontology or Practice? An Ingardenian Examination of Crittenden?s Ficta,2024
PARAMA-5,Terence Parsons,A Meinongian Analysis of Fictional Objects,1975
