ID,Author,Title,Year
LEPTIO-2,Robin Le Poidevin,The Images of Time: An Essay on Temporal Representation,2007
HARBTW,Rebecca A. Hardesty and Ben Sheredos,"Being Together, Worlds Apart: A Virtual-Worldly Phenomenology",2019
YANDRN,Yu Yang,Deceptive Retrospective Narrative Strategy and Synchronistic Prerequisite: Case Study on the Design of Impossible Puzzles,2023
POL-1088,Andrej Poleev,?\ensuremath{\gamma}? ??\ensuremath{\mu}\ensuremath{\iota}.,2020
PERODF-2,Alex Pereira De Ara\'{u}jo,"O Discurso F\'{i}lmico de Horror Franc\^{e}s e a Quest\~{a}o Do ""Quem Somos N\'{o}s Hoje?: Um Lugar Para Mem\'{o}ria Do Corpo",2012
LOHPOF,Shawn Loht,Phenomenology of Film: A Heideggerian Account of the Film Experience,2017
SPRZNT,Jason A. Springs,Zombie Nationalism: The Sexual Politics of White Evangelical Christian Nihilism,2023
EKRWBA,Kristina \v{S}ekrst,Wanna Binge-Watch an 18-Hour Film? Twin Peaks and the Psychology of the Watching Experience,2023
OYADBL,Alberto Oya,Dragon Ball: Love and Renewed Life,2023
FOEMAT-2,Steven Foertsch,"Metamodernity, American Transcendentalism and Transhumanism in Japanese Anime",2023
KAATMI,Marten Kaas,\emph{Transcendence:} Measuring Intelligence,2023
CHAINA-2,Marianna Charitonidou,Italian Neorealist and New Migrant Films as Dispositifs of Alterity: How Borgatari and Popolane Challenge the Stereotypes of Nationhood and Womanhood?,2023
JONTPP,Steve Jones,Torture Porn: Popular Horror After Saw,2013
MILABF-4,Kristie Miller,A Blast From the Past,2017
JONSAH,Steve Jones,Sex and Horror,2017
Wilkes2020-MASDDS,Will Mason{-}Wilkes,Divine Dna? ?Secular? and ?Religious? Representations of Science in Nonfiction Science Television Programs,2020
KRUAHI,Joel Krueger,At Home in and Beyond Our Skin: Posthuman Embodiment in Film and Television,2015
BLASTP-3,Jeremy Blatter,"Screening the Psychological Laboratory: Hugo M\""{u}nsterberg, Psychotechnics, and the Cinema, 1892?1916",2015
LTTEJO,"Do\u{g}a \c{C}""{o}l and \""{O}mer Said Birol",The Tiktok Experience and Everything Everywhere All at Once: A Brief Analysis of Film Form,2023
HUNTSA-9,David P. Hunt,The Sleeper Awakes: Gnosis and Authenticity in \emph{the Matrix},2007
MICYCA,Natalia Anna Michna,"You?Ve Come a Long Way, Baby: The Evolution of Feminine Identity Models on the Example of Contemporary Language of Advertising",2016
JONTBR,Steve Jones,Torture Born: Representing Pregnancy and Abortion in Contemporary Survival-Horror,2015
EKRTTT,Kristina \v{S}ekrst,Tony ?Two-Toes?: The Pragmatics of Nicknames in Films,2022
WHITLO-36,John Whitmire and David Henderson,The Lord of the Rings as Philosophy: Environmental Enchantment and Resistance in Peter Jackson and J.R.R. Tolkien,2023
HARICH,Britt Harrison,Introducing Cinematic Humanism: A Solution to the Problem of Cinematic Cognitivism,2019
Boyd2009-DEWSSP,Ian Deweese{-}Boyd,"?Sh\={o}jo Savior: Princess Nausica\""a, Ecological Pacifism, and the Green Gospel?",2009
PARUCT,Shelley M. Park,Uncomfortably Close to Human,2022
FOSPSP,Adam E. Foster,"Plastic Subjects: Plasticity, Time, and the Bling Ring",2022
Heindel2022-LAMHDW-2,Christoffer Lammer{-}Heindel,How Do We Distinguish the Holy From the Demonic? An Anthropotheistic Meditation on Mike Flanagan?s Midnight Mass,2022
WITAHD,Ryan Wittingslow,"A Holy Dullness: Tarkovsky, Suture, and the Numinous",forthcoming
JONTLO-10,Steve Jones,"The Lexicon of Offense: The Meanings of Torture, Porn, and ?Torture Porn?",2012
JONTPM-3,Steve Jones,"Twisted Pictures: Morality, Nihilism and Symbolic Suicide in the Saw Series",2013
VIEITL,Susana Viegas,"Introduction: The Leftovers, Philosophy and Popular Culture",2021
BLAAFO-2,Jack Black,"""a Form of Socially Acceptable Insanity"": Love, Comedy and the Digital in Her",2021
SARDOH,Sergii Sardak and Oleksandr P. Krupskyi and V. Dzhyndzhoian and M. Sardak and Y. Naboka,Development of Historical and Cultural Tourist Destinations,2020
KLEHPA,Shawn E. Klein,"Harry Potter and Humanity: Choices, Love, and Death",2012
GIUAQO,Carrie Giunta,"A Question of Listening: Nancean Resonance, Return and Relation in Charlie Chaplin",2016
BAURLR,Stefanie Baumann,"Projeter le R\'{e}el. Notes Sur L?Attitude Critique Inh\'{e}rente \`A la Notion de R\'{e}alisme, \`A Partir du Film Chung Kuo, Cina de Michelangelo Antonioni",2017
HOLTMT-10,A. G. Holdier,"?Teach Me to Do What?s Right?: Faith, Hope, and Love as Post-Religious Virtues",2021
DASUTA,Gustavo Ruiz da Silva and Eberval Gadelha Figueiredo Jr,(Un)Folding Time a Philosophical Analysis of ?Cloud Atlas? (2012),2024
DEBQSA,Paul Deb,?I Saw a Different Life. I Can't Stop Seeing It?: Perfectionist Visions in \emph{Revolutionary Road},2021
JONJS-4,Steve Jones,"Jones, S. (2018) 'Preserved for Posterity? Present Bias and the Status of Grindhouse Films in the "" Home Cinema "" Era', Journal of Film and Video, 70:1.",2018
JONGM-2,Steve Jones,Gender Monstrosity: Deadgirl and the Sexual Politics of Zombie-Rape,2012
WAGNAR,Marcos Wagner Da Cunha,Nihilism and Reality in Akira Kurosawa's Rashomon (1949 Movie),manuscript
JONHTA-4,Steve Jones and Sharif Mowlabocus,"""""Hard Times and Rough Rides: The Legal and Ethical Impossibilities of Researching ""'Shock""'Pornographies",2009
WSTTG,Cezary W\k{a}s,"The Tannh\""{a}user Gate. Architecture in Science Fiction Films of the Second Half of the 20Th and the Beginning of the 21St Century as a Component of Utopian and Dystopian Projections of the Future.",2018
BLAYAG,Jack Black,"""You Ain't Gonna Get Away Wit' This, Django"": Fantasy, Fiction and Subversion in Quentin Tarantino's, Django Unchained",2019
