ID,Author,Title,Year
SCHPOC-8,Eric Schwitzgebel,Perplexities of Consciousness,2011
BYRTAS-3,Alex Byrne,Transparency and Self-Knowledge,2018
STAOKO-2,Robert Stalnaker,Our Knowledge of the Internal World,2008
GERDWD,Brie Gertler,Self-Knowledge and the Transparency of Belief,2011
PEATU,Christopher Peacocke,Truly Understood,2008
COLITE-3,Annalisa Coliva and Michele Palmira,Immunity to Error Through Misidentification: Some Trends,forthcoming
CASHOT,Hector{-}Neri Casta\~{n}eda,'He': A Study in the Logic of Self-Consciousness,1966
BALAAT,Katalin Balog,Acquaintance and the Mind-Body Problem,2012
DAVFPA,Donald Davidson,First Person Authority,1984
FERTMA-2,Jordi Fern\'{a}ndez,Transparent Minds: A Study of Self-Knowledge,2013
BOYTKO,Matthew Boyle,Two Kinds of Self-Knowledge,2008
BALIDO-2,Katalin Balog,In Defense of the Phenomenal Concept Strategy1,2011
BYRTBI,Alex Byrne,"Transparency, Belief, Intention",2011
MARBIA-7,Eric Marcus,"Belief, Inference, and the Self-Conscious Mind",2021
Carpintero2018-GARDST-2,Manuel Garc\'{i}a{-}Carpintero,De Se Thoughts and Immunity to Error Through Misidentification,2018
FARTSP,Katalin Farkas,The Subject?s Point of View,2008
DASTAT-2,Nilanjan Das and Bernhard Salow,Transparency and the Kk Principle,2018
PEACAA,Christopher Peacocke,"Conscious Attitudes, Attention, and Self-Knowledge",1998
ALSVOP,William P. Alston,Varieties of Priveleged Access,1971
HOHPVA,Jakob Hohwy,Phenomenal Variability and Introspective Reliability,2011
CARDI,Peter Carruthers,Introspection: Divided and Partly Eliminated,2009
MARPKA-3,Eric Marcus,Practical Knowledge as Knowledge of a Normative Judgment,2018
BALAP,Katalin Balog,Phenomenal Concepts,2006
GALTWW-3,Andre? Gallois,"The World Without, the Mind Within: An Essay on First-Person Authority",1996
BARIJA-2,David James Barnett,Inferential Justification and the Transparency of Belief,2016
SILJAA,Nicholas Silins,Judgment as a Guide to Belief,2012
MCGTMD-2,Victoria McGeer,The Moral Development of First-Person Authority,2008
SUTSST,C. S. Sutton,The Supervenience Solution to the Too-Many-Thinkers Problem,2014
BYRKWI,Alex Byrne,Knowing What I Want,2011
KLETSA-4,Stan Klein,The Self and its Brain,2012
PROSOI,Simon Prosser,Sources of Immunity to Error Through Misidentification,2012
KANSCA-5,Shao{-}Pu Kang,Shared Consciousness and Asymmetry,2022
SETKOI,Kieran Setiya,Knowledge of Intention,2011
CASOTL-2,Hector{-}Neri Casta\~{n}eda,On the Logic of Attributions of Self-Knowledge to Others,1968
KHADOS-3,Ali Hossein Khani,Davidson on Self-Knowledge: A Transcendental Explanation,2021
MARAAT-54,Eric Marcus and John Schwenkler,Assertion and Transparent Self-Knowledge,2019
MANSCA-2,David Manley,"Safety, Content, Apriority, Self-Knowledge",2007
FERPAN,Jordi Fernandez,Privileged Access Naturalized,2003
ALSWWW,William P. Alston,What's Wrong with Immediate Knowledge?,1983
SHOTFP,Sydney Shoemaker,The First-Person Perspective,1994
GIUIWJ,Anna Giustina,Introspection Without Judgment,2019
DOGKOD-2,Sinan Dogramaci,Knowing Our Degrees of Belief,2016
UNNTSE,Elmar Unnsteinsson,The Social Epistemology of Introspection,2022
PEAEMA-2,Antonia Peacocke,Embedded Mental Action in Self-Attribution of Belief,2017
ASHDDT,Lauren Ashwell,"Deep, Dark?or Transparent? Knowing Our Desires",2013
MORSAT-11,Richard Moran,"Self-Knowledge,'Transparency', and the Forms of Activity",2012
DEVKMA-4,Willem A. deVries and Timm Triplett,"Knowledge, Mind, and the Given: Reading Wilfrid Sellars's ""Empiricism and the Philosophy of Mind,"" Including the Complete Text of Sellars's Essay",2000
PAREFA,Matthew Parrott,Expressing First-Person Authority,2015
FALTBO,Kevin Falvey,The Basis of First-Person Authority,2000
SOSPA,Ernest Sosa,Privileged Access,2002
KNEPAE-3,Markus Kneer,Perspective and Epistemic State Ascriptions,2018
MCHSAT-3,Conor McHugh,Self-Knowledge and the Kk Principle,2010
