ID,Author,Title,Year
BACNO-4,Francis Bacon and Joseph Devey,Novum Organum- (Interpretacio?N de la Naturaleza y Predominio Del Hombre),1933
BACNO-2,Francis Bacon and Thomas Fowler,Novum Organum- (Interpretacio?N de la Naturaleza y Predominio Del Hombre),1933
DELFBT-5,Gilles Deleuze,Francis Bacon: The Logic of Sensation,2003
KIDDEV,Ian James Kidd,Deep Epistemic Vices,2018
BACNO-3,Francis Bacon and Robert Leslie Ellis and James Spedding,Novum Organum- (Interpretacio?N de la Naturaleza y Predominio Del Hombre),1933
BACTAO-2,Francis Bacon,The Advancement of Learning,1851
BACTWO-15,Francis Bacon and James Spedding,The Works of Francis Bacon,1857
BACTNO,Francis Bacon,The New Organon,2007
ANSEPA-4,Peter R. Anstey and Alberto Vanzo,Experimental Philosophy and the Origins of Empiricism,2023
Ramos1988-PREFBI,Antonio Pe?rez{-}Ramos,Francis Bacon's Idea of Science and the Maker's Knowledge Tradition,1988
VICOTS,Giambattista Vico,On the Study Methods of Our Time,1990
ANSTOO,Peter Anstey and Alberto Vanzo,The Origins of Early Modern Experimental Philosophy,2012
DIGPAT,P. E. Digeser and Rebecca LeMoine and Jill Frank and David Lay Williams and Jacob Abolafia and Tae{-}Yeoun Keum,Plato and the Mythic Tradition in Political Thought,2022
BACTNO-2,Francis Bacon,"The New Organon, and Related Writings",1960
GAUFBA-3,Stephen Gaukroger,Francis Bacon and the Transformation of Early-Modern Philosophy,2001
VANFET,Alberto Vanzo,From Empirics to Empiricists,2014
BACNA,Francis Bacon,New Atlantis,1992
CORROT-13,Sorana Corneanu,"Regimens of the Mind: Boyle, Locke, and the Early Modern Cultura Animi Tradition",2011
COHBVB,L. Jonathan Cohen,Bayesianism Versus Baconianism in the Evaluation of Medical Diagnoses,1980
DURTSO,Will Durant,The Story of Philosophy,1926
GOWSMA-3,Barry Gower,Scientific Method: A Historical and Philosophical Introduction,1996
ANSFBA-3,Peter Anstey,Francis Bacon and the Classification of Natural History,2012
ROSFBF,Paolo Rossi,Francis Bacon: From Magic to Science,1968
SPETWO-3,James Spedding and Robert Leslie Ellis and Douglas Denon Heath,The Works of Francis Bacon,2011
SOBIDO,Alan Soble,In Defense of Bacon,1995
DEAWIT-2,Peter Dear,What is the History of Science the History Of?,2005
BACTAO-4,Francis Bacon,The Advancement of Learning and New Atlantis,1974
MACPIA-3,Diego E. Machuca,"Pyrrhonism in Ancient, Modern, and Contemporary Philosophy",2011
DEAWIT,Peter Dear,What is the History of Science the History Of?: Early Modern Roots of the Ideology of Modern Science,2005
FARTPO-4,Benjamin Farrington,The Philosophy of Francis Bacon,1964
ZAGFB,Perez Zagorin,Francis Bacon,1998
SERFBA,Richard Serjeantson,Francis Bacon and the ?Interpretation of Nature? in the Late Renaissance,2014
HIRFBE,Celi Hirata,Francis Bacon e a Imagem Do Livro da Natureza,2023
VANKOE,Alberto Vanzo,Kant on Experiment,2012
BACTGI,Francis Bacon,The Great Instauration,unknown
GIGMTA,Guido Giglioni,Mastering the Appetites of Matter. Francis Bacon's Sylva Sylvarum,2010
MARFBT,Julian Martin,"Francis Bacon, the State and the Reform of Natural Philosophy",1992
ANSLBA,Peter R. Anstey,"Locke, Bacon and Natural History",2002
KLEFB,Juergen Klein,Francis Bacon,2008
REEAUM,Graham Rees,An Unpublished Manuscript by Francis Bacon: Sylva Sylvarum Drafts and Other Working Notes,1981
BACTE,Francis Bacon,The Essays,unknown
URBFBP,Peter Urbach,Francis Bacon's Philosophy of Science: An Account and a Reappraisal,1987
COQFB,Daniel R. Coquillette,Francis Bacon,1992
MANTCM,Silvia Manzo,Francis Bacon and Atomism: A Reappraisal,2001
MERTSR-2,Carolyn Merchant,The Scientific Revolution and the Death of Nature,2006
CLAREM-2,Graham Clay and Ruth Boeker,Rethinking Early Modern Philosophy,2023
SCHPAA-23,Amy Schmitter,Passions and Affections,2013
BACTWO-11,Francis Bacon and Thomas Birch and Robert Stephens,"The Works of Francis Bacon [Collected by R. Stephens and J. Locker, Publ. By T. Birch]",1765
BLATOS,Ralph M. Blake,Theories of Scientific Method: The Renaissance Through the Nineteenth Century,1960
BACTPW,Francis Bacon,The Philosophical Works of Francis Bacon,1905
BACOTP,Francis Bacon and John Fowler Dove,Of the Proficience and Advancement of Learning: Divine and Human,2019
GIG_A_-4,Guido Giglioni,Historia and Materia: The Philosophical Implications of Francis Bacon's Natural History,2012
PESWWP,Peter Pesic,"Wrestling with Proteus: Francis Bacon and the ""Torture"" of Nature",1999
HARCFK-2,Peter Harrison,"Curiosity, Forbidden Knowledge, and the Reformation of Natural Philosophy in Early Modern England",2001
Esguerra2004-CANISI,Jorge Ca\~{n}izares{-}Esguerra,Iberian Science in the Renaissance: Ignored How Much Longer?,2004
MATTAS,Steven Matthews,Theology and Science in the Thought of Francis Bacon,2008
GIGLTR,Guido Giglioni,Learning to Read Nature,2013
MANFBN,Silvia Manzo,Francis Bacon's Natural History and Civil History: A Comparative Survey,2012
MANQMI,Silvia Manzo,Quali-Quantitative Measurement in Francis Bacon?s Medicine: Towards a New Branch of Mixed Mathematics (1st edition),2023
BACNAA,Francis Bacon,New Atlantis and the Great Instauration,1980
PELTCC,Markku Peltonen and Peltonen Markku,The Cambridge Companion to Bacon,1996
LASMCA-2,Marcy P. Lascano,"Margaret Cavendish and Early Modern Scientific Experimentalism: ?Boys That Play with Watery Bubbles or Fling Dust Into Each Other?s Eyes, or Make a Hobbyhorse of Snow??",2020
CORIOT-2,Sorana Corneanu and Koen Vermeir,Idols of the Imagination: Francis Bacon on the Imagination and the Medicine of the Mind,2012
BACTWO-13,Francis Bacon,"The Works of Francis Bacon Baron of Verulam, Viscount St. Albans, and Lord High Chancellor of England",1824
MANUBE,Vasco Mano,Um Breve Ensaio Sobre Francis Bacon,manuscript
MCCWPA-2,Ted McCormick,William Petty: And the Ambitions of Political Arithmetic,2009
MANFBO-2,Silvia Manzo,"Francis Bacon on Self-Care, Divination, and the Nature-Fortune Distinction",2023
HORIDO-6,Mary Horton,In Defence of Francis Bacon. A Criticism of the Critics of the Inductive Method,1973
URBFBP-2,Peter Urbach,Francis Bacon's Philosophy of Science,1989
BRIFBF,Brian Vickers,"Francis Bacon, Feminist Historiography, and the Dominion of Nature",2008
LANWDC,Peter Lang and Joachim Schummer,Why Do Chemists Perform Experiments?,unknown
HARFBN,Peter Harrison,"Francis Bacon, Natural Philosophy, and the Cultivation of the Mind",2012
BRIFBA,John C. Briggs,Francis Bacon and the Rhetoric of Nature,1989
JARFBD-2,Lisa Jardine,Francis Bacon: Discovery and the Art of Discourse,1974
ANDTPO-4,Fulton Henry Anderson,The Philosophy of Francis Bacon,1948
BROTPO-19,Charlie Dunbar Broad,The Philosophy of Francis Bacon,1926
FARFBP,Benjamin Farrington,"Francis Bacon, Philosopher of Industrial Science",1973
BACE,Francis Bacon,Essays,1902
KOEWWT-2,Noretta Koertge,Wrestling with the Social Constructor,unknown
WALDNF,Kirsten Walsh,Did Newton Feign the Corpuscular Hypothesis?,2012
PASTMA,Cesare Pastorino,"The Mine and the Furnace: Francis Bacon, Thomas Russell, and Early Stuart Mining Culture",2009
WHIPAT-7,Howard B. White,Peace Among the Willows,1968
QUIFB,Anthony Quinton,Francis Bacon,1980
BACNO-6,Francis Bacon,Novum Organum ; with Other Parts of the Great Instauration,1994
BACNOO-2,Francis Bacon,"New Organon, or True Directions Concerning the Interpretation of Nature",1620
BACTIM-4,Francis Bacon and Graham Rees,The Instauratio Magna,2004
BACTGI-2,Francis Bacon,"The Great Instauration ; and, New Atlantis",1980
URBFBA,Peter Urbach,Francis Bacon as a Precursor to Popper,1982
PICNHA,John V. Pickstone,"Natural Histories, Analyses and Experimentation: Three Afterwords",2011
SCHTRO-32,Jan Cornelius Schmidt,The Renaissance of Francis Bacon: On Bacon?s Account of Recent Nano-Technoscience,2011
MANHWM-2,Silvia Manzo,"Holy Writ, Mythology, and the Foundations of Francis Bacon's Principle of the Constancy of Matter",1999
SCHIBN,Daniel Schwartz,Is Baconian Natural History Theory-Laden?,2014
ROBTPW-3,John M. Robertson,The Philosophical Works of Francis Bacon,2011
OTTLSN-2,Walter Ott,"Leges Sive Natura: Bacon, Spinoza, and a Forgotten Concept of Law",2018
MCCRST-2,John P. McCaskey,Regula Socratis: The Rediscovery of Ancient Induction in Early Modern England,2006
PASFBA,Cesare Pastorino,Francis Bacon and the Institutions for the Promotion of Knowledge and Innovation,2013
MUNFBP,Madeline M. Muntersbjorn,Francis Bacon's Philosophy of Science: Machina Intellectus and Forma Indita,2003
