ID,Author,Title,Year
BRAAAR-9,Francis Herbert Bradley,Appearance and Reality: A Metaphysical Essay,1893
MOOINO,G. E. Moore,The Nature of Judgment,1899
MAUTTA-3,Anna{-}Sofia Maurin,Trope Theory and the Bradley Regress,2010
CANTRD,Stewart Candlish,The Russell/Bradley Dispute and its Significance for Twentieth Century Philosophy,2007
BRAES,Francis Herbert Bradley,Ethical Studies,1962
MAUBR-3,Anna{-}Sofia Maurin,Bradley?s Regress,2012
PAONRO-2,Michele Paolini Paoletti,"Non-Symmetrical Relations, o-Roles, and Modes",2016
VALRMA,William F. Vallicella,"Relations, Monism, and the Vindication of Bradley's Regress",2002
ORIBRA,Francesco Orilia,Bradley's Regress and Ungrounded Dependence Chains: A Reply to Cameron,2009
RUSSEI,B. Russell,Some Explanations in Reply to Mr. Bradley,1910
BRAES-6,Francis Herbert Bradley,Ethical Studies,1927
HAKBRR,"Jani Hakkarainen and Markku Kein\""{a}nen",Bradley?s Relation Regress and the Inadequacy of the Relata-Specific Answer,2022
CANTTA,Stewart Candlish,The Truth About F. H. Bradley,1989
MANAIT-2,W. J. Mander,An Introduction to Bradley's Metaphysics,1994
CANFHB,Stewart Candlish,Francis Herbert Bradley,2008
BRAEOT-4,Francis Herbert Bradley,Essays on Truth and Reality,1914
MORFBA-5,Kevin Morris,F.H. Bradley and the Metaphysics of Nonreductive Physicalism,2024
SCHOMB,Benjamin Schnieder,Once More: Bradleyan Regresses,2013
WOLFHB,Richard Wollheim,F. H. Bradley,1959
BRAESN-2,F. H. Bradley,"Ethical Studies, 2Nd Ed.",1927
LANIDO-4,Gerald Lang and Rob Lawlor,In Defense of Batman: Reply to Bradley,2013
MORDRR-2,Kevin Morris,Della Rocca's Relations Regress and Bradley's Relations Regresses,forthcoming
BRAITA,Francis H. Bradley,Is There Any Special Activity of Attention?,1886
BRAOAE,F. H. Bradley,"On Appearance, Error and Contradiction",1910
BRAOTA-4,F. H. Bradley,On Truth and Copying,1907
ALLTLF-4,James W. Allard,"The Logical Foundations of Bradley's Metaphysics: Judgment, Inference, and Truth",2004
VALBRA,William Vallicella,Bradley?s Regress and Relation-Instances,2004
BRARTM,F. H. Bradley,Reply to Mr. Russell's Explanations,1911
BRAWDW-2,F. H. Bradley,Why Do We Remember Forwards and Not Backwards?,1887
BROOFH,Thom Brooks,On F. H. Bradley?s ?Some Remarks on Punishment?,2014
BRAOTA-3,F. H. Bradley,On Truth and Practice,1904
SPIBAM,Oliver Thomas Spinney,Bradley and Moore on Common Sense,2020
MAUEVB,Anna{-}Sofia Maurin,"Eklund Vs. Bradley : Regress, Relation, Explanation",2024
PRORRF,Ian Proops,Russell?s Reasons for Logicism,2006
MORDRR-3,Kevin Morris,Della Rocca?s Relations Regress and Bradley?s Relations Regresses,2024
BONBRR,Guido Bonino,"Bradley?s Regress: Relations, Exemplification, Unity",2013
DORRTH,Dale Dorsey,Response to Heathwood and Bradley,2024
BRAWOL,Francis Herbert Bradley,Writings on Logic and Metaphysics,1994
BRATPO-66,F. H. Bradley,The Presuppositions of Critical History,1935
BRAOTA-6,F. H. Bradley,On Truth and Coherence,1909
BRAVDO,F. H. Bradley,V. --Discussions: On Professor James' Doctrine of Simple Resemblance,1893
BRATPO-71,Francis Herbert Bradley,The Principles of Logic,1883
GAMTDO,Joseph Gamache,The Dramatization of Absolute Idealism: Gabriel Marcel and F. H. Bradley,2023
MARLDB-2,Mathieu Marion,"L?Anti-Psychologisme de Bradley : Id\'{e}alit\'e de la Signification, Jugement Et Universaux",2009
MURFHB-2,Arthur E. Murphy,F. H. Bradley,1961
JAMBOB,William James,Bradley or Bergson?,1910
SPISAO-4,Oliver Thomas Spinney,"Samuel Alexander on Relations, Russell, and Bradley",2024
ELLCAR-3,Fiona Ellis,Concepts and Reality in the History of Philosophy: Tracing a Philosophical Error From Locke to Bradley,2005
BARTHH-8,Kyle J. Barbour,The Hegelian Heritage of Bradley?s Degrees of Truth and Reality,2023
ORIBRM-2,Francesco Orilia,Bradley?s Regress: Meinong Versus Bergmann,2007
STOAVR,Guy Stock,Appearance Versus Reality: New Essays on Bradley's Metaphysics,1998
EDWFTM,Terence Rajivan Edward,From the Myth of the Given to Radical Conceptual Diversity,2015
CREAEB-3,Sergio Volodia Marcello Cremaschi,Analitik Eti\u{g}in Babas\i Kimdi? George Edward Moore?Un Dna Testi (Translation by Hatice Alt\i{}nta\cs),2013
DARTAB-3,Reza Dargahifar and Ahmad Lohrasbi,Tropism and Bradley?s Regress (1st edition),2021
CANBOM,Stewart Candlish,Bradley on My Station and its Duties,1978
