ID,Author,Title,Year
PERSOT-7,Dominik Perler,Su\'{a}rez on the Unity of Material Substances,2020
TORDBP,Domingo B\'{a}~{n}ez and David Torrijos{-}Castrillejo,Predestinaci\'{o}n y Libertad. Escritos En Torno a la Controversia de Auxiliis,2021
Castrillejo2020-TORWBA,David Torrijos{-}Castrillejo,Was B\'{a}~{n}ez a Ba\~{n}ecian?,2020
NOVERF,Daniel Novotny,Ens Rationis From Sua?Rez to Caramuel: A Study in Scholasticism of the Baroque Era,2013
SURDM-2,Francisco Su\'{a}rez,Disputaciones Metafisicas,1963
EMBFSO,Brian Embry,"Francisco Su\'{a}rez on Eternal Truths, Eternal Essences, and Extrinsic Being",2017
TUTQNT,Jacob Tuttle,Su\'{a}rez's Non-Reductive Theory of Efficient Causation,2016
PENFAR,Sydney Penner,Free and Rational: Su\'{a}rez on the Will,2013
PERSOI,Dominik Perler,Su\'{a}rez on Intellectual Cognition and Occasional Causation,2019
TORSYL-2,David Torrijos Castrillejo,Su\'{a}rez y la Premoci\'{o}n F\'{i}sica,2017
SUROTE,Francisco Sua?rez,"On the Essence of Finite Being as Such, on the Existence of That Essence and Their Distinction =",1983
SURDM-3,Francisco Su\'{a}rez,Disputaciones Metaf\'{i}sicas,1962
PASOEC-3,Robert Pasnau and Francisco Suarez and Alfred J. Freddoso,"On Efficient Causality: Metaphysical Disputations 17, 18, and 19",1996
PENSOT-4,Sydney Penner,Su\'{a}rez on the Reduction of Categorical Relations,2013
SURDL,Francisco Sua?rez,De Legibus,2004
SURDM,Francisco Su\'{a}rez and Sergio R\'{a}bade Romeo,Disputaciones Metafi?Sicas,1935
PENMUO,Sydney Penner,Making Use of the Testimonies: Su\'{a}rez and Grotius on Natural Law,2020
Castrillejo2020-TORLRI,David Torrijos{-}Castrillejo,La Relaci\'{o}n Intencional de Brentano a la Luz Del Pensamiento de Su\'{a}rez,2020
SUROTV,Francisco Sua?rez,On the Various Kinds of Distinctions,1947
ROZUIT,Marleen Rozemond,Unity in the Multiplicity of Su\'{a}rez's Soul,2012
SCHFWF-2,Stephan Schmid,Finality Without Final Causes? ? Su\'{a}rez?s Account of Natural Teleology,2015
